"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:CC","organelle membrane","GO:0031090","0.0006720612356518262","3.172591153889536","3473","91","36","18797","ACAP2,ALG3,AMBRA1,AP2M1,ATP11B,B3GNT5,COX6A2,DLG1,DNAJC19,ECE2,EIF5A2,ELOVL2,GOLIM4,GOSR2,IFT20,MCOLN3,MFN1,MRPL47,NCEH1,NDUFB5,NFE2L1,PCYT1A,PDCD10,PIGX,PLD1,PRKCI,RAB12,RNF103,RPH3AL,SCYL1,SEC62,SENP2,SORL1,TFRC,TRA2B,UBXN7"
"GO:CC","endosomal part","GO:0044440","0.012529933602389258","1.9020512303779458","516","91","11","18797","ACAP2,AP2M1,ATP11B,GOLIM4,GOSR2,MCOLN3,PLD1,RAB12,SORL1,TFRC,VPS8"
"GO:CC","intracellular organelle part","GO:0044446","0.01269512601119711","1.8963629839831728","9284","91","64","18797","ACAP2,ACTL6A,ALG3,AMBRA1,AP2M1,ATP11B,B3GNT5,COX6A2,DLG1,DNAJB11,DNAJC19,DVL3,ECE2,EHHADH,EIF5A2,ELOVL2,FXR1,FYTTD1,GOLIM4,GOSR2,IFT20,LSG1,MAEA,MAP6D1,MCOLN3,MFN1,MRPL47,MYOD1,NCBP2,NCEH1,NDUFB5,NFE2L1,PCYT1A,PDCD10,PHC3,PIGX,PLD1,PLEKHA1,POLR2H,POLR2L,PRKCI,PSMD2,RAB12,RFC4,RNF103,RNF168,RPH3AL,RPL35A,SCYL1,SEC62,SENP2,SENP5,SIAH2,SORL1,SOX3,TBCCD1,TBL1XR1,TFRC,TRA2B,UBXN7,VPS8,YEATS2,ZMAT3,ZNF639"
"GO:CC","endosome membrane","GO:0010008","0.028253576090170335","1.5489265751742338","468","91","10","18797","ACAP2,AP2M1,ATP11B,GOLIM4,GOSR2,MCOLN3,PLD1,RAB12,SORL1,TFRC"
"GO:CC","protein-containing complex","GO:0032991","0.04117414268403489","1.3853754348168388","5390","91","43","18797","ACTL6A,AP2M1,CHRNA2,CLCN2,COX6A2,DCUN1D1,DLG1,DNAJC19,EIF2B5,EIF4A2,EIF5A2,FBXO45,FXR1,GOSR2,IFT20,KLHL24,LTK,MAEA,MFN1,MRPL47,MYOD1,NCBP2,NDUFB5,NFE2L1,PHC3,PIK3CA,POLR2H,POLR2L,PROP1,PSMD2,RFC4,RNF168,RPL35A,SCYL1,SENP2,SORL1,SOX3,TBL1XR1,TFRC,TRA2B,UBXN7,VPS8,YEATS2"
"GO:CC","organelle part","GO:0044422","0.04337820337967368","1.362728439376963","9587","91","64","18797","ACAP2,ACTL6A,ALG3,AMBRA1,AP2M1,ATP11B,B3GNT5,COX6A2,DLG1,DNAJB11,DNAJC19,DVL3,ECE2,EHHADH,EIF5A2,ELOVL2,FXR1,FYTTD1,GOLIM4,GOSR2,IFT20,LSG1,MAEA,MAP6D1,MCOLN3,MFN1,MRPL47,MYOD1,NCBP2,NCEH1,NDUFB5,NFE2L1,PCYT1A,PDCD10,PHC3,PIGX,PLD1,PLEKHA1,POLR2H,POLR2L,PRKCI,PSMD2,RAB12,RFC4,RNF103,RNF168,RPH3AL,RPL35A,SCYL1,SEC62,SENP2,SENP5,SIAH2,SORL1,SOX3,TBCCD1,TBL1XR1,TFRC,TRA2B,UBXN7,VPS8,YEATS2,ZMAT3,ZNF639"
"REAC","Signaling by FGFR2 in disease","REAC:R-HSA-5655253","0.03215502481070423","1.492751150980987","39","65","4","10526","NCBP2,PIK3CA,POLR2H,POLR2L"
"TF","Factor: ER81; motif: RCCGGAARYN","TF:M02065","0.01773686298902313","1.7511231887336234","12669","99","83","19916","ABCC5,ABCF3,ACTL6A,ADRBK1,ALG3,AMBRA1,AP2M1,ATP11B,ATP13A3,B3GNT5,C3ORF70,C4ORF51,CHRNA2,CLCN2,COX6A2,DCUN1D1,DLG1,DNAJB11,DNAJC19,DVL3,EHHADH,EIF2B5,EIF4A2,EIF5A2,FBXO45,FXR1,FYTTD1,GOLIM4,GOSR2,GYG2,IFT20,KLHL24,LRCH3,LSG1,LTK,MAEA,MAGEF1,MAP6D1,MFN1,MRGPRX1,MRPL47,MYNN,MYOD1,NCBP2,NCEH1,NDUFB5,NFE2L1,NRIP3,PCYT1A,PDCD10,PHC3,PIGX,PIK3CA,PLD1,PLEKHA1,POLR2H,POLR2L,PRKCI,PROP1,PRRG3,PSMD2,RAB12,RFC4,RGS17,RNF103,RNF168,RPH3AL,RPL35A,SCYL1,SEC62,SENP2,SENP5,SIAH2,SORL1,TBCCD1,THPO,TMEM41A,TRA2B,UBXN7,VPS8,WDR53,YEATS2,ZMAT3"
"TF","Factor: ER81; motif: RCCGGAARYN; match class: 0","TF:M02065_0","0.01773686298902313","1.7511231887336234","12669","99","83","19916","ABCC5,ABCF3,ACTL6A,ADRBK1,ALG3,AMBRA1,AP2M1,ATP11B,ATP13A3,B3GNT5,C3ORF70,C4ORF51,CHRNA2,CLCN2,COX6A2,DCUN1D1,DLG1,DNAJB11,DNAJC19,DVL3,EHHADH,EIF2B5,EIF4A2,EIF5A2,FBXO45,FXR1,FYTTD1,GOLIM4,GOSR2,GYG2,IFT20,KLHL24,LRCH3,LSG1,LTK,MAEA,MAGEF1,MAP6D1,MFN1,MRGPRX1,MRPL47,MYNN,MYOD1,NCBP2,NCEH1,NDUFB5,NFE2L1,NRIP3,PCYT1A,PDCD10,PHC3,PIGX,PIK3CA,PLD1,PLEKHA1,POLR2H,POLR2L,PRKCI,PROP1,PRRG3,PSMD2,RAB12,RFC4,RGS17,RNF103,RNF168,RPH3AL,RPL35A,SCYL1,SEC62,SENP2,SENP5,SIAH2,SORL1,TBCCD1,THPO,TMEM41A,TRA2B,UBXN7,VPS8,WDR53,YEATS2,ZMAT3"
"TF","Factor: ETF; motif: GVGGMGG; match class: 1","TF:M00695_1","0.026118675613336594","1.58304884839245","7010","99","56","19916","ACTL6A,ADRBK1,AMBRA1,ATP11B,ATP13A3,C3ORF70,CLCN2,COX6A2,DCUN1D1,DENND5B,DNAJB11,DVL3,EIF2B5,EIF5A2,ELOVL2,FBXO45,FXR1,FYTTD1,GOLIM4,GYG2,KLHL24,LRCH3,MAEA,MAP6D1,MCOLN3,MYOD1,NCBP2,NFE2L1,NRIP3,PAK2,PHC3,PIGX,PIK3CA,PLD1,PLEKHA1,POLR2H,POLR2L,PRKCI,PSMD2,RAB12,RFC4,RNF103,SCYL1,SEC62,SENP2,SIAH2,SORL1,SOX3,TBCCD1,TBL1XR1,TRA2B,UBXN7,VPS8,WDR53,YEATS2,ZMAT3"
