"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","peptidase inhibitor activity","GO:0030414","0.00010256826744086188","3.988986980422402","180","334","16","18098","A2M,C3,C4A,C5,COL4A3,CPAMD8,CST5,ITIH2,LTF,R3HDML,SERPINA1,SERPIND1,SERPINF2,SPINK1,TFPI,WFDC2"
"GO:MF","peptidase regulator activity","GO:0061134","0.0002619948730010282","3.5817072073411267","217","334","17","18098","A2M,C3,C4A,C5,COL4A3,CPAMD8,CST5,CTSH,ITIH2,LTF,R3HDML,SERPINA1,SERPIND1,SERPINF2,SPINK1,TFPI,WFDC2"
"GO:MF","endopeptidase inhibitor activity","GO:0004866","0.0003365277788166","3.4729790809531456","173","334","15","18098","A2M,C3,C4A,C5,COL4A3,CPAMD8,CST5,ITIH2,LTF,SERPINA1,SERPIND1,SERPINF2,SPINK1,TFPI,WFDC2"
"GO:MF","endopeptidase regulator activity","GO:0061135","0.0005569050822713294","3.2542188187553793","180","334","15","18098","A2M,C3,C4A,C5,COL4A3,CPAMD8,CST5,ITIH2,LTF,SERPINA1,SERPIND1,SERPINF2,SPINK1,TFPI,WFDC2"
"GO:MF","transmembrane transporter activity","GO:0022857","0.0010517408909389324","2.9780912406916062","1060","334","42","18098","ABCA3,ABCA8,ABCC6,ADAMTS8,AQP1,AQP4,ATP1A2,ATP8A1,AZGP1,CACNA2D2,CFTR,CLIC5,COX4I2,CYB5A,GJB1,GPIHBP1,GPM6A,HPN,KCNK17,KCNK3,KCNK5,KCNQ1,KCNQ3,LRRC52,MFSD2A,SCN1A,SCNN1B,SCNN1G,SIDT1,SLC16A4,SLC19A3,SLC1A1,SLC22A3,SLC26A9,SLC34A2,SLC39A8,SLC46A2,SLC4A4,SLC5A8,SLC5A9,SLC6A14,TMC5"
"GO:MF","monovalent inorganic cation transmembrane transporter activity","GO:0015077","0.0015441949743757767","2.8112978653023846","389","334","22","18098","AQP1,ATP1A2,COX4I2,CYB5A,HPN,KCNK17,KCNK3,KCNK5,KCNQ1,KCNQ3,LRRC52,MFSD2A,SCN1A,SCNN1B,SCNN1G,SLC1A1,SLC22A3,SLC34A2,SLC4A4,SLC5A8,SLC5A9,SLC6A14"
"GO:MF","enzyme inhibitor activity","GO:0004857","0.002878343104736726","2.5408574384701383","374","334","21","18098","A2M,C3,C4A,C5,COL4A3,CPAMD8,CST5,FRY,ITIH2,LRRK2,LTF,MBIP,PPP1R1B,R3HDML,SERPINA1,SERPIND1,SERPINF2,SOCS3,SPINK1,TFPI,WFDC2"
"GO:MF","metal ion transmembrane transporter activity","GO:0046873","0.004086785164984278","2.388618191775599","445","334","23","18098","AQP1,ATP1A2,CACNA2D2,GPM6A,HPN,KCNK17,KCNK3,KCNK5,KCNQ1,KCNQ3,LRRC52,MFSD2A,SCN1A,SCNN1B,SCNN1G,SLC1A1,SLC22A3,SLC34A2,SLC39A8,SLC4A4,SLC5A8,SLC5A9,SLC6A14"
"GO:MF","transporter activity","GO:0005215","0.005314505539365374","2.2745371359411704","1210","334","44","18098","ABCA3,ABCA8,ABCC6,ADAMTS8,AQP1,AQP4,ATP1A2,ATP8A1,AZGP1,CACNA2D2,CFTR,CLIC5,COX4I2,CYB5A,GJB1,GPIHBP1,GPM6A,HBB,HPN,KCNK17,KCNK3,KCNK5,KCNQ1,KCNQ3,LRRC52,MFSD2A,SCN1A,SCNN1B,SCNN1G,SFTPA1,SIDT1,SLC16A4,SLC19A3,SLC1A1,SLC22A3,SLC26A9,SLC34A2,SLC39A8,SLC46A2,SLC4A4,SLC5A8,SLC5A9,SLC6A14,TMC5"
"GO:MF","sodium ion transmembrane transporter activity","GO:0015081","0.009065535002470404","2.042606560927045","149","334","12","18098","ATP1A2,MFSD2A,SCN1A,SCNN1B,SCNN1G,SLC1A1,SLC22A3,SLC34A2,SLC4A4,SLC5A8,SLC5A9,SLC6A14"
"GO:MF","inorganic molecular entity transmembrane transporter activity","GO:0015318","0.01074385791214874","1.9688397438592398","823","334","33","18098","ADAMTS8,AQP1,AQP4,ATP1A2,ATP8A1,CACNA2D2,CFTR,CLIC5,COX4I2,CYB5A,GPM6A,HPN,KCNK17,KCNK3,KCNK5,KCNQ1,KCNQ3,LRRC52,MFSD2A,SCN1A,SCNN1B,SCNN1G,SLC16A4,SLC1A1,SLC22A3,SLC26A9,SLC34A2,SLC39A8,SLC4A4,SLC5A8,SLC5A9,SLC6A14,TMC5"
"GO:MF","scavenger receptor activity","GO:0005044","0.02175819941220666","1.6623770472871997","53","334","7","18098","AGER,CD36,CFI,DMBT1,PRG4,SUSD2,TMPRSS2"
"GO:MF","inorganic cation transmembrane transporter activity","GO:0022890","0.024791309275197494","1.605700536726386","603","334","26","18098","AQP1,ATP1A2,ATP8A1,CACNA2D2,COX4I2,CYB5A,GPM6A,HPN,KCNK17,KCNK3,KCNK5,KCNQ1,KCNQ3,LRRC52,MFSD2A,SCN1A,SCNN1B,SCNN1G,SLC1A1,SLC22A3,SLC34A2,SLC39A8,SLC4A4,SLC5A8,SLC5A9,SLC6A14"
