"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","ion transmembrane transporter activity","GO:0015075","0.019294837017681674","1.7145588855362457","883","115","17","18098","ANO2,CHRNA6,GRIK4,KCNB2,KCNJ6,KCNN2,LRRC55,OCA2,RYR3,SLC18A1,SLC22A16,SLC25A18,SLC38A3,SLC39A12,SLC8A3,SLCO5A1,TRPV5"
"GO:MF","cation transmembrane transporter activity","GO:0008324","0.031504681385059234","1.501624908158371","653","115","14","18098","CHRNA6,GRIK4,KCNB2,KCNJ6,KCNN2,LRRC55,OCA2,RYR3,SLC18A1,SLC22A16,SLC38A3,SLC39A12,SLC8A3,TRPV5"
"GO:BP","kidney epithelium development","GO:0072073","0.007918068536157447","2.1013807434595186","141","118","8","17816","BMPER,NPHS1,NPHS2,PBX1,RET,SFRP1,SIM1,SOX8"
"HPA","thymus; medullary cells[Supported,Medium]","HPA:054020_12","0.015027950577205306","1.8231002418813647","3","37","2","9499","FRMD1,IL17REL"
"HPA","thymus; medullary cells[Uncertain,Medium]","HPA:054020_02","0.015027950577205306","1.8231002418813647","3","37","2","9499","FRMD1,IL17REL"
"HPA","retina; nerve fibers in outer plexiform layer ","HPA:038070","0.025878967937484693","1.5870530474775577","59","37","4","9499","ANO2,CRB2,GNAT1,NPVF"
"HPA","retina; nerve fibers in inner plexiform layer","HPA:038050","0.027650504916891618","1.558296933776364","60","37","4","9499","ANO2,CRB2,GNAT1,NPVF"
"HPA","retina; limiting membrane","HPA:038040","0.027650504916891618","1.558296933776364","60","37","4","9499","ANO2,CRB2,GNAT1,NPVF"
"HPA","retina; nerve fibers in nerve fiber layer","HPA:038060","0.027650504916891618","1.558296933776364","60","37","4","9499","ANO2,CRB2,GNAT1,NPVF"
"HPA","retina; cells in photoreceptor layer ","HPA:038020","0.027650504916891618","1.558296933776364","60","37","4","9499","ANO2,CRB2,GNAT1,NPVF"
"HPA","retina; cells in inner nuclear layer ","HPA:038010","0.027650504916891618","1.558296933776364","60","37","4","9499","ANO2,CRB2,GNAT1,NPVF"
"HPA","retina","HPA:038000","0.027650504916891618","1.558296933776364","60","37","4","9499","ANO2,CRB2,GNAT1,NPVF"
"HPA","retina; ganglion cells ","HPA:038030","0.027650504916891618","1.558296933776364","60","37","4","9499","ANO2,CRB2,GNAT1,NPVF"
"HPA","thymus; medullary cells[Supported,Low]","HPA:054020_11","0.02998207323293215","1.5231383393833124","4","37","2","9499","FRMD1,IL17REL"
"HPA","thymus; medullary cells[Supported,Not detected]","HPA:054020_10","0.02998207323293215","1.5231383393833124","4","37","2","9499","FRMD1,IL17REL"
"HPA","thymus; cortical cells[Uncertain,Low]","HPA:054010_01","0.02998207323293215","1.5231383393833124","4","37","2","9499","FRMD1,IL17REL"
"HPA","thymus; cortical cells[Uncertain,Medium]","HPA:054010_02","0.02998207323293215","1.5231383393833124","4","37","2","9499","FRMD1,IL17REL"
"HPA","thymus; cortical cells[Supported,Not detected]","HPA:054010_10","0.02998207323293215","1.5231383393833124","4","37","2","9499","FRMD1,IL17REL"
"HPA","thymus; cortical cells[Supported,Low]","HPA:054010_11","0.02998207323293215","1.5231383393833124","4","37","2","9499","FRMD1,IL17REL"
"HPA","thymus; cortical cells[Supported,Medium]","HPA:054010_12","0.02998207323293215","1.5231383393833124","4","37","2","9499","FRMD1,IL17REL"
"HPA","thymus; medullary cells[Uncertain,Low]","HPA:054020_01","0.02998207323293215","1.5231383393833124","4","37","2","9499","FRMD1,IL17REL"
"HPA","thymus; cortical cells","HPA:054010","0.04984740590952337","1.3023574377233087","5","37","2","9499","FRMD1,IL17REL"
"HPA","thymus; medullary cells","HPA:054020","0.04984740590952337","1.3023574377233087","5","37","2","9499","FRMD1,IL17REL"
"HPA","thymus","HPA:054000","0.04984740590952337","1.3023574377233087","5","37","2","9499","FRMD1,IL17REL"
