"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","protein heterodimerization activity","GO:0046982","1.0154907605554884e-21","20.993324023670322","532","26","19","18098","HIST1H2AC,HIST1H2AD,HIST1H2AH,HIST1H2AJ,HIST1H2BB,HIST1H2BD,HIST1H2BH,HIST1H2BJ,HIST1H2BK,HIST1H2BL,HIST1H2BM,HIST1H2BN,HIST1H2BO,HIST2H2AB,HIST2H2AC,HIST2H2BE,HIST2H2BF,HIST2H3C,HIST2H3D"
"GO:MF","DNA binding","GO:0003677","2.2605886299273596e-16","15.645778461098692","2531","26","24","18098","HIST1H1B,HIST1H1C,HIST1H1D,HIST1H1E,HIST1H1T,HIST1H2AC,HIST1H2AD,HIST1H2AH,HIST1H2AJ,HIST1H2BB,HIST1H2BD,HIST1H2BH,HIST1H2BJ,HIST1H2BK,HIST1H2BL,HIST1H2BM,HIST1H2BN,HIST1H2BO,HIST2H2AB,HIST2H2AC,HIST2H2BE,HIST2H2BF,HIST2H3C,HIST2H3D"
"GO:MF","protein dimerization activity","GO:0046983","4.480949008779917e-14","13.348629998138176","1352","26","19","18098","HIST1H2AC,HIST1H2AD,HIST1H2AH,HIST1H2AJ,HIST1H2BB,HIST1H2BD,HIST1H2BH,HIST1H2BJ,HIST1H2BK,HIST1H2BL,HIST1H2BM,HIST1H2BN,HIST1H2BO,HIST2H2AB,HIST2H2AC,HIST2H2BE,HIST2H2BF,HIST2H3C,HIST2H3D"
"GO:MF","nucleic acid binding","GO:0003676","8.157656513378162e-11","10.08843458505533","4348","26","24","18098","HIST1H1B,HIST1H1C,HIST1H1D,HIST1H1E,HIST1H1T,HIST1H2AC,HIST1H2AD,HIST1H2AH,HIST1H2AJ,HIST1H2BB,HIST1H2BD,HIST1H2BH,HIST1H2BJ,HIST1H2BK,HIST1H2BL,HIST1H2BM,HIST1H2BN,HIST1H2BO,HIST2H2AB,HIST2H2AC,HIST2H2BE,HIST2H2BF,HIST2H3C,HIST2H3D"
"GO:MF","nucleosomal DNA binding","GO:0031492","3.7567798959511776e-10","9.425184248847723","56","26","7","18098","HIST1H1B,HIST1H1C,HIST1H1D,HIST1H1E,HIST1H1T,HIST2H3C,HIST2H3D"
"GO:MF","nucleosome binding","GO:0031491","6.560357281659728e-9","8.183072507998117","83","26","7","18098","HIST1H1B,HIST1H1C,HIST1H1D,HIST1H1E,HIST1H1T,HIST2H3C,HIST2H3D"
"GO:MF","chromatin DNA binding","GO:0031490","9.08413222581398e-8","7.041716552950382","120","26","7","18098","HIST1H1B,HIST1H1C,HIST1H1D,HIST1H1E,HIST1H1T,HIST2H3C,HIST2H3D"
"GO:MF","heterocyclic compound binding","GO:1901363","4.078853121030428e-7","6.3894619332890565","6269","26","24","18098","HIST1H1B,HIST1H1C,HIST1H1D,HIST1H1E,HIST1H1T,HIST1H2AC,HIST1H2AD,HIST1H2AH,HIST1H2AJ,HIST1H2BB,HIST1H2BD,HIST1H2BH,HIST1H2BJ,HIST1H2BK,HIST1H2BL,HIST1H2BM,HIST1H2BN,HIST1H2BO,HIST2H2AB,HIST2H2AC,HIST2H2BE,HIST2H2BF,HIST2H3C,HIST2H3D"
"GO:MF","organic cyclic compound binding","GO:0097159","5.603192235459761e-7","6.2515644774133445","6356","26","24","18098","HIST1H1B,HIST1H1C,HIST1H1D,HIST1H1E,HIST1H1T,HIST1H2AC,HIST1H2AD,HIST1H2AH,HIST1H2AJ,HIST1H2BB,HIST1H2BD,HIST1H2BH,HIST1H2BJ,HIST1H2BK,HIST1H2BL,HIST1H2BM,HIST1H2BN,HIST1H2BO,HIST2H2AB,HIST2H2AC,HIST2H2BE,HIST2H2BF,HIST2H3C,HIST2H3D"
"GO:MF","chromatin binding","GO:0003682","0.002737724293027877","2.562610290331181","543","26","7","18098","HIST1H1B,HIST1H1C,HIST1H1D,HIST1H1E,HIST1H1T,HIST2H3C,HIST2H3D"
