"","x"
"1","AGPAT5"
"2","BIN3"
"3","BNIP3L"
"4","C8orf58"
"5","CCDC25"
"6","CHMP7"
"7","CLN8"
"8","CNOT7"
"9","DCTN6"
"10","ELP3"
"11","ENTPD4"
"12","ERI1"
"13","ERICH1"
"14","EXTL3"
"15","FAM167A"
"16","FBXO25"
"17","FDFT1"
"18","GTF2E2"
"19","INTS10"
"20","INTS9"
"21","KCTD9"
"22","KIAA1967"
"23","MBOAT4"
"24","MCPH1"
"25","MFHAS1"
"26","MTMR7"
"27","MTMR9"
"28","MTUS1"
"29","NAT1"
"30","NEIL2"
"31","NKX3"
"32","NUDT18"
"33","PCM1"
"34","PINX1"
"35","POLR3D"
"36","PPP2CB"
"37","PPP2R2A"
"38","PSD3"
"39","R3HCC1"
"40","REEP4"
"41","RPL23AP53"
"42","SH2D4A"
"43","SORBS3"
"44","TNFRSF10A"
"45","TNKS"
"46","TRIM35"
"47","TUSC3"
"48","UBXN8"
"49","VPS37A"
"50","WRN"
"51","XPO7"
"52","ZNF395"
"53","ZNF596"
