"","x"
"1","AAGAB"
"2","ADPGK"
"3","AEN"
"4","ANP32A"
"5","AP3S2"
"6","AP4E1"
"7","AQR"
"8","ARIH1"
"9","ARPP19"
"10","ASB7"
"11","AVEN"
"12","BBS4"
"13","BNIP2"
"14","BTBD1"
"15","C15orf17"
"16","C15orf24"
"17","C15orf29"
"18","C15orf40"
"19","C15orf44"
"20","C15orf61"
"21","C15orf63"
"22","CALML4"
"23","CLN6"
"24","CLPX"
"25","COMMD4"
"26","COPS2"
"27","COX5A"
"28","CSNK1G1"
"29","CTDSPL2"
"30","DENND4A"
"31","DIS3L"
"32","DPP8"
"33","DTWD1"
"34","EDC3"
"35","EFTUD1"
"36","EID1"
"37","EIF2AK4"
"38","EIF3J"
"39","ETFA"
"40","FAM103A1"
"41","FAM96A"
"42","FAM98B"
"43","FBXO22OS"
"44","FBXO22"
"45","FEM1B"
"46","FLJ10038"
"47","GALK2"
"48","GNB5"
"49","GRINL1A"
"50","GTF2A2"
"51","HAUS2"
"52","HDGFRP3"
"53","HMG20A"
"54","IDH3A"
"55","IMP3"
"56","IREB2"
"57","IVD"
"58","LCMT2"
"59","LEO1"
"60","LOC729082"
"61","LOC729176"
"62","LRRC57"
"63","LYSMD2"
"64","MAP2K1"
"65","MAP2K5"
"66","MAPK6"
"67","MESDC2"
"68","MFAP1"
"69","MGA"
"70","MORF4L1"
"71","MPI"
"72","MRPL46"
"73","MRPS11"
"74","MTFMT"
"75","MTHFS"
"76","NARG2"
"77","NDNL2"
"78","NDUFAF1"
"79","NIPA2"
"80","NOP10"
"81","NPTN"
"82","OAZ2"
"83","PARP16"
"84","PDCD7"
"85","PIAS1"
"86","PIGB"
"87","PLDN"
"88","PPCDC"
"89","PSMA4"
"90","PTPLAD1"
"91","PTPN9"
"92","RAB11A"
"93","RCN2"
"94","RFX7"
"95","RNF111"
"96","RPAP1"
"97","RPL4"
"98","RPLP1"
"99","RPS17"
"100","RPUSD2"
"101","RSL24D1"
"102","RTF1"
"103","SCAPER"
"104","SEC11A"
"105","SENP8"
"106","SIN3A"
"107","SLC24A1"
"108","SNAPC5"
"109","SNUPN"
"110","SNX1"
"111","SNX22"
"112","SPG11"
"113","SPG21"
"114","SPPL2A"
"115","SRP14"
"116","ST20"
"117","THAP10"
"118","TJP1"
"119","TM2D3"
"120","TMED3"
"121","TMEM85"
"122","TMEM87A"
"123","TMOD3"
"124","TP53BP1"
"125","TRIP4"
"126","TRPM7"
"127","TUBGCP4"
"128","UBE3A"
"129","UBL7"
"130","USP3"
"131","USP8"
"132","VPS39"
"133","WDR61"
"134","WDR73"
"135","ZFAND6"
"136","ZNF280D"
"137","ZNF592"
"138","ZNF609"
"139","ZNF770"
"140","ZSCAN29"
