"","x"
"1","ABR"
"2","AKAP10"
"3","ALKBH5"
"4","AMAC1L3"
"5","ANKFY1"
"6","ATPAF2"
"7","B9D1"
"8","C17orf39"
"9","C17orf48"
"10","C17orf49"
"11","C17orf51"
"12","C17orf59"
"13","C17orf61"
"14","C17orf68"
"15","C17orf81"
"16","C17orf85"
"17","C1QBP"
"18","CAMKK1"
"19","CAMTA2"
"20","CENPV"
"21","CNTROB"
"22","COPS3"
"23","COX10"
"24","CRK"
"25","CTNS"
"26","CYB5D1"
"27","CYB5D2"
"28","DERL2"
"29","DHRS7B"
"30","DHX33"
"31","DPH1"
"32","DRG2"
"33","DULLARD"
"34","DVL2"
"35","EIF4A1"
"36","EIF5AL1"
"37","EIF5A"
"38","ELAC2"
"39","FAM18B2"
"40","FAM18B"
"41","FLCN"
"42","FLII"
"43","FXR2"
"44","GEMIN4"
"45","GLOD4"
"46","GPS2"
"47","INPP5K"
"48","ITGAE"
"49","KDM6B"
"50","KIAA0664"
"51","KIAA0753"
"52","KIF1C"
"53","KRBA2"
"54","LLGL1"
"55","LSMD1"
"56","MAP2K4"
"57","MED11"
"58","MED9"
"59","METT10D"
"60","MINK1"
"61","MIS12"
"62","MPDU1"
"63","MPRIP"
"64","MYBBP1A"
"65","MYO1C"
"66","NCOR1"
"67","NDEL1"
"68","NEURL4"
"69","NT5M"
"70","NUP88"
"71","OVCA2"
"72","PAFAH1B1"
"73","PELP1"
"74","PEMT"
"75","PFAS"
"76","PFN1"
"77","PHF23"
"78","PITPNA"
"79","PLD2"
"80","PLD6"
"81","PLSCR3"
"82","POLR2A"
"83","PRPF8"
"84","PRPSAP2"
"85","PSMB6"
"86","RABEP1"
"87","RANGRF"
"88","RAP1GAP2"
"89","RNF167"
"90","RNMTL1"
"91","RPA1"
"92","RPAIN"
"93","RPL26"
"94","SAT2"
"95","SCO1"
"96","SENP3"
"97","SHMT1"
"98","SHPK"
"99","SLC16A13"
"100","SLC25A11"
"101","SLC25A35"
"102","SMCR8"
"103","SMG6"
"104","SMYD4"
"105","SPAG7"
"106","SRR"
"107","STX8"
"108","TIMM22"
"109","TMEM102"
"110","TMEM107"
"111","TMEM11"
"112","TMEM93"
"113","TOP3A"
"114","TRAPPC1"
"115","TSR1"
"116","TTC19"
"117","TXNDC17"
"118","UBE2G1"
"119","ULK2"
"120","USP22"
"121","VPS53"
"122","WDR81"
"123","WRAP53"
"124","YWHAE"
"125","ZBTB4"
"126","ZNF286A"
"127","ZNF594"
"128","ZSWIM7"
"129","ZZEF1"
