"","x"
"1","ADCK1"
"2","AHNAK2"
"3","AKT1"
"4","ARNT2"
"5","ATG2B"
"6","ATXN3"
"7","BAG5"
"8","BRF1"
"9","BTBD6"
"10","BTBD7"
"11","C14orf102"
"12","C14orf145"
"13","C14orf159"
"14","C14orf43"
"15","C14orf4"
"16","C14orf80"
"17","C3orf55"
"18","CALM1"
"19","CCDC85C"
"20","CCDC88C"
"21","CCNK"
"22","CDC42BPB"
"23","CDCA4"
"24","CDK20"
"25","COPZ1"
"26","CPSF2"
"27","CTNND2"
"28","DDX24"
"29","DICER1"
"30","DYNC1H1"
"31","EMID1"
"32","FAM115C"
"33","FOXN3"
"34","GLRX5"
"35","GOLGA5"
"36","HECTD1"
"37","IL23A"
"38","INF2"
"39","ING4"
"40","ITPK1"
"41","KHNYN"
"42","KIAA0284"
"43","KIAA1737"
"44","KLC1"
"45","LOC285627"
"46","LRRC49"
"47","MAP3K9"
"48","MARK2"
"49","MARK3"
"50","MTA1"
"51","NEK9"
"52","NIN"
"53","PACS2"
"54","PAPOLA"
"55","PLEKHG3"
"56","PPP1R13B"
"57","PPP2R5C"
"58","RCOR1"
"59","RNF182"
"60","RREB1"
"61","SETD3"
"62","SIVA1"
"63","SMEK1"
"64","SPAG11A"
"65","TECPR2"
"66","TMED8"
"67","TMEM200C"
"68","TRAF3"
"69","TRIP11"
"70","TRMT61A"
"71","TTLL5"
"72","WDR20"
"73","XRCC3"
"74","YLPM1"
"75","YY1"
"76","ZBTB42"
"77","ZC3H14"
"78","ZFYVE21"
"79","ZNF114"
"80","ZNF839"
