"","x"
"1","ACO1"
"2","ALDH1B1"
"3","APTX"
"4","BAG1"
"5","C17orf105"
"6","C9orf100"
"7","C9orf131"
"8","C9orf23"
"9","C9orf25"
"10","CCDC107"
"11","CHMP5"
"12","CLTA"
"13","CREB3"
"14","DCAF10"
"15","DCAF12"
"16","DCTN3"
"17","DNAJA1"
"18","DNAJB5"
"19","EXOSC3"
"20","FANCG"
"21","FBXO10"
"22","GALT"
"23","GBA2"
"24","GNE"
"25","GRHPR"
"26","HINT2"
"27","IGFBPL1"
"28","KIAA1161"
"29","KIF24"
"30","MCART1"
"31","MCART2"
"32","MSMP"
"33","NDUFB6"
"34","NFX1"
"35","NOL6"
"36","NUDT2"
"37","PIGO"
"38","POLR1E"
"39","RG9MTD3"
"40","RGP1"
"41","RNF38"
"42","RUSC2"
"43","SIGMAR1"
"44","SMU1"
"45","STOML2"
"46","TESK1"
"47","TMEM8B"
"48","TOMM5"
"49","TOPORS"
"50","UBAP1"
"51","UBAP2"
"52","UBE2R2"
"53","UNC13B"
"54","VCP"
"55","ZBTB5"
"56","ZCCHC7"
