"","x"
"1","ABHD10"
"2","ACAD9"
"3","ANAPC13"
"4","ARL13B"
"5","ARL6"
"6","ARMC8"
"7","ASTE1"
"8","ATG3"
"9","ATP2C1"
"10","ATP6V1A"
"11","ATR"
"12","BBX"
"13","C3orf17"
"14","C3orf1"
"15","C3orf26"
"16","C3orf33"
"17","C3orf37"
"18","CCDC52"
"19","CCDC58"
"20","CDV3"
"21","CEP63"
"22","CEP70"
"23","CEP97"
"24","CHCHD6"
"25","CLDND1"
"26","CNBP"
"27","COMMD2"
"28","COPB2"
"29","COPG"
"30","COX17"
"31","CPOX"
"32","DBR1"
"33","DHX36"
"34","DIRC2"
"35","DNAJC13"
"36","DZIP3"
"37","EEFSEC"
"38","EIF2A"
"39","FAIM"
"40","FAM19A4"
"41","GFM1"
"42","GK5"
"43","GMPS"
"44","GOLGB1"
"45","GRAMD1C"
"46","GSK3B"
"47","GTF2E1"
"48","GTPBP8"
"49","HLTF"
"50","HPS3"
"51","HSPBAP1"
"52","IFT122"
"53","IFT80"
"54","IQCB1"
"55","ISY1"
"56","KCNAB1"
"57","KIAA2018"
"58","KPNA1"
"59","KPNA4"
"60","KTELC1"
"61","LNP1"
"62","LOC100129550"
"63","LOC100302640"
"64","LOC344595"
"65","LRRC58"
"66","MBD4"
"67","MBNL1"
"68","MINA"
"69","MLF1"
"70","MRPL3"
"71","MRPS22"
"72","MSL2"
"73","NAA50"
"74","NCK1"
"75","NDUFB4"
"76","NIT2"
"77","NMD3"
"78","NUDT16"
"79","OSBPL11"
"80","PCCB"
"81","PCNP"
"82","PDIA5"
"83","PIK3CB"
"84","PIK3R4"
"85","PPP1R2P1"
"86","QTRTD1"
"87","RAB7A"
"88","RABL3"
"89","RASA2"
"90","RG9MTD1"
"91","RNF13"
"92","RNF7"
"93","RPL24"
"94","RPN1"
"95","RSRC1"
"96","RUVBL1"
"97","RYK"
"98","SCHIP1"
"99","SEC22A"
"100","SEC61A1"
"101","SELT"
"102","SENP7"
"103","SERP1"
"104","SLC25A36"
"105","SLC33A1"
"106","SLC35A5"
"107","SLC41A3"
"108","SNX4"
"109","SR140"
"110","SRPRB"
"111","STAG1"
"112","TBC1D23"
"113","TFDP2"
"114","TFG"
"115","TMCC1"
"116","TMEM39A"
"117","TOMM70A"
"118","TOPBP1"
"119","TPRA1"
"120","TRIM59"
"121","TXNRD3IT1"
"122","UBA5"
"123","UMPS"
"124","WDR5B"
"125","XRN1"
"126","ZBTB11"
"127","ZBTB20"
"128","ZDHHC23"
"129","ZNF148"
"130","ZXDC"
