"","x"
"1","ABI1"
"2","ACBD5"
"3","ARHGAP12"
"4","ARHGAP21"
"5","ARL5B"
"6","ASB13"
"7","ATP5C1"
"8","BMI1"
"9","C10orf18"
"10","CAMK1D"
"11","CCNY"
"12","CDC123"
"13","CDNF"
"14","COMMD3"
"15","CUL2"
"16","DCLRE1C"
"17","DHTKD1"
"18","EPC1"
"19","FAM188A"
"20","FBXO18"
"21","GDI2"
"22","GTPBP4"
"23","HNRNPF"
"24","HSPA14"
"25","IDI1"
"26","KIF5B"
"27","KIN"
"28","LARP4B"
"29","LOC283070"
"30","LOC387647"
"31","MLLT10"
"32","MTPAP"
"33","NET1"
"34","NMT2"
"35","NSUN6"
"36","NUDT5"
"37","OTUD1"
"38","PDSS1"
"39","PFKP"
"40","PITRM1"
"41","PRPF18"
"42","PRTFDC1"
"43","PTER"
"44","RBM17"
"45","RPP38"
"46","SEC61A2"
"47","SEPHS1"
"48","STAM"
"49","SUV39H2"
"50","TAF3"
"51","TRDMT1"
"52","UPF2"
"53","USP6NL"
"54","WAC"
"55","YME1L1"
"56","ZMYND11"
"57","ZNF25"
