"","x"
"1","A2M"
"2","ABCA3"
"3","ABCA8"
"4","ABCC6P1"
"5","ABCC6P2"
"6","ABCC6"
"7","ACADL"
"8","ACOX2"
"9","ACOXL"
"10","ACSF2"
"11","ACSM3"
"12","ADAMTS8"
"13","ADH1B"
"14","AG2"
"15","AGER"
"16","AGR2"
"17","AGR3"
"18","AGTR2"
"19","AHCYL2"
"20","AK1"
"21","ALDH1A2"
"22","ALOX15B"
"23","ALPK3"
"24","ALPL"
"25","AMY1A"
"26","AMY2A"
"27","ANKRD1"
"28","APOH"
"29","AQP1"
"30","AQP4"
"31","ARHGAP29"
"32","ARHGEF38"
"33","ASPA"
"34","ATOH8"
"35","ATP11A"
"36","ATP13A4"
"37","ATP1A2"
"38","ATP8A1"
"39","AWAT2"
"40","AZGP1"
"41","B3GNT6"
"42","B3GNT7"
"43","BAAT"
"44","BMP5"
"45","C13orf15"
"46","C16orf89"
"47","C17orf54"
"48","C19orf59"
"49","C1orf116"
"50","C1orf130"
"51","C20orf160"
"52","C20orf56"
"53","C20orf70"
"54","C3"
"55","C4A"
"56","C4BPA"
"57","C4BPB"
"58","C4orf31"
"59","C5"
"60","C7"
"61","C8A"
"62","C8B"
"63","C8orf34"
"64","C8orf4"
"65","C9orf152"
"66","CA1"
"67","CA3"
"68","CA4"
"69","CACNA2D2"
"70","CAPN13"
"71","CAPN8"
"72","CAPN9"
"73","CAT"
"74","CBLN4"
"75","CCDC141"
"76","CCDC48"
"77","CCL14"
"78","CCNJL"
"79","CD302"
"80","CD36"
"81","CDKL2"
"82","CEACAM6"
"83","CEACAM8"
"84","CFI"
"85","CFTR"
"86","CGN"
"87","CHIA"
"88","CISH"
"89","CITED2"
"90","CKMT2"
"91","CLDN18"
"92","CLDN2"
"93","CLEC14A"
"94","CLEC3B"
"95","CLIC5"
"96","CMAH"
"97","CNTN6"
"98","COBL"
"99","COL4A3"
"100","COX4I2"
"101","CPAMD8"
"102","CPB2"
"103","CP"
"104","CRTAC1"
"105","CSF3R"
"106","CSPG5"
"107","CSRNP1"
"108","CST5"
"109","CTSE"
"110","CTSG"
"111","CTSH"
"112","CXCL17"
"113","CXCL2"
"114","CXorf66"
"115","CYB5A"
"116","CYP17A1"
"117","CYP1A2"
"118","CYP21A2"
"119","CYP2B7P1"
"120","CYP4B1"
"121","DARC"
"122","DCDC2"
"123","DDAH1"
"124","DEFA1B"
"125","DEFA4"
"126","DES"
"127","DMBT1"
"128","DPCR1"
"129","DPP4"
"130","DUSP1"
"131","EDNRB"
"132","EGR1"
"133","EGR3"
"134","EMCN"
"135","ERBB4"
"136","ERG"
"137","ERP27"
"138","ESAM"
"139","ESYT3"
"140","F11"
"141","FAM107A"
"142","FAM162B"
