"","x"
"1","ADRA1A"
"2","BAGE2"
"3","BAGE"
"4","C7orf66"
"5","COX7B2"
"6","CSAG1"
"7","CSAG2"
"8","CSAG3"
"9","CT47A1"
"10","CTAG1B"
"11","CTAG2"
"12","CXorf48"
"13","DCAF4L2"
"14","FAM133A"
"15","FLJ25363"
"16","GAGE10"
"17","GAGE12D"
"18","GAGE12F"
"19","GAGE12J"
"20","GAGE13"
"21","GAGE1"
"22","GAGE2A"
"23","GAGE2B"
"24","GAGE2C"
"25","GAGE2D"
"26","GAGE2E"
"27","GAGE4"
"28","GAGE8"
"29","GBA3"
"30","GTSF1"
"31","LOC100133469"
"32","MAGEA12"
"33","MAGEA1"
"34","MAGEA2"
"35","MAGEA3"
"36","MAGEA6"
"37","MAGEB2"
"38","MAGEB3"
"39","MAGEC1"
"40","MAGEC2"
"41","NAA11"
"42","NPFFR2"
"43","OR8A1"
"44","PAGE1"
"45","PAGE2B"
"46","PAGE2"
"47","PANX3"
"48","RBM46"
"49","RBMY1E"
"50","RBMY2FP"
"51","TPTE"
"52","TSPY1"
"53","TSPY2"
"54","TSPY3"
"55","TSPY4"
"56","XAGE1D"
"57","ZNF595"
