"","x"
"1","ACOT7"
"2","AKR7A2"
"3","ANKRD17"
"4","ARHGEF16"
"5","ARHGEF19"
"6","ARID1A"
"7","ATAD3A"
"8","ATG2A"
"9","ATPIF1"
"10","AURKAIP1"
"11","B3GALT6"
"12","B4GALT2"
"13","BSDC1"
"14","C1orf122"
"15","C1orf123"
"16","C1orf128"
"17","C1orf144"
"18","C1orf151"
"19","C1orf159"
"20","C1orf172"
"21","C1orf86"
"22","C1orf89"
"23","C1orf91"
"24","C1orf93"
"25","CAMTA1"
"26","CAPZB"
"27","CASP9"
"28","CASZ1"
"29","CPSF3L"
"30","CRTAP"
"31","CTNNBIP1"
"32","DDI2"
"33","DDOST"
"34","DFFA"
"35","DHDDS"
"36","DMAP1"
"37","DNAJC11"
"38","DNAJC16"
"39","DUSP3"
"40","DVL1"
"41","DYRK4"
"42","EFHA1"
"43","EIF2C1"
"44","EIF4G3"
"45","ENO1"
"46","ESD"
"47","ESPN"
"48","EXOSC10"
"49","EYA3"
"50","FAM46B"
"51","FAM54B"
"52","FBXO42"
"53","FEZ2"
"54","GLTPD1"
"55","GMDS"
"56","GMEB1"
"57","GNB1"
"58","GNG5"
"59","GPATCH3"
"60","GPN2"
"61","GSTO1"
"62","HECTD3"
"63","HHLA3"
"64","HMGCL"
"65","HMGN2"
"66","HTT"
"67","IAH1"
"68","ICMT"
"69","IGBP1"
"70","INPP5B"
"71","IPO13"
"72","KAZ"
"73","KDM1A"
"74","KDM2A"
"75","KDM4A"
"76","KHDRBS1"
"77","KIAA0090"
"78","KIAA0562"
"79","KIAA2013"
"80","KIF1B"
"81","KLHL21"
"82","KRT35"
"83","LDLRAP1"
"84","LOC148413"
"85","LOC401010"
"86","LOC541471"
"87","LOC643837"
"88","LRRC41"
"89","LRRC47"
"90","LUZP1"
"91","LYPLA2P1"
"92","LYPLA2"
"93","MAD2L2"
"94","MASP2"
"95","MAST2"
"96","MECR"
"97","MFN2"
"98","MIIP"
"99","MOV10"
"100","MRPL20"
"101","MTF1"
"102","MTOR"
"103","NADK"
"104","NBPF1"
"105","NCDN"
"106","NFIA"
"107","NFYC"
"108","NIPAL3"
"109","NMNAT1"
"110","NOC2L"
"111","NOL9"
"112","NUDC"
"113","ODF2L"
"114","PABPC4"
"115","PAFAH2"
"116","PANK4"
"117","PARK7"
"118","PEF1"
"119","PEX10"
"120","PEX14"
"121","PHACTR4"
"122","PHF13"
"123","PNRC2"
"124","POLR3A"
"125","POMGNT1"
"126","PQLC2"
"127","PRKCZ"
"128","PTPRF"
"129","PUM1"
"130","PUSL1"
"131","RCAN3"
"132","RCC2"
"133","RER1"
"134","RHCE"
"135","RNF220"
"136","RPL11"
"137","RPL22L1"
"138","RPL22"
"139","RPS27"
"140","RSC1A1"
"141","RTCD1"
"142","SFRS4"
"143","SH3BGRL3"
"144","SLC35E2"
"145","SLC35E2"
"146","SLC45A2"
"147","SPEN"
"148","SRM"
"149","SRRM1"
"150","SSU72"
"151","SYF2"
"152","TAF12"
"153","TCEB3"
"154","THAP3"
"155","THRAP3"
"156","TMEM222"
"157","TMEM39B"
"158","TMEM53"
"159","TMEM54"
"160","TP73"
"161","TPRG1L"
"162","TRNAU1AP"
"163","TXLNA"
"164","UBE2J2"
"165","UBIAD1"
"166","USP24"
"167","USP48"
"168","WASF2"
"169","WDR8"
"170","XKR8"
"171","YPEL1"
"172","ZBTB17"
"173","ZNF436"
"174","ZNF593"
"175","ZSCAN1"
"176","ZSCAN20"
