"","x"
"1","ASTN1"
"2","BRD9"
"3","BRIX1"
"4","C5orf22"
"5","C5orf28"
"6","C5orf33"
"7","C5orf34"
"8","C5orf51"
"9","CCDC127"
"10","CCT5"
"11","CLPTM1L"
"12","CMBL"
"13","DAP"
"14","DNAJC21"
"15","EXOC3"
"16","FAM105B"
"17","FAM173B"
"18","FASTKD3"
"19","FBXO4"
"20","GAD1"
"21","GHR"
"22","GOLPH3"
"23","GPR156"
"24","GUSBP1"
"25","KIAA0947"
"26","LIFR"
"27","LMBRD2"
"28","LOC153684"
"29","LOC441046"
"30","LOC728613"
"31","MARCH6"
"32","MED10"
"33","MGC42105"
"34","MRPL36"
"35","MRPS30"
"36","MTMR12"
"37","MTRR"
"38","NDUFS6"
"39","NEUROG2"
"40","NIPBL"
"41","NNT"
"42","NSUN2"
"43","NUP155"
"44","OXCT1"
"45","PAIP1"
"46","PAPD7"
"47","PDCD6"
"48","PRKAA1"
"49","RAD1"
"50","RICTOR"
"51","RNASEN"
"52","RPL37"
"53","SDHA"
"54","SIAH3"
"55","SKP2"
"56","SLC6A15"
"57","SRD5A1"
"58","SUB1"
"59","SUGT1P1"
"60","TARS"
"61","TRIO"
"62","TTC33"
"63","WDR70"
"64","ZFR"
"65","ZNF131"
"66","ZNF622"
