"","x"
"1","BYSL"
"2","C6orf129"
"3","C6orf130"
"4","C6orf153"
"5","C6orf64"
"6","CD2AP"
"7","CDC5L"
"8","CNPY3"
"9","CUL7"
"10","FBXO9"
"11","GLO1"
"12","HSP90AB1"
"13","KIAA0240"
"14","KLC4"
"15","KLHDC3"
"16","MAD2L1BP"
"17","MEA1"
"18","MED20"
"19","MRPL14"
"20","MRPL2"
"21","MRPS10"
"22","MRPS18A"
"23","MUT"
"24","NFYA"
"25","POLH"
"26","POLR1C"
"27","PPIL1"
"28","PPP2R5D"
"29","RPL7L1"
"30","RPS10"
"31","RPS18"
"32","SLC35B2"
"33","TAF8"
"34","TBCC"
"35","TOMM6"
"36","UBR2"
"37","XPO5"
"38","YIPF3"
"39","ZNF318"
