"","x"
"1","AACSL"
"2","AADACL4"
"3","ACHE"
"4","ACSM2B"
"5","ADAM22"
"6","ADAM5P"
"7","AMELX"
"8","ANKRD30B"
"9","ANO2"
"10","ASCL4"
"11","BCAN"
"12","BMPER"
"13","C15orf43"
"14","C1QL2"
"15","C3orf45"
"16","C4orf11"
"17","C7orf16"
"18","C7orf34"
"19","C9orf170"
"20","CABP2"
"21","CCDC28B"
"22","CDY1B"
"23","CEACAM20"
"24","CHRNA6"
"25","CNTN2"
"26","CRB2"
"27","CUX2"
"28","DCX"
"29","DNMT3L"
"30","DNTT"
"31","DRGX"
"32","EBF3"
"33","EGOT"
"34","ENPP6"
"35","ERO1LB"
"36","ESRRB"
"37","ETV6"
"38","FAM151A"
"39","FAM163A"
"40","FAM171A1"
"41","FAM196A"
"42","FAM26D"
"43","FBP2"
"44","FBXL13"
"45","FOLR4"
"46","FRMD1"
"47","FUT4"
"48","GABBR2"
"49","GCET2"
"50","GNAT1"
"51","GOLGA6C"
"52","GRIK4"
"53","HGC6"
"54","HS3ST4"
"55","HULC"
"56","IAPP"
"57","IL17REL"
"58","INSM1"
"59","IQCG"
"60","KCNB2"
"61","KCNJ6"
"62","KCNN2"
"63","KCTD4"
"64","KEL"
"65","KIF25"
"66","KREMEN2"
"67","KRT2"
"68","KRT36"
"69","KRT73"
"70","KRT84"
"71","LIX1"
"72","LOC100124692"
"73","LOC100129066"
"74","LOC100192426"
"75","LOC285796"
"76","LOC440896"
"77","LOC84740"
"78","LOC84856"
"79","LOC93432"
"80","LPAR4"
"81","LRRC19"
"82","LRRC55"
"83","MAGEB4"
"84","MGAT3"
"85","MYBPC1"
"86","MYCNOS"
"87","MYCN"
"88","NCRNA00028"
"89","NCRNA00032"
"90","NCRNA00110"
"91","NEDD1"
"92","NOXO1"
"93","NPB"
"94","NPHS1"
"95","NPHS2"
"96","NPVF"
"97","NPY6R"
"98","OBP2B"
"99","OCA2"
"100","OLIG3"
"101","OR56A3"
"102","OR5V1"
"103","OSTN"
"104","OXER1"
"105","PAK3"
"106","PARD3B"
"107","PBX1"
"108","PIWIL1"
"109","PIWIL4"
"110","POPDC2"
"111","PRAC"
"112","PRODH2"
"113","PXDNL"
"114","PYDC1"
"115","RET"
"116","RGS8"
"117","RNF150"
"118","RNF165"
"119","RTP3"
"120","RYR3"
"121","SERPINA11"
"122","SERPINA12"
"123","SFRP1"
"124","SIM1"
"125","SLC18A1"
"126","SLC22A16"
"127","SLC25A18"
"128","SLC27A6"
"129","SLC38A3"
"130","SLC39A12"
"131","SLC8A3"
"132","SLCO5A1"
"133","SNORA47"
"134","SOX10"
"135","SOX14"
"136","SOX8"
"137","SPACA3"
"138","SPSB4"
"139","SSTR2"
"140","ST8SIA1"
"141","STAR"
"142","STRA8"
"143","SYNPO2"
"144","TAL2"
"145","TCERG1L"
"146","TEKT5"
"147","TEX11"
"148","TLX1NB"
"149","TMEM108"
"150","TMEM150C"
"151","TMEM72"
"152","TRPV5"
"153","TTTY6B"
"154","UPB1"
"155","UTS2D"
"156","VASH2"
"157","VN1R4"
"158","XKR4"
