"","x"
"1","ANP32C"
"2","ANP32D"
"3","ANXA2P3"
"4","ATP5EP2"
"5","ATP5L2"
"6","C14orf19"
"7","C8orf59"
"8","CLK2P"
"9","COX6C"
"10","CSNK1A1L"
"11","EIF3IP1"
"12","FLJ44635"
"13","HRSP12"
"14","HSP90AB2P"
"15","HSP90B3P"
"16","ID2B"
"17","LOC100132724"
"18","LOC100132831"
"19","LOC145845"
"20","LOC440563"
"21","LOC442454"
"22","LOC649330"
"23","LOC723972"
"24","NACA2"
"25","NME2P1"
"26","OSTCL"
"27","P704P"
"28","PA2G4P4"
"29","PABPC1P2"
"30","PIP5K1P1"
"31","POTEE"
"32","PPIAL4D"
"33","PTTG2"
"34","PTTG3P"
"35","RPL13AP6"
"36","RPL19P12"
"37","RPL31P11"
"38","RPS26P11"
"39","SBF1P1"
"40","UBE2NL"
"41","UQCRB"
