"","x"
"1","ACTN4"
"2","ADCK4"
"3","AKT2"
"4","ALKBH6"
"5","ANKRD27"
"6","C19orf12"
"7","C19orf40"
"8","C19orf46"
"9","C19orf47"
"10","C19orf54"
"11","C19orf55"
"12","C1orf14"
"13","CAPNS1"
"14","CCDC123"
"15","CEBPA"
"16","CEBPG"
"17","CNTD2"
"18","COX6B1"
"19","CSN1S2A"
"20","DPY19L3"
"21","DYRK1B"
"22","ECH1"
"23","EGLN2"
"24","EID2B"
"25","EID2"
"26","EIF3K"
"27","FAM98C"
"28","FBL"
"29","FBXO17"
"30","FBXO27"
"31","GPATCH1"
"32","HAUS5"
"33","HIPK4"
"34","HKR1"
"35","ITPKC"
"36","KIAA0355"
"37","LIN37"
"38","LRFN1"
"39","LRFN3"
"40","LRP3"
"41","LSM14A"
"42","LSR"
"43","MAP3K10"
"44","MED29"
"45","MLL4"
"46","MRPS12"
"47","NFKBIB"
"48","NUDT19"
"49","OR6C1"
"50","PAF1"
"51","PAK4"
"52","PDCD2L"
"53","PDCD5"
"54","PEPD"
"55","PLD3"
"56","POLR2I"
"57","POP4"
"58","PSENEN"
"59","PSMC4"
"60","PSMD8"
"61","RAB4B"
"62","RBM42"
"63","RHPN2"
"64","RINL"
"65","RPS16"
"66","SAMD4B"
"67","SARS2"
"68","SDHAF1"
"69","SERTAD3"
"70","SHKBP1"
"71","SIPA1L3"
"72","SIRT2"
"73","SPINT2"
"74","SPTBN4"
"75","SUPT5H"
"76","TBCB"
"77","THAP8"
"78","TIMM50"
"79","TMEM147"
"80","TTC9B"
"81","U2AF1L4"
"82","UBA2"
"83","UQCRFS1"
"84","USF2"
"85","WDR62"
"86","YIF1B"
"87","ZFP14"
"88","ZFP30"
"89","ZFP82"
"90","ZNF146"
"91","ZNF181"
"92","ZNF260"
"93","ZNF302"
"94","ZNF30"
"95","ZNF345"
"96","ZNF382"
"97","ZNF383"
"98","ZNF420"
"99","ZNF461"
"100","ZNF507"
"101","ZNF527"
"102","ZNF529"
"103","ZNF536"
"104","ZNF540"
"105","ZNF546"
"106","ZNF565"
"107","ZNF566"
"108","ZNF567"
"109","ZNF568"
"110","ZNF569"
"111","ZNF570"
"112","ZNF571"
"113","ZNF573"
"114","ZNF585A"
"115","ZNF585B"
"116","ZNF599"
"117","ZNF607"
"118","ZNF780A"
"119","ZNF780B"
"120","ZNF790"
"121","ZNF792"
"122","ZNF793"
"123","ZNF829"
"124","ZNF90"
