"","x"
"1","ADCK5"
"2","ARHGAP39"
"3","BOP1"
"4","BRMS1"
"5","C8ORFK29"
"6","C8orf30A"
"7","C8orf33"
"8","C8orf51"
"9","C8orf55"
"10","CCDC85B"
"11","CCNDBP1"
"12","CHRAC1"
"13","COMMD5"
"14","CPSF1"
"15","CYHR1"
"16","DGAT1"
"17","EEF1D"
"18","EIF2C2"
"19","EIF3H"
"20","EXOSC4"
"21","FAM84B"
"22","FBXL6"
"23","GLI4"
"24","GPAA1"
"25","GPR172A"
"26","GRINA"
"27","HEATR7A"
"28","HSF1"
"29","LMTK3"
"30","LRRC24"
"31","MAF1"
"32","MAMSTR"
"33","MFSD3"
"34","MGC70857"
"35","NAPRT1"
"36","NAT6"
"37","NFKBIL2"
"38","NPW"
"39","OPLAH"
"40","PPFIA3"
"41","PPP1R16A"
"42","PTK2"
"43","PUF60"
"44","PYCRL"
"45","RALY"
"46","RECQL4"
"47","RPL30"
"48","RPL8"
"49","RPS20"
"50","SCRIB"
"51","SHARPIN"
"52","SLC39A4"
"53","SLC45A4"
"54","TFAP2E"
"55","TIGD5"
"56","TMUB1"
"57","TRAPPC9"
"58","TSNARE1"
"59","TSTA3"
"60","VPS28"
"61","ZC3H3"
"62","ZNF16"
"63","ZNF250"
"64","ZNF251"
"65","ZNF34"
"66","ZNF517"
"67","ZNF623"
"68","ZNF696"
"69","ZNF707"
"70","ZNF7"
