"","x"
"1","ANKMY2"
"2","AVL9"
"3","BBS9"
"4","BLVRA"
"5","BZW2"
"6","C1GALT1"
"7","C7orf11"
"8","C7orf25"
"9","C7orf26"
"10","C7orf27"
"11","C7orf28A"
"12","C7orf28B"
"13","C7orf30"
"14","C7orf36"
"15","C7orf40"
"16","C7orf41"
"17","C7orf44"
"18","C7orf50"
"19","C7orf70"
"20","CBX3"
"21","CCDC126"
"22","CDK13"
"23","CYCS"
"24","DAGLB"
"25","DDX56"
"26","EIF2AK1"
"27","EIF3B"
"28","FAM126A"
"29","FAM188B"
"30","FBXL18"
"31","FKBP14"
"32","FOXK1"
"33","FTSJ2"
"34","GARS"
"35","GET4"
"36","GGCT"
"37","HEATR2"
"38","HERPUD2"
"39","HIBADH"
"40","HUS1"
"41","INTS1"
"42","IQCE"
"43","KBTBD2"
"44","KDELR2"
"45","KLHL7"
"46","LSM5"
"47","MAD1L1"
"48","MIOS"
"49","MRPL32"
"50","MRPS24"
"51","NDUFA4"
"52","NT5C3"
"53","NUDCD3"
"54","NUDT1"
"55","NUPL2"
"56","OGDH"
"57","PHF14"
"58","PLEKHA8"
"59","PMS2"
"60","POLD2"
"61","PPIAL4C"
"62","PPIAL4G"
"63","PPIA"
"64","PPP1R3F"
"65","PRKAR1B"
"66","PSMA2"
"67","PSMG3"
"68","RAC1"
"69","RALA"
"70","RAPGEF5"
"71","RNF216L"
"72","RNF216"
"73","RP9"
"74","RPA3"
"75","SCRN1"
"76","SEPT7"
"77","SNX13"
"78","SNX8"
"79","TAX1BP1"
"80","TBRG4"
"81","TMED4"
"82","TMEM106B"
"83","TNRC18"
"84","TOMM7"
"85","TWISTNB"
"86","UBE2D4"
"87","URGCP"
"88","USP42"
"89","VPS41"
"90","WIPI2"
"91","YKT6"
"92","ZDHHC4"
"93","ZNF12"
"94","ZNF815"
"95","ZNRF2"
