"","x"
"1","APEX1"
"2","C14orf119"
"3","C14orf167"
"4","C14orf21"
"5","CCNB1IP1"
"6","CHD8"
"7","CHMP4A"
"8","DAD1"
"9","DCAF11"
"10","DHRS4L1"
"11","DHRS4L2"
"12","DHRS4"
"13","DMRTB1"
"14","FAM158A"
"15","GMPR2"
"16","HAUS4"
"17","HOMEZ"
"18","IPO4"
"19","MDP1"
"20","MRPL52"
"21","NEDD8"
"22","NGDN"
"23","NRL"
"24","OR8D1"
"25","OSGEP"
"26","OXA1L"
"27","PARP2"
"28","PCK2"
"29","PNP"
"30","PRMT5"
"31","PSMB5"
"32","RAB2B"
"33","RABGGTA"
"34","RBM23"
"35","RNF31"
"36","SUPT16H"
"37","THTPA"
"38","TINF2"
"39","TM9SF1"
"40","TMEM55B"
"41","TOX4"
"42","TTC5"
