"","x"
"1","AARS"
"2","ACD"
"3","ACSF3"
"4","ADAT1"
"5","AMFR"
"6","ANKRD11"
"7","AP1G1"
"8","APRT"
"9","ARL2BP"
"10","ATMIN"
"11","ATXN1L"
"12","BBS2"
"13","BCAR1"
"14","BRD7"
"15","C16orf57"
"16","C16orf61"
"17","C16orf70"
"18","C16orf80"
"19","C16orf87"
"20","C20orf135"
"21","CBFB"
"22","CENPBD1"
"23","CENPN"
"24","CES2"
"25","CFDP1"
"26","CHD9"
"27","CHMP1A"
"28","CIAPIN1"
"29","CIRH1A"
"30","CMIP"
"31","CMTM4"
"32","CNOT1"
"33","COG4"
"34","COG8"
"35","COQ9"
"36","COX4I1"
"37","COX4NB"
"38","CPNE2"
"39","CSNK2A2"
"40","CTCF"
"41","CTU2"
"42","CYB5B"
"43","DBNDD1"
"44","DDX19A"
"45","DDX19B"
"46","DDX28"
"47","DEF8"
"48","DHX38"
"49","DNAJA2"
"50","DOK4"
"51","DUS2L"
"52","DYNC1LI2"
"53","E2F4"
"54","EDC4"
"55","ELMO3"
"56","EXOSC6"
"57","FAM192A"
"58","FAM96B"
"59","FBXO31"
"60","FTO"
"61","FTSJD1"
"62","FUK"
"63","GALNS"
"64","GAS8"
"65","GCSH"
"66","GFOD2"
"67","GLG1"
"68","GOT2"
"69","GPR56"
"70","HEATR3"
"71","HSBP1"
"72","HSDL1"
"73","ITFG1"
"74","KARS"
"75","KATNB1"
"76","KIAA0174"
"77","KLHDC4"
"78","KLHL36"
"79","LONP2"
"80","MBTPS1"
"81","MLYCD"
"82","MMP15"
"83","MON1B"
"84","MPHOSPH6"
"85","MTHFSD"
"86","MTSS1L"
"87","MVD"
"88","NAE1"
"89","NFAT5"
"90","NIP7"
"91","NOB1"
"92","NUDT21"
"93","NUDT7"
"94","NUP93"
"95","NUTF2"
"96","OGFOD1"
"97","PAPD5"
"98","PDP2"
"99","PDPR"
"100","PHKB"
"101","PHLPP2"
"102","POLR2C"
"103","PRMT7"
"104","PSMD7"
"105","RANBP10"
"106","RBL2"
"107","RPGRIP1L"
"108","RPL13"
"109","RSPRY1"
"110","SF3B3"
"111","SLC38A7"
"112","SLC7A6OS"
"113","SLC7A6"
"114","SNTB2"
"115","SPATA2L"
"116","TCF25"
"117","TERF2IP"
"118","TERF2"
"119","THAP11"
"120","TMCO7"
"121","TMEM170A"
"122","TMEM208"
"123","TRADD"
"124","TRAPPC2L"
"125","TXNL4B"
"126","USP10"
"127","VAC14"
"128","VPS35"
"129","VPS4A"
"130","WWOX"
"131","WWP2"
"132","ZC3H18"
"133","ZCCHC14"
"134","ZDHHC7"
"135","ZFHX3"
"136","ZFP1"
"137","ZFP90"
"138","ZFPM1"
"139","ZNF19"
"140","ZNF23"
"141","ZNF319"
