"","x"
"1","ABCC5"
"2","ABCF3"
"3","ACAP2"
"4","ACTL6A"
"5","ADRBK1"
"6","ALG3"
"7","AMBRA1"
"8","AP2M1"
"9","ATP11B"
"10","ATP13A3"
"11","B3GNT5"
"12","C3orf21"
"13","C3orf34"
"14","C3orf59"
"15","C3orf70"
"16","C4orf51"
"17","CHRNA2"
"18","CLCN2"
"19","COX6A2"
"20","DCUN1D1"
"21","DENND5B"
"22","DLG1"
"23","DNAJB11"
"24","DNAJC19"
"25","DVL3"
"26","ECE2"
"27","EFCAB4A"
"28","EHHADH"
"29","EIF2B5"
"30","EIF4A2"
"31","EIF5A2"
"32","ELOVL2"
"33","FAM131A"
"34","FBXO45"
"35","FXR1"
"36","FYTTD1"
"37","GOLIM4"
"38","GOSR2"
"39","GYG2"
"40","HTR3D"
"41","IFT20"
"42","KIAA0226"
"43","KLHL24"
"44","LOC152217"
"45","LOC284551"
"46","LRCH3"
"47","LSG1"
"48","LTK"
"49","MAEA"
"50","MAGEF1"
"51","MAP6D1"
"52","MCOLN3"
"53","MFN1"
"54","MRGPRX1"
"55","MRPL47"
"56","MYNN"
"57","MYOD1"
"58","NCBP2"
"59","NCEH1"
"60","NDUFB5"
"61","NFE2L1"
"62","NRIP3"
"63","OPA1"
"64","PAK2"
"65","PARL"
"66","PCYT1A"
"67","PDCD10"
"68","PHC3"
"69","PIGX"
"70","PIK3CA"
"71","PLD1"
"72","PLEKHA1"
"73","POLR2H"
"74","POLR2L"
"75","PPP1R2P3"
"76","PPP1R2"
"77","PRKCI"
"78","PROP1"
"79","PRRG3"
"80","PSMD2"
"81","RAB12"
"82","RFC4"
"83","RGS17"
"84","RNF103"
"85","RNF168"
"86","RPH3AL"
"87","RPL35A"
"88","SCYL1"
"89","SEC62"
"90","SENP2"
"91","SENP5"
"92","SIAH2"
"93","SORL1"
"94","SOX3"
"95","SPDEF"
"96","TBCCD1"
"97","TBL1XR1"
"98","TFRC"
"99","THPO"
"100","TMEM41A"
"101","TRA2B"
"102","TRIM77"
"103","TSHZ2"
"104","UBXN7"
"105","VPS8"
"106","WDR53"
"107","YEATS2"
"108","ZMAT3"
"109","ZNF639"
