"","x"
"1","ADIPOR2"
"2","AEBP2"
"3","AKAP3"
"4","ALG10"
"5","ATN1"
"6","C12orf11"
"7","C12orf32"
"8","C12orf4"
"9","C12orf5"
"10","C12orf66"
"11","C12orf72"
"12","CCDC91"
"13","CDKN1B"
"14","CMAS"
"15","COPS7A"
"16","DDX47"
"17","DERA"
"18","DUSP16"
"19","EMG1"
"20","ERGIC2"
"21","ETNK1"
"22","FAM60A"
"23","FAM66C"
"24","FBXL14"
"25","FGFR1OP2"
"26","FKBP4"
"27","FOXJ2"
"28","GAPDH"
"29","GOLT1B"
"30","HEBP1"
"31","IPO8"
"32","ITFG2"
"33","KDM5A"
"34","KIAA0528"
"35","KRAS"
"36","LDHB"
"37","LOC144571"
"38","LOC374443"
"39","LOH12CR2"
"40","LPCAT3"
"41","LRP6"
"42","LTBR"
"43","M6PR"
"44","MAGOHB"
"45","MED21"
"46","MLF2"
"47","MRPL51"
"48","MRPS35"
"49","NCAPD2"
"50","NDUFA9"
"51","NECAP1"
"52","NOP2"
"53","NRIP2"
"54","PARP11"
"55","PEX5"
"56","PHB2"
"57","PHC1"
"58","PUS7L"
"59","PYROXD1"
"60","RAD51AP1"
"61","RECQL"
"62","RIMKLB"
"63","RPL13P5"
"64","STK38L"
"65","STRAP"
"66","TEAD4"
"67","TM7SF3"
"68","TPI1"
"69","TULP3"
"70","USP5"
"71","WBP11"
"72","YARS2"
"73","ZNF384"
