"","x"
"1","ALDOA"
"2","ARMC5"
"3","ATXN2L"
"4","BCKDK"
"5","BCL7C"
"6","BOLA2"
"7","C16orf53"
"8","C16orf58"
"9","CCDC101"
"10","CD2BP2"
"11","CDIPT"
"12","CLN3"
"13","COG7"
"14","EIF3CL"
"15","FBRS"
"16","FBXL19"
"17","GIYD2"
"18","GTF3C1"
"19","HIRIP3"
"20","INO80E"
"21","JMJD5"
"22","KCTD13"
"23","KIAA0556"
"24","KIF22"
"25","MAPK3"
"26","MAZ"
"27","MYST1"
"28","NSMCE1"
"29","PHKG2"
"30","POLR3E"
"31","PPP4C"
"32","PRR14"
"33","RABEP2"
"34","RNF40"
"35","SEPHS2"
"36","SETD1A"
"37","SPNS1"
"38","SRCAP"
"39","STX4"
"40","TAOK2"
"41","TBC1D10B"
"42","TUFM"
"43","XPO6"
"44","ZNF48"
"45","ZNF629"
"46","ZNF646"
"47","ZNF668"
"48","ZNF688"
"49","ZNF747"
"50","ZNF764"
"51","ZNF768"
