"","x"
"1","C18orf20"
"2","HIST1H1B"
"3","HIST1H1C"
"4","HIST1H1D"
"5","HIST1H1E"
"6","HIST1H1T"
"7","HIST1H2AB"
"8","HIST1H2AC"
"9","HIST1H2AD"
"10","HIST1H2AE"
"11","HIST1H2AG"
"12","HIST1H2AH"
"13","HIST1H2AJ"
"14","HIST1H2AK"
"15","HIST1H2AL"
"16","HIST1H2AM"
"17","HIST1H2BB"
"18","HIST1H2BC"
"19","HIST1H2BD"
"20","HIST1H2BE"
"21","HIST1H2BF"
"22","HIST1H2BG"
"23","HIST1H2BH"
"24","HIST1H2BI"
"25","HIST1H2BJ"
"26","HIST1H2BK"
"27","HIST1H2BL"
"28","HIST1H2BM"
"29","HIST1H2BN"
"30","HIST1H2BO"
"31","HIST1H3A"
"32","HIST1H3B"
"33","HIST1H3C"
"34","HIST1H3D"
"35","HIST1H3E"
"36","HIST1H3F"
"37","HIST1H3G"
"38","HIST1H3H"
"39","HIST1H3I"
"40","HIST1H3J"
"41","HIST1H4A"
"42","HIST1H4B"
"43","HIST1H4C"
"44","HIST1H4D"
"45","HIST1H4E"
"46","HIST1H4F"
"47","HIST1H4H"
"48","HIST1H4I"
"49","HIST1H4J"
"50","HIST1H4K"
"51","HIST2H2AA3"
"52","HIST2H2AB"
"53","HIST2H2AC"
"54","HIST2H2BA"
"55","HIST2H2BE"
"56","HIST2H2BF"
"57","HIST2H3C"
"58","HIST2H3D"
"59","HIST2H4A"
"60","HIST4H4"
"61","OR1L6"
"62","OR2B6"
"63","SCARNA18"
"64","SCARNA1"
"65","SCARNA21"
"66","SCARNA22"
"67","SCARNA2"
"68","SCARNA6"
"69","SNORA36A"
"70","SNORA54"
"71","SNORA71D"
"72","SNORA74B"
"73","SNORA7B"
