"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","calcium-dependent phospholipid binding","GO:0005544","0.0027140772299973225","2.566377798502197","52","704","11","18098","ANXA13,ANXA2,ANXA8L1,ANXA8,DOC2B,RPH3A,SYT10,SYT12,SYT5,SYT7,SYT8"
"GO:MF","BH domain binding","GO:0051400","0.012705106738712205","1.8960216819840179","10","704","5","18098","BAK1,BCL2L1,BCL2,BOK,IRGM"
"GO:MF","phosphatidylinositol bisphosphate binding","GO:1902936","0.03361344697937856","1.4734869493762945","104","704","14","18098","ADAP1,ANXA2,ANXA8L1,ANXA8,ARAP3,DFNA5,PHLDA3,PLEK2,RPH3A,SNAP91,STXBP6,SYT10,SYT5,SYT7"
"GO:BP","anatomical structure morphogenesis","GO:0009653","9.96469557333685e-7","6.001535964684465","2742","699","169","17816","ADAM15,ALCAM,ALDH1A3,AMOT,ANGPTL4,ANXA2,ARHGAP22,ARHGAP24,ARPC2,B3GNT2,BAK1,BASP1,BCAR3,BCAS3,BCL2L1,BCL2,BCL3,BMP2,BTG1,CA2,CABP4,CAMK2A,CAPN2,CARD10,CCK,CD151,CDC42EP5,CDH18,CDH3,CEBPB,CHRNA9,CIB1,CRABP2,DACT2,DIO3,DISC1,DMRT3,DOCK5,DSCAM,EFNA5,EFNB1,EHD1,EHD2,EIF2AK3,EPB41,EPHB2,EREG,EYA4,FBLIM1,FGD4,FGF13,FGF2,FGFR2,FHL2,FMN1,FOXB2,FOXC1,FREM1,GLI3,GPC3,GPLD1,GSX2,HAND2,HDAC9,HES2,HOXB13,HOXB3,HPSE,IGF2BP3,IL1A,IL4R,IRX2,ITGA3,KDM2B,KIF5C,KLF7,KLK5,L1CAM,LAMB3,LHX1,LMO4,LRG1,LRIG1,MDFI,METRN,MICALCL,MIXL1,MLLT3,MT3,MTSS1,MUL1,MYOM1,MYPN,NCAM1,NCOA1,NEO1,NEUROG3,NFASC,NFE2L2,NGFR,NLGN1,NOX5,NPNT,NPPC,NPY5R,NRN1,NRXN1,NRXN3,OLFM4,OTX1,PALMD,PDE3B,PDGFA,PDZD7,PHLDA2,PHLDA3,PLA2G3,PLCD3,PLK2,PLXNA2,PPP1R13L,PTN,RAPGEF3,REG1A,RHOC,RHOD,RND3,RPS6KA1,RRAS,S100A10,S100A13,S100A7,SCML2,SEMA3A,SEMA4A,SHANK2,SHB,SHC1,SHROOM1,SLC11A2,SLC9A3R1,SLITRK4,SMAD2,SMAD5,SMARCC1,SOS1,SOX7,SSH3,STOX1,TGFA,TGFBR3,TGIF2,TH,TMPRSS6,TNFRSF12A,TNFRSF13C,TNFRSF1A,TNNT1,TOP2B,TRAK1,TUBB2B,TUBB3,UBP1,VASP,VAV2,VEZF1,WNT7A,XDH,ZC3H12A"
"GO:BP","regulation of biological quality","GO:0065008","0.00000133270732272575","5.875265215988495","4067","699","229","17816","ACOT11,ADRA2B,ADRB2,AGTRAP,AKAP7,ALDH1A1,ALDH1A3,AMIGO2,ANGPTL4,ANXA2,ANXA8,APPL2,ARHGAP22,ARPC2,ATP4A,ATP6V0E2,ATP9A,BAK1,BCL2L1,BCL2,BCL3,BDKRB1,BDKRB2,BMP2,BOK,CA2,CACNB4,CALCB,CAMK2A,CAMK2G,CARHSP1,CCK,CD59,CDC42EP5,CDH3,CDK4,CDK6,CDKN2AIP,CEBPB,CGB5,CGB8,CHRNA9,CHRNB1,CLCN1,CNGB1,CRABP2,CTBP2,CTTNBP2,CYP27C1,DGKE,DIO3,DISC1,DOC2B,DOCK5,DRD5,DSCAM,EFNA5,EHD1,EHD2,EPB41,EPHB2,ESRRG,FBLIM1,FGD4,FGF12,FGF13,FGF2,FMN1,FOXC1,G0S2,GABRG3,GCKR,GNA15,GPLD1,GPR157,GPR20,GRIN2B,HDAC9,HEPHL1,HOMER2,HPS6,HPSE,HRH1,HSD17B2,HSD17B3,HTR7,IFNA13,IGF2BP3,IL11,IL1A,IL1RAP,IL20RB,IL4R,INSC,IRGM,KCNC4,KCNE3,KCNK10,KCNK6,KCNMB2,KCNN4,KCNS3,KLF7,KSR2,L1CAM,LIPG,LRTM2,MDFI,MEST,MORC3,MT1E,MT2A,MT3,MTNR1B,MUL1,MYB,MYEF2,MYLIP,MYO5B,NCOA1,NEO1,NFE2L2,NGFR,NLGN1,NPPC,NPR3,NR1D2,NRN1,NRXN1,NRXN3,NTSR1,NXN,P2RX6,P2RY2,PALMD,PCSK2,PDGFA,PEAR1,PEBP1,PLAC8,PLAU,PLB1,PLCH1,PLK2,PLXNA2,POMC,PORCN,PPP1R13L,PREPL,PROC,PRTN3,PTN,PYCR1,RAB22A,RAPGEF3,RAPGEF4,RB1CC1,RBP1,REG1A,RGS14,RHOC,RHOD,RIMS3,RIMS4,RIN1,RND3,RP1L1,RPH3A,S100A13,S100A7,S100A8,S100A9,SAMD4A,SEMA3A,SEMA4A,SERPINA3,SEZ6,SHANK2,SLC11A2,SLC25A23,SLC39A6,SLC4A11,SLC4A7,SLC6A2,SLC9A3R1,SLC9A4,SLC9A9,SLCO4A1,SLITRK4,SMAD2,SMAD5,SNCG,SORCS3,SOS1,SSH3,STEAP3,STOX1,SUGT1,SV2A,SYT12,SYT5,SYT7,SYT8,TAF9B,TBL1X,TEP1,TFPI2,TGFBR3,THBD,TH,TMPRSS6,TMSB10,TNFRSF11A,TNFRSF12A,TNFRSF13C,TNIP2,TPCN1,TRIM6,TXNL1,UCP1,USP2,VASP,VAV2,WNK2,WNT7A,XDH,ZBED3,ZC3H12A,ZSCAN4"
"GO:BP","positive regulation of developmental process","GO:0051094","0.00007883323816828756","4.103290633912375","1431","699","98","17816","ADRA2B,ADRB2,ALK,AMIGO2,AMOT,ANGPTL4,ANXA2,ARPC2,BASP1,BCL2,BMP2,BTG1,CA2,CAPN2,CEBPB,CIB1,CLCF1,CRABP2,CSF2,DIO3,DISC1,DOCK5,DSCAM,EFNA5,EHD1,EHD2,EPHB2,FGF2,FGFR2,FOXC1,GJC2,GLI3,GSX2,HAND2,HDAC9,HPSE,IL1A,IL1RAP,IL20,IL4R,ITGA3,KDM2B,KLF10,L1CAM,LHX1,LRG1,LRTM2,METRN,MIXL1,MUL1,MYB,NCOA1,NEUROG3,NFE2L2,NFKBIZ,NGFR,NLGN1,NPNT,NPPC,NRXN1,OLFM4,PDGFA,PLK2,PLXNA2,PPP1R13L,PPP2R5B,PROC,PTK6,PTN,RAPGEF3,RASSF10,REG1A,RGS14,RPS6KA1,RPS6KA3,RRAS,S100A10,S100A9,SEMA3A,SEMA4A,SERPINB7,SERPINI1,SHANK2,SLITRK4,SMAD2,SMAD5,STOX1,TGFBR3,TGIF2,TNFRSF12A,TNFRSF13C,TNFRSF1A,TRAK1,TUBB2B,VEZF1,WIF1,WNT7A,ZC3H12A"
"GO:BP","positive regulation of multicellular organismal process","GO:0051240","0.0006419542133077867","3.192495946412285","1821","699","114","17816","ADRA2B,ADRB2,AFAP1L2,ALK,AMIGO2,AMOT,ANGPTL4,ANXA2,APPL1,APPL2,BASP1,BCAS3,BCL2,BCL3,BMP2,BTG1,CA2,CCK,CD58,CEBPB,CIB1,CLCF1,CRABP2,CSF2,DDX41,DIO3,DISC1,DOCK5,DSCAM,EFNA5,EHD1,EIF2AK3,EPHB2,EREG,ESRRG,FGF2,FGFR2,FOXC1,G0S2,GJC2,GLI3,GPLD1,GSX2,HAND2,HDAC9,HPSE,HRH1,IL17RC,IL1A,IL1RAP,IL20RB,IL20,IL4R,ITGA3,KDM2B,KLF10,KSR2,L1CAM,LHX1,LIPG,LRG1,LRRFIP1,LRTM2,METRN,MTNR1B,MUL1,MYB,NCOA1,NEUROG3,NFE2L2,NFKBIZ,NGFR,NLGN1,NLRP7,NPNT,NPPC,NRXN1,NTSR1,P2RY2,PDGFA,PELI1,PLAC8,PLK2,PLXNA2,PPP2R5B,PTK6,PTN,RAPGEF3,RASSF10,REG1A,RGS14,RRAS,S100A9,SEMA3A,SEMA4A,SERPINB7,SERPINI1,SHANK2,SLITRK4,SMAD2,SMAD5,STOX1,TGFBR3,TGIF2,THBD,TNFRSF11A,TNFRSF12A,TNFRSF13C,TRAK1,TRIM6,TUBB2B,UCP1,WNT7A,ZC3H12A"
"GO:BP","signaling","GO:0023052","0.0007799919046555439","3.107909904721918","6662","699","325","17816","ACOT11,ADAM15,ADAP1,ADRA2B,ADRB2,ADRBK2,AFAP1L2,AGTRAP,AKAP7,ALCAM,ALK,AMOT,ANK1,ANXA2,APPL1,APPL2,ARAP3,ARHGAP22,ARHGAP24,ARHGEF37,ARPC2,ASB15,ASB2,ASIP,ATP6V0E2,AVPI1,BAK1,BCAR3,BCL2L1,BCL2,BCL3,BDKRB1,BDKRB2,BMP2,BOK,C3ORF58,CA2,CAB39,CABP4,CACNB4,CALCB,CAMK2A,CAMK2G,CAMK2N1,CARD10,CARHSP1,CASP14,CCDC68,CCK,CD151,CD59,CD82,CDC42EP5,CDH3,CDK4,CDK6,CDKN2AIP,CEBPB,CGB5,CGB8,CHRNA9,CHRNB1,CIB1,CLCF1,CLCN1,CNGB1,CRABP2,CRADD,CSF2,CTBP2,CXCL3,CXXC5,DACT2,DEFB4A,DFNA5,DGKE,DISC1,DLGAP1,DMRT3,DOC2B,DOCK5,DRD5,DSCAM,DTNA,DTX3,DUSP5,EFNA5,EFNB1,EIF2AK3,EPHB2,EREG,ESRRG,EYA4,FAM83A,FAM83D,FGD4,FGF12,FGF13,FGF2,FGFR2,FHL2,FOXC1,FSCN1,G0S2,GABRG3,GJC2,GLI3,GNA15,GPC3,GPLD1,GPR101,GPR153,GPR157,GPR160,GPR20,GPR78,GPS1,GRIN2B,GRPR,GSX2,HAND2,HES2,HOMER2,HPSE,HRH1,HRK,HTR7,ICK,IFNA13,IFNE,IL11,IL17C,IL17RC,IL1A,IL1RAP,IL20RB,IL20,IL3,IL4R,INPP1,INPP4B,INPP5F,IRAK2,IRAK4,IRGM,ITGA3,ITGB6,KCNC4,KCNE3,KCNIP3,KCNK10,KCNK6,KCNMB2,KCNN4,KCNS3,KLF10,KLF7,KLK5,KSR2,LANCL1,LHX1,LRG1,LY6E,MAP3K15,MAST4,MBD2,MDFI,MLLT3,MT2A,MT3,MTNR1B,MTSS1,MUL1,MYB,MYOM1,NCAM1,NCOA1,NDFIP2,NEO1,NFASC,NFE2L2,NFKBIZ,NGFR,NLGN1,NPNT,NPPC,NPR3,NPY5R,NR1D2,NRN1,NRXN1,NRXN3,NTSR1,NTS,NUAK2,NXN,OR10AG1,OR5AP2,OXGR1,P2RX6,P2RY2,PDE3B,PDGFA,PEAR1,PEBP1,PELI1,PHLDA2,PHLDA3,PIAS2,PIK3C3,PIP4K2B,PIP5K1B,PITPNM1,PLAU,PLCD3,PLCH1,PLEK2,PLEKHF1,PLK2,PLK3,PLXNA2,POMC,PORCN,PPM1B,PPM1D,PPP1R13L,PPP2R5B,PRAME,PREPL,PRTN3,PSD4,PTGES,PTK6,PTN,PTPRR,PTPRU,PXN,RAB22A,RAB27B,RAB40B,RAB43,RAPGEF3,RAPGEF4,RASGEF1A,RASSF10,RASSF9,RB1CC1,REG1A,RGS14,RHOC,RHOD,RIMS3,RIMS4,RIN1,RND3,RP1L1,RPH3A,RPS6KA1,RPS6KA3,RPS6KA4,RRAGD,RRAS,RSPO4,S100A13,S100A7,S100A8,S100A9,SCUBE3,SEMA3A,SEMA4A,SEZ6,SHANK2,SHB,SHC1,SLC6A2,SLC9A3R1,SMAD2,SMAD5,SMARCC1,SNCG,SORCS3,SOS1,SOX7,STK17A,STK32C,STOX1,SV2A,SYT10,SYT12,SYT5,SYT7,SYT8,TAF9B,TAS2R41,TAS2R60,TBL1X,TGFA,TGFBR3,TGIF2,TH,TMEM170B,TMPRSS6,TNFRSF10B,TNFRSF10D,TNFRSF11A,TNFRSF12A,TNFRSF13C,TNFRSF1A,TNFRSF6B,TNIP2,TNRC6C,TRAF3IP2,TRIM6,TUBB2B,TUBB3,UBE2V1,UNC119,VAV2,WIF1,WNK2,WNT7A,XDH,ZBED3,ZC3H12A,ZCCHC12"
"GO:BP","cell communication","GO:0007154","0.0012095889492575052","2.917362189516818","6689","699","325","17816","ACOT11,ADAM15,ADAP1,ADRA2B,ADRB2,ADRBK2,AFAP1L2,AGTRAP,AKAP7,ALCAM,ALK,AMOT,ANK1,ANXA2,APPL1,APPL2,ARAP3,ARHGAP22,ARHGAP24,ARHGEF37,ARPC2,ASB15,ASB2,ASIP,ATP6V0E2,AVPI1,BAK1,BCAR3,BCL2L1,BCL2,BCL3,BDKRB1,BDKRB2,BMP2,BOK,C3ORF58,CA2,CAB39,CABP4,CACNB4,CALCB,CAMK2A,CAMK2G,CAMK2N1,CARD10,CARHSP1,CASP14,CCDC68,CCK,CD151,CD59,CD82,CDC42EP5,CDH3,CDK4,CDK6,CDKN2AIP,CEBPB,CGB5,CGB8,CHRNA9,CHRNB1,CIB1,CLCF1,CLCN1,CNGB1,CRABP2,CRADD,CSF2,CTBP2,CXCL3,CXXC5,DACT2,DEFB4A,DFNA5,DGKE,DISC1,DLGAP1,DMRT3,DOC2B,DOCK5,DRD5,DSCAM,DTNA,DTX3,DUSP5,EFNA5,EFNB1,EIF2AK3,EPHB2,EREG,ESRRG,EYA4,FAM83A,FAM83D,FGD4,FGF12,FGF13,FGF2,FGFR2,FHL2,FOXC1,FREM1,FSCN1,G0S2,GABRG3,GJC2,GLI3,GNA15,GPC3,GPLD1,GPR101,GPR153,GPR157,GPR160,GPR20,GPR78,GPS1,GRIN2B,GRPR,GSX2,HAND2,HES2,HOMER2,HPSE,HRH1,HRK,HTR7,ICK,IFNA13,IFNE,IL11,IL17C,IL17RC,IL1A,IL1RAP,IL20RB,IL20,IL3,IL4R,INPP1,INPP4B,INPP5F,IRAK2,IRAK4,IRGM,ITGA3,ITGB6,KCNC4,KCNIP3,KCNK10,KCNMB2,KCNN4,KCNS3,KLF10,KLF7,KLK5,KSR2,LANCL1,LHX1,LRG1,LY6E,MAP3K15,MAST4,MBD2,MDFI,MLLT3,MT2A,MT3,MTNR1B,MTSS1,MUL1,MYB,MYOM1,NCAM1,NCOA1,NDFIP2,NEO1,NFASC,NFE2L2,NFKBIZ,NGFR,NLGN1,NPNT,NPPC,NPR3,NPY5R,NR1D2,NRN1,NRXN1,NRXN3,NTSR1,NTS,NUAK2,NXN,OR10AG1,OR5AP2,OXGR1,P2RX6,P2RY2,PDE3B,PDGFA,PEAR1,PEBP1,PELI1,PHLDA2,PHLDA3,PIAS2,PIK3C3,PIP4K2B,PIP5K1B,PITPNM1,PLAU,PLCD3,PLCH1,PLEK2,PLEKHF1,PLK2,PLK3,PLXNA2,POMC,PORCN,PPM1B,PPM1D,PPP1R13L,PPP2R5B,PRAME,PREPL,PRTN3,PSD4,PTGES,PTK6,PTN,PTPRR,PTPRU,PXN,RAB22A,RAB27B,RAB40B,RAB43,RAPGEF3,RAPGEF4,RASGEF1A,RASSF10,RASSF9,RB1CC1,REG1A,RGS14,RHOC,RHOD,RIMS3,RIMS4,RIN1,RND3,RP1L1,RPH3A,RPS6KA1,RPS6KA3,RPS6KA4,RRAGD,RRAS,RSPO4,S100A13,S100A7,S100A8,S100A9,SCUBE3,SEMA3A,SEMA4A,SEZ6,SHANK2,SHB,SHC1,SLC6A2,SLC9A3R1,SMAD2,SMAD5,SMARCC1,SNCG,SORCS3,SOS1,SOX7,STK17A,STK32C,STOX1,SV2A,SYT10,SYT12,SYT5,SYT7,SYT8,TAF9B,TAS2R41,TAS2R60,TBL1X,TGFA,TGFBR3,TGIF2,TH,TMEM170B,TMPRSS6,TNFRSF10B,TNFRSF10D,TNFRSF11A,TNFRSF12A,TNFRSF13C,TNFRSF1A,TNFRSF6B,TNIP2,TNRC6C,TRAF3IP2,TRIM6,TUBB2B,TUBB3,UBE2V1,UNC119,UPP1,VAV2,WIF1,WNK2,WNT7A,XDH,ZBED3,ZC3H12A,ZCCHC12"
"GO:BP","positive regulation of nervous system development","GO:0051962","0.0013514900730252238","2.8691871399365474","553","699","47","17816","ADRA2B,ALK,AMIGO2,BCL2,BMP2,CLCF1,CRABP2,DISC1,DSCAM,EFNA5,EHD1,EPHB2,GJC2,GLI3,GSX2,IL1RAP,ITGA3,L1CAM,LHX1,LRTM2,METRN,MUL1,MYB,NCOA1,NEUROG3,NFE2L2,NGFR,NLGN1,NRXN1,PLXNA2,PPP2R5B,PTK6,PTN,RASSF10,REG1A,RGS14,S100A9,SEMA3A,SEMA4A,SERPINI1,SHANK2,SLITRK4,TGIF2,TNFRSF12A,TRAK1,TUBB2B,WNT7A"
