"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","DNA-binding transcription activator activity","GO:0001216","0.000005574749678435989","5.2537746288564255","420","1742","78","18098","ALX1,ALX4,ARID3B,ARID3C,ARNTL,AR,ATF4,ATOH1,BARX1,CTCFL,DDIT3,DMRT1,ESR1,ETV2,FOXD2,FOXF1,FOXL2,FOXO3,FOXO4,GATA1,GATA2,GATA4,GBX1,GCM1,GSX1,HOXA10,HOXA5,HOXB7,HOXC10,HOXC11,HOXD13,KLF6,LHX4,LMO2,LMX1A,MEOX1,MEOX2,MSX1,MYBL1,MYC,MYOCD,NANOG,NEUROD2,NFATC3,NFIB,NFIC,NFKB1,NR1I3,NR5A2,NR6A1,NRF1,ONECUT1,ONECUT3,OTX2,PAX8,PITX3,POU4F1,RAX2,RAX,RBPJL,RBPJ,REST,RFX6,SIRT1,SIX3,SIX6,SOHLH1,SOX17,SOX18,SOX1,SREBF1,STAT3,TCF15,TFAP4,TFCP2,TLX2,YY2,ZNF300"
"GO:MF","DNA-binding transcription activator activity, RNA polymerase II-specific","GO:0001228","0.000005574749678435989","5.2537746288564255","420","1742","78","18098","ALX1,ALX4,ARID3B,ARID3C,ARNTL,AR,ATF4,ATOH1,BARX1,CTCFL,DDIT3,DMRT1,ESR1,ETV2,FOXD2,FOXF1,FOXL2,FOXO3,FOXO4,GATA1,GATA2,GATA4,GBX1,GCM1,GSX1,HOXA10,HOXA5,HOXB7,HOXC10,HOXC11,HOXD13,KLF6,LHX4,LMO2,LMX1A,MEOX1,MEOX2,MSX1,MYBL1,MYC,MYOCD,NANOG,NEUROD2,NFATC3,NFIB,NFIC,NFKB1,NR1I3,NR5A2,NR6A1,NRF1,ONECUT1,ONECUT3,OTX2,PAX8,PITX3,POU4F1,RAX2,RAX,RBPJL,RBPJ,REST,RFX6,SIRT1,SIX3,SIX6,SOHLH1,SOX17,SOX18,SOX1,SREBF1,STAT3,TCF15,TFAP4,TFCP2,TLX2,YY2,ZNF300"
"GO:MF","DNA-binding transcription factor activity, RNA polymerase II-specific","GO:0000981","0.00047836744771326565","3.3202383811925196","1593","1742","210","18098","ALX1,ALX4,ARID2,ARID3B,ARID3C,ARID5B,ARNTL2,ARNTL,AR,ATF4,ATOH1,ATOH7,BARX1,BCL6B,CDX2,CTCFL,DBX1,DDIT3,DLX4,DMBX1,DMRT1,DMRTA1,DNMT3A,ELF2,EMX1,ESR1,ESR2,ETV2,FEV,FOXA3,FOXD2,FOXD3,FOXF1,FOXL2,FOXO3,FOXO4,GATA1,GATA2,GATA4,GATAD1,GBX1,GCM1,GSC2,GSC,GSX1,HDX,HELT,HES5,HMBOX1,HMGA1,HMX1,HMX2,HMX3,HOXA10,HOXA2,HOXA5,HOXB7,HOXB8,HOXC10,HOXC11,HOXC5,HOXC6,HOXC9,HOXD13,ID4,IRX6,KLF6,KLF9,LCORL,LCOR,LHX4,LHX8,LMO2,LMX1A,LMX1B,LRRFIP2,MEOX1,MEOX2,MESP2,MLXIPL,MNX1,MSX1,MYBL1,MYC,MYOCD,NANOG,NCOA2,NEUROD2,NEUROG1,NFATC3,NFIB,NFIC,NFIX,NFKB1,NPAS1,NR1I3,NR2F2,NR3C2,NR5A2,NR6A1,NRF1,ONECUT1,ONECUT3,OSR1,OTP,OTX2,PAX2,PAX8,PCGF6,PDX1,PHOX2A,PITX2,PITX3,PKNOX2,POU4F1,POU5F2,PRDM10,PRDM12,PSPC1,QRICH1,RAX2,RAX,RBPJL,RBPJ,REST,RFX6,SATB1,SHOX2,SIM2,SIRT1,SIX3,SIX6,SMARCA5,SOHLH1,SOX17,SOX18,SOX1,SOX30,SOX6,SREBF1,SRY,STAT3,TADA2B,TAF1L,TAF1,TAL1,TBR1,TBX10,TCF15,TCF23,TERF1,TFAP4,TFCP2,THRA,TLX2,TLX3,TMSB15B,TSC22D1,YBX2,YY2,ZBED5,ZBTB24,ZBTB49,ZC3H8,ZFP64,ZFP91,ZKSCAN1,ZKSCAN5,ZMYM2,ZMYM5,ZNF107,ZNF138,ZNF174,ZNF18,ZNF212,ZNF214,ZNF26,ZNF273,ZNF280A,ZNF280B,ZNF2,ZNF300,ZNF354A,ZNF37A,ZNF394,ZNF43,ZNF445,ZNF449,ZNF485,ZNF492,ZNF497,ZNF501,ZNF502,ZNF511,ZNF558,ZNF560,ZNF572,ZNF626,ZNF654,ZNF655,ZNF674,ZNF69,ZNF710,ZNF775,ZNF844,ZNF878,ZNF879,ZNF98,ZSCAN5B,ZXDA"
"GO:MF","sequence-specific DNA binding","GO:0043565","0.0005421717491388506","3.2658631158827096","1135","1742","158","18098","ALX1,ALX4,ARID3B,ARID3C,ARID5B,ARNTL2,ARNTL,AR,ATF4,ATOH1,BARX1,BCL6B,CDX2,CHCHD2,CTCFL,DBX1,DDIT3,DLX4,DMBX1,DMRT1,DMRTA1,DNMT3A,ELF2,EMX1,ESR1,ESR2,ETV2,FEV,FOXA3,FOXD2,FOXD3,FOXF1,FOXL2,FOXO3,FOXO4,GATA1,GATA2,GATA4,GATAD1,GBX1,GCM1,GSC2,GSC,GSX1,HDAC2,HDAC5,HELT,HES5,HMBOX1,HMGA1,HMX1,HMX2,HMX3,HNRNPD,HOXA10,HOXA2,HOXA5,HOXB7,HOXB8,HOXC10,HOXC11,HOXC5,HOXC6,HOXC9,HOXD13,IRX6,JMJD1C,KLF6,LHX4,LHX8,LIN54,LMO2,LMX1A,LMX1B,MAPT,MCM5,MEOX1,MEOX2,MESP2,MLXIPL,MNX1,MSX1,MYBL1,MYC,MYOCD,NANOG,NCOA2,NEUROD2,NEUROG1,NFATC3,NFIB,NFIC,NFKB1,NR1I3,NR2F2,NR3C2,NR5A2,NR6A1,NRF1,ONECUT3,OSR1,OTP,OTX2,PAX2,PAX8,PCGF6,PDX1,PHOX2A,PITX2,PITX3,PKNOX2,POU4F1,POU6F1,PRDM10,PRDM12,PSPC1,RAG1,RAX2,RAX,RBPJL,RBPJ,REST,RFC1,RFX6,RPA4,SATB1,SHOX2,SIRT1,SIX3,SIX6,SOX17,SOX18,SOX1,SOX30,SOX6,SREBF1,STAT3,TAF1L,TAF1,TAL1,TBR1,TCF15,TERF1,TERT,TFAP4,TFCP2,THRA,TLX2,TLX3,WBP2,XRCC5,YY2,ZBTB49,ZC3H8,ZFP64,ZNF174,ZNF300,ZNF485"
"GO:MF","DNA-binding transcription factor activity","GO:0003700","0.0011350728828502252","2.9449762515955706","1694","1742","219","18098","AFF1,AFF3,ALX1,ALX4,ARID2,ARID3B,ARID3C,ARID5B,ARNTL2,ARNTL,AR,ATF4,ATOH1,ATOH7,BARX1,BCL6B,CDX2,CITED1,CTCFL,DBX1,DDIT3,DLX4,DMBX1,DMRT1,DMRTA1,DNMT3A,ELF2,EMX1,ESR1,ESR2,ETV2,FEV,FOXA3,FOXD2,FOXD3,FOXF1,FOXL2,FOXO3,FOXO4,GATA1,GATA2,GATA4,GATAD1,GBX1,GCM1,GSC2,GSC,GSX1,HDX,HELT,HES5,HMBOX1,HMGA1,HMX1,HMX2,HMX3,HOXA10,HOXA2,HOXA5,HOXB7,HOXB8,HOXC10,HOXC11,HOXC5,HOXC6,HOXC9,HOXD13,ID4,IRX6,KLF6,KLF9,LCORL,LCOR,LHX4,LHX8,LMO2,LMX1A,LMX1B,LRRFIP2,MEOX1,MEOX2,MESP2,MLXIPL,MNX1,MSX1,MYBL1,MYC,MYOCD,NANOG,NCOA2,NEUROD2,NEUROG1,NFATC3,NFIB,NFIC,NFIX,NFKB1,NPAS1,NR1I3,NR2F2,NR3C2,NR5A2,NR6A1,NRF1,ONECUT1,ONECUT3,OSR1,OTP,OTX2,PAX2,PAX8,PCGF6,PDX1,PHF5A,PHOX2A,PHTF1,PITX2,PITX3,PKNOX2,POU4F1,POU5F2,POU6F1,PRDM10,PRDM12,PSPC1,QRICH1,RAX2,RAX,RBPJL,RBPJ,REST,RFX6,RFXAP,SATB1,SHOX2,SIM2,SIRT1,SIX3,SIX6,SMARCA5,SOHLH1,SOX17,SOX18,SOX1,SOX30,SOX6,SPZ1,SREBF1,SRY,STAT3,TADA2B,TAF1L,TAF1,TAF6,TAL1,TBR1,TBX10,TCF15,TCF23,TERF1,TFAP4,TFCP2,THRA,TLX2,TLX3,TMSB15B,TSC22D1,YBX2,YY2,ZBED5,ZBTB24,ZBTB49,ZC3H8,ZFP64,ZFP91,ZKSCAN1,ZKSCAN5,ZMYM2,ZMYM5,ZNF107,ZNF138,ZNF174,ZNF18,ZNF212,ZNF214,ZNF26,ZNF273,ZNF280A,ZNF280B,ZNF2,ZNF300,ZNF354A,ZNF37A,ZNF394,ZNF43,ZNF445,ZNF449,ZNF485,ZNF492,ZNF497,ZNF501,ZNF502,ZNF511,ZNF558,ZNF560,ZNF572,ZNF626,ZNF654,ZNF655,ZNF674,ZNF69,ZNF710,ZNF775,ZNF844,ZNF878,ZNF879,ZNF98,ZSCAN5B,ZXDA"
"GO:MF","RNA polymerase II regulatory region sequence-specific DNA binding","GO:0000977","0.0016729357397181643","2.776520740700364","777","1742","114","18098","ALX1,ALX4,ARID3B,ARID3C,ARID5B,ARNTL2,ARNTL,AR,ATF4,ATOH1,BARX1,BCL6B,CDX2,CTCFL,DDIT3,DLX4,DMBX1,DMRT1,DNMT3A,ESR1,ESR2,ETV2,FOXD3,FOXF1,FOXL2,FOXO3,GATA1,GATA2,GATA4,GBX1,GCM1,GSC,GSX1,HDAC2,HDAC5,HELT,HES5,HMX1,HMX3,HOXA10,HOXA2,HOXA5,HOXB7,HOXC10,HOXC11,HOXC5,HOXC6,HOXD13,KLF6,LHX4,LHX8,LIN54,LMO2,LMX1A,LMX1B,MEOX1,MEOX2,MESP2,MLXIPL,MSX1,MYBL1,MYC,MYOCD,NANOG,NCOA2,NEUROD2,NEUROG1,NFATC3,NFIB,NFIC,NFKB1,NR1I3,NR5A2,NR6A1,NRF1,ONECUT3,OSR1,OTX2,PAX8,PCGF6,PDX1,PHOX2A,PITX2,PITX3,PKNOX2,POU4F1,POU6F1,PRDM10,PRDM12,PSPC1,RAX2,RAX,RBPJL,RBPJ,REST,RFX6,SATB1,SIRT1,SIX3,SOX18,SOX1,SOX6,SREBF1,STAT3,TAL1,TBR1,TCF15,TFAP4,TFCP2,THRA,WBP2,YY2,ZC3H8,ZFP64"
"GO:MF","RNA polymerase II regulatory region DNA binding","GO:0001012","0.00256880352943893","2.5902691107369455","784","1742","114","18098","ALX1,ALX4,ARID3B,ARID3C,ARID5B,ARNTL2,ARNTL,AR,ATF4,ATOH1,BARX1,BCL6B,CDX2,CTCFL,DDIT3,DLX4,DMBX1,DMRT1,DNMT3A,ESR1,ESR2,ETV2,FOXD3,FOXF1,FOXL2,FOXO3,GATA1,GATA2,GATA4,GBX1,GCM1,GSC,GSX1,HDAC2,HDAC5,HELT,HES5,HMX1,HMX3,HOXA10,HOXA2,HOXA5,HOXB7,HOXC10,HOXC11,HOXC5,HOXC6,HOXD13,KLF6,LHX4,LHX8,LIN54,LMO2,LMX1A,LMX1B,MEOX1,MEOX2,MESP2,MLXIPL,MSX1,MYBL1,MYC,MYOCD,NANOG,NCOA2,NEUROD2,NEUROG1,NFATC3,NFIB,NFIC,NFKB1,NR1I3,NR5A2,NR6A1,NRF1,ONECUT3,OSR1,OTX2,PAX8,PCGF6,PDX1,PHOX2A,PITX2,PITX3,PKNOX2,POU4F1,POU6F1,PRDM10,PRDM12,PSPC1,RAX2,RAX,RBPJL,RBPJ,REST,RFX6,SATB1,SIRT1,SIX3,SOX18,SOX1,SOX6,SREBF1,STAT3,TAL1,TBR1,TCF15,TFAP4,TFCP2,THRA,WBP2,YY2,ZC3H8,ZFP64"
"GO:MF","double-stranded DNA binding","GO:0003690","0.0026998509021458885","2.568660218864431","965","1742","135","18098","AFF1,AFF3,ALX1,ALX4,ARID3B,ARID3C,ARID5B,ARNTL2,ARNTL,AR,ATF4,ATOH1,BARX1,BCL6B,CDX2,CTCFL,DDIT3,DLX4,DMBX1,DMC1,DMRT1,DNMT3A,ESR1,ESR2,ETV2,FOXD3,FOXF1,FOXL2,FOXO3,GATA1,GATA2,GATA4,GBX1,GCM1,GSC,GSX1,HDAC2,HDAC5,HELT,HES5,HMBOX1,HMGA1,HMGB1,HMX1,HMX3,HNRNPD,HOXA10,HOXA2,HOXA5,HOXB7,HOXC10,HOXC11,HOXC5,HOXC6,HOXD13,JMJD1C,KLF6,LHX4,LHX8,LIN54,LMO2,LMX1A,LMX1B,MAPT,MCM5,MEOX1,MEOX2,MESP2,MLXIPL,MSH3,MSX1,MYBL1,MYC,MYOCD,NANOG,NCOA2,NEUROD2,NEUROG1,NFATC3,NFIB,NFIC,NFKB1,NR1I3,NR5A2,NR6A1,NRF1,ONECUT3,OSR1,OTX2,PAX2,PAX8,PCGF6,PCID2,PDX1,PHOX2A,PITX2,PITX3,PKNOX2,POLR3F,POU4F1,POU6F1,PRDM10,PRDM12,PSPC1,RAX2,RAX,RBBP8,RBPJL,RBPJ,REST,RFC1,RFX6,RPA4,SATB1,SIRT1,SIX3,SIX6,SOX18,SOX1,SOX6,SREBF1,STAT3,TAL1,TBR1,TCF15,TERF1,TFAP4,TFCP2,THRA,WBP2,XRCC5,YY2,ZC3H8,ZCCHC3,ZFP64"
"GO:MF","transcription regulatory region DNA binding","GO:0044212","0.0037355234621356706","2.427648531522527","945","1742","132","18098","ALX1,ALX4,ARID3B,ARID3C,ARID5B,ARNTL2,ARNTL,AR,ATF4,ATOH1,BARX1,BCL6B,CDX2,CITED1,CTCFL,DDIT3,DLX4,DMBX1,DMRT1,DNMT3A,ELL3,ESR1,ESR2,ETV2,FOXA3,FOXD3,FOXF1,FOXL2,FOXO3,GATA1,GATA2,GATA4,GBX1,GCM1,GSC,GSX1,HDAC2,HDAC5,HELT,HES5,HMGA1,HMGB1,HMX1,HMX3,HOXA10,HOXA2,HOXA5,HOXB7,HOXC10,HOXC11,HOXC5,HOXC6,HOXD13,JMJD1C,KLF6,LHX4,LHX8,LIN54,LMO2,LMX1A,LMX1B,MEOX1,MEOX2,MESP2,MLXIPL,MSX1,MYBL1,MYC,MYOCD,NANOG,NCOA2,NEUROD2,NEUROG1,NFATC3,NFIB,NFIC,NFKB1,NR1I3,NR5A2,NR6A1,NRF1,ONECUT3,OSR1,OTX2,PAX2,PAX8,PCGF6,PDX1,PHOX2A,PITX2,PITX3,PKNOX2,POU4F1,POU6F1,PRDM10,PRDM12,PSPC1,RAX2,RAX,RBPJL,RBPJ,REST,RFX6,RNF10,SATB1,SIRT1,SIX3,SIX6,SOX17,SOX18,SOX1,SOX6,SREBF1,STAT3,TAF1,TAF2,TAL1,TBR1,TCF15,TFAP4,TFCP2,THRA,TIPARP,WBP2,XRCC5,YY2,ZBTB24,ZC3H8,ZFP64,ZNF174,ZNF497,ZNF501"
"GO:MF","regulatory region nucleic acid binding","GO:0001067","0.004159134718918358","2.3809970121343986","947","1742","132","18098","ALX1,ALX4,ARID3B,ARID3C,ARID5B,ARNTL2,ARNTL,AR,ATF4,ATOH1,BARX1,BCL6B,CDX2,CITED1,CTCFL,DDIT3,DLX4,DMBX1,DMRT1,DNMT3A,ELL3,ESR1,ESR2,ETV2,FOXA3,FOXD3,FOXF1,FOXL2,FOXO3,GATA1,GATA2,GATA4,GBX1,GCM1,GSC,GSX1,HDAC2,HDAC5,HELT,HES5,HMGA1,HMGB1,HMX1,HMX3,HOXA10,HOXA2,HOXA5,HOXB7,HOXC10,HOXC11,HOXC5,HOXC6,HOXD13,JMJD1C,KLF6,LHX4,LHX8,LIN54,LMO2,LMX1A,LMX1B,MEOX1,MEOX2,MESP2,MLXIPL,MSX1,MYBL1,MYC,MYOCD,NANOG,NCOA2,NEUROD2,NEUROG1,NFATC3,NFIB,NFIC,NFKB1,NR1I3,NR5A2,NR6A1,NRF1,ONECUT3,OSR1,OTX2,PAX2,PAX8,PCGF6,PDX1,PHOX2A,PITX2,PITX3,PKNOX2,POU4F1,POU6F1,PRDM10,PRDM12,PSPC1,RAX2,RAX,RBPJL,RBPJ,REST,RFX6,RNF10,SATB1,SIRT1,SIX3,SIX6,SOX17,SOX18,SOX1,SOX6,SREBF1,STAT3,TAF1,TAF2,TAL1,TBR1,TCF15,TFAP4,TFCP2,THRA,TIPARP,WBP2,XRCC5,YY2,ZBTB24,ZC3H8,ZFP64,ZNF174,ZNF497,ZNF501"
