"","x"
"1","ABCC4"
"2","ABLIM2"
"3","ABLIM3"
"4","ACOT11"
"5","ACPL2"
"6","ACSS1"
"7","ACTBL2"
"8","ACY1"
"9","ADAM15"
"10","ADAMTSL4"
"11","ADAP1"
"12","ADRA2B"
"13","ADRB2"
"14","ADRBK2"
"15","AFAP1L2"
"16","AGTRAP"
"17","AKAP7"
"18","ALAS1"
"19","ALCAM"
"20","ALDH1A1"
"21","ALDH1A3"
"22","ALDH4A1"
"23","ALG1L2"
"24","ALK"
"25","AMIGO2"
"26","AMOT"
"27","ANGPTL4"
"28","ANK1"
"29","ANXA13"
"30","ANXA2P2"
"31","ANXA2"
"32","ANXA8L1"
"33","ANXA8L2"
"34","ANXA8"
"35","AOX2P"
"36","APCDD1L"
"37","APPL1"
"38","APPL2"
"39","ARAP3"
"40","ARGFX"
"41","ARHGAP22"
"42","ARHGAP24"
"43","ARHGEF37"
"44","ARL14"
"45","ARPC2"
"46","ARSI"
"47","ASB15"
"48","ASB2"
"49","ASIP"
"50","ASL"
"51","ASPHD1"
"52","ATP4A"
"53","ATP5A1"
"54","ATP6V0E2"
"55","ATP9A"
"56","ATXN7L3B"
"57","AVPI1"
"58","B3GNT2"
"59","B3GNT3"
"60","B4GALT4"
"61","BAK1"
"62","BASP1"
"63","BBOX1"
"64","BCAR3"
"65","BCAS3"
"66","BCL2L1"
"67","BCL2"
"68","BCL3"
"69","BDKRB1"
"70","BDKRB2"
"71","BEND4"
"72","BEND7"
"73","BMP2"
"74","BOK"
"75","BTG1"
"76","C10orf118"
"77","C10orf120"
"78","C10orf46"
"79","C10orf55"
"80","C11orf17"
"81","C11orf86"
"82","C15orf52"
"83","C16orf48"
"84","C16orf78"
"85","C17orf76"
"86","C17orf77"
"87","C18orf10"
"88","C19orf21"
"89","C19orf33"
"90","C1orf106"
"91","C1orf115"
"92","C1orf68"
"93","C1orf74"
"94","C20orf185"
"95","C21orf29"
"96","C21orf84"
"97","C2CD2"
"98","C2orf42"
"99","C3orf39"
"100","C3orf50"
"101","C3orf52"
"102","C3orf58"
"103","C3orf74"
"104","C5orf23"
"105","C6orf141"
"106","C6orf208"
"107","C6orf223"
"108","C6orf48"
"109","C6orf59"
"110","C7orf31"
"111","C7orf65"
"112","C8orf73"
"113","C8orf74"
"114","C9orf11"
"115","C9orf167"
"116","CA2"
"117","CAB39"
"118","CABP4"
"119","CACNB4"
"120","CALCB"
