"","x"
"1","X"
"2","X"
"3","X"
"4","X"
"5","A1BG"
"6","AAAS"
"7","AADACL2"
"8","AADAC"
"9","AAK1"
"10","AASDH"
"11","AASS"
"12","ABCA11P"
"13","ABCC11"
"14","ABCC8"
"15","ABHD11"
"16","ABHD14B"
"17","ABHD5"
"18","ABL1"
"19","ABL2"
"20","ABO"
"21","ABTB2"
"22","ACADSB"
"23","ACADS"
"24","ACAN"
"25","ACBD7"
"26","ACCSL"
"27","ACE2"
"28","ACN9"
"29","ACOT12"
"30","ACOT13"
"31","ACOT6"
"32","ACOT9"
"33","ACP6"
"34","ACPP"
"35","ACPT"
"36","ACSBG2"
"37","ACSS2"
"38","ACTA2"
"39","ACTB"
"40","ACTG1"
"41","ACTG2"
"42","ACTN1"
"43","ACTR1B"
"44","ACTRT1"
"45","ACVR1"
"46","ACYP2"
"47","ADAD2"
"48","ADAM12"
"49","ADAM19"
"50","ADAM32"
"51","ADAM33"
"52","ADAM9"
"53","ADAMTS10"
"54","ADAMTS12"
"55","ADAMTS14"
"56","ADAMTS15"
"57","ADAMTS16"
"58","ADAMTS18"
"59","ADAMTS1"
"60","ADAMTS2"
"61","ADAMTS4"
"62","ADAMTS5"
"63","ADAMTS6"
"64","ADAMTS7"
"65","ADAMTSL2"
"66","ADARB1"
"67","ADCY7"
"68","ADCY9"
"69","ADCYAP1R1"
"70","ADC"
"71","ADH1A"
"72","ADH1C"
"73","ADH5"
"74","ADI1"
"75","ADORA1"
"76","ADPRHL1"
"77","ADRA1D"
"78","ADRA2A"
"79","AEBP1"
"80","AFAP1L1"
"81","AFAP1"
"82","AFF4"
"83","AFG3L2"
"84","AFMID"
"85","AFTPH"
"86","AGFG2"
"87","AGK"
"88","AGPAT4"
"89","AGPAT6"
"90","AGTR1"
"91","AHR"
"92","AIDA"
"93","AIMP1"
"94","AJAP1"
"95","AK5"
"96","AKAP11"
"97","AKAP12"
"98","AKR7L"
"99","AKT3"
"100","ALDH18A1"
"101","ALDH1L2"
"102","ALDH5A1"
"103","ALDH7A1"
"104","ALDH9A1"
"105","ALG1L"
"106","ALKBH3"
"107","ALPK2"
"108","ALS2CR8"
"109","AMD1"
"110","AMELY"
"111","AMIGO1"
"112","AMMECR1"
"113","AMOTL1"
"114","AMOTL2"
"115","AMPD2"
"116","AMPH"
"117","AMZ1"
"118","ANAPC10"
"119","ANAPC11"
"120","ANGPT2"
"121","ANGPTL2"
"122","ANK3"
"123","ANKH"
"124","ANKLE2"
"125","ANKRD20A3"
"126","ANKRD30A"
"127","ANKRD53"
"128","ANKRD56"
"129","ANO1"
"130","ANO6"
"131","ANPEP"
"132","ANTXR1"
"133","ANTXR2"
"134","ANXA5"
"135","ANXA6"
"136","ANXA9"
"137","AP1AR"
"138","AP1M1"
"139","AP1M2"
"140","AP1S1"
"141","AP3B1"
"142","AP3M2"
"143","AP3S1"
"144","APBB2"
"145","APCDD1"
"146","APEX2"
"147","APLP1"
"148","APOBEC1"
"149","APOBEC3B"
"150","APOM"
"151","APP"
"152","AREG"
"153","ARF4"
"154","ARFIP2"
"155","ARHGAP10"
"156","ARHGAP1"
"157","ARHGEF10"
"158","ARHGEF17"
"159","ARHGEF35"
"160","ARHGEF5"
"161","ARHGEF7"
"162","ARL11"
"163","ARL15"
"164","ARL3"
"165","ARL4C"
"166","ARMC7"
"167","ARMC9"
"168","ARMCX1"
"169","ARMCX2"
"170","ARMCX5"
"171","ARMCX6"
"172","ARPC1B"
"173","ARPC3"
"174","ARSB"
"175","ARSE"
"176","ARSG"
"177","ARSJ"
"178","ASAH2B"
"179","ASAM"
"180","ASAP1"
"181","ASB12"
"182","ASB3"
"183","ASB9"
"184","ASCC3"
"185","ASCL2"
"186","ASH2L"
"187","ASPHD2"
"188","ASPN"
"189","ASPSCR1"
"190","ASRGL1"
"191","ASTL"
"192","ATF7"
"193","ATG16L1"
"194","ATG9A"
"195","ATP10A"
"196","ATP10B"
"197","ATP10D"
"198","ATP13A5"
"199","ATP2B4"
"200","ATP5E"
"201","ATP5G2"
"202","ATP5G3"
"203","ATP5I"
"204","ATP5J2"
"205","ATP5J"
"206","ATP5O"
"207","ATP6V1F"
"208","ATP8A2"
"209","ATP8B1"
"210","ATP8B2"
"211","ATPAF1"
