"","x"
"1","X"
"2","X"
"3","X"
"4","X"
"5","A1CF"
"6","A2LD1"
"7","AANAT"
"8","ABCA13"
"9","ABCA17P"
"10","ABCB9"
"11","ABCC9"
"12","ABHD12"
"13","ABTB1"
"14","ACAA2"
"15","ACCN4"
"16","ACCN5"
"17","ACSL4"
"18","ACSS3"
"19","ACTA1"
"20","ACTC1"
"21","ACTL8"
"22","ACTN2"
"23","ACTR2"
"24","ACTR5"
"25","ACVR1C"
"26","ACYP1"
"27","ADAM10"
"28","ADAM20"
"29","ADAMTS17"
"30","ADAMTS20"
"31","ADAMTS9"
"32","ADAMTSL3"
"33","ADCY1"
"34","ADCY4"
"35","ADCY6"
"36","ADD1"
"37","ADIG"
"38","ADIPOQ"
"39","ADM2"
"40","ADSL"
"41","AFARP1"
"42","AFF1"
"43","AFF2"
"44","AFF3"
"45","AFM"
"46","AGBL1"
"47","AGBL3"
"48","AGMAT"
"49","AGRP"
"50","AGT"
"51","AIFM3"
"52","AKAP13"
"53","AKAP2"
"54","AKR1E2"
"55","ALDH8A1"
"56","ALDOC"
"57","ALG10B"
"58","ALKBH4"
"59","ALLC"
"60","ALOX12"
"61","ALPPL2"
"62","ALPP"
"63","ALX1"
"64","ALX4"
"65","AMAC1L2"
"66","AMAC1"
"67","ANAPC1"
"68","ANGPT1"
"69","ANGPT4"
"70","ANGPTL3"
"71","ANGPTL5"
"72","ANKIB1"
"73","ANKRD12"
"74","ANKRD16"
"75","ANKRD19"
"76","ANKRD20A4"
"77","ANKRD26"
"78","ANKRD2"
"79","ANKRD31"
"80","ANKRD34A"
"81","ANKRD34B"
"82","ANKRD36B"
"83","ANKRD37"
"84","ANKRD39"
"85","ANKRD43"
"86","ANKRD46"
"87","ANKRD7"
"88","ANKS4B"
"89","ANO5"
"90","ANTXRL"
"91","ANXA3"
"92","ANXA4"
"93","AOC2"
"94","AOC3"
"95","AOX1"
"96","AP2A2"
"97","APBB1"
"98","APC"
"99","APH1B"
"100","APLF"
"101","APLNR"
"102","APLN"
"103","APLP2"
"104","APOD"
"105","APOL5"
"106","APOLD1"
"107","AQP8"
"108","ARAF"
"109","ARF3"
"110","ARF5"
"111","ARHGAP20"
"112","ARHGAP6"
"113","ARHGAP8"
"114","ARHGDIG"
"115","ARHGEF15"
"116","ARHGEF33"
"117","ARID2"
"118","ARID3B"
"119","ARID3C"
"120","ARID5B"
"121","ARL16"
"122","ARL17B"
"123","ARMC10"
"124","ARMCX3"
"125","ARMS2"
"126","ARNTL2"
"127","ARNTL"
"128","ARPM1"
"129","ARR3"
"130","ARSD"
"131","AR"
"132","ASB10"
"133","ASFMR1"
"134","ASMTL"
"135","ASZ1"
"136","ATAD2B"
"137","ATF4"
"138","ATF7IP"
"139","ATG10"
"140","ATG5"
"141","ATOH1"
"142","ATOH7"
"143","ATP1A3"
"144","ATP1B2"
"145","ATP4B"
"146","ATP6AP1"
"147","ATP6V0A1"
"148","ATP6V1C2"
"149","ATP6V1H"
"150","ATP8B3"
"151","ATP8B5P"
"152","ATP9B"
"153","ATXN7L3"
"154","AVPR2"
"155","B3GALTL"
"156","B3GAT2"
"157","B4GALT5"
"158","BAP1"
"159","BARX1"
"160","BBS1"
"161","BCL6B"
"162","BCL7B"
"163","BEGAIN"
"164","BEND2"
"165","BET1L"
"166","BET1"
"167","BEX1"
"168","BEX4"
"169","BGLAP"
"170","BHLHB9"
"171","BIK"
"172","BIVM"
"173","BMF"
"174","BNIP3"
"175","BOD1"
"176","BOLL"
"177","BPI"
"178","BRDT"
"179","BRSK1"
"180","BRSK2"
"181","BSN"
"182","BTBD18"
"183","BTBD9"
"184","BTF3L1"
"185","BTG4"
"186","BTNL8"
"187","BUD31"
"188","C10orf108"
"189","C10orf111"
"190","C10orf116"
"191","C10orf11"
"192","C10orf131"
"193","C10orf28"
"194","C10orf2"
"195","C10orf32"
"196","C10orf35"
"197","C10orf62"
"198","C10orf78"
"199","C10orf88"
"200","C10orf96"
"201","C11orf20"
"202","C11orf2"
"203","C11orf34"
"204","C11orf42"
"205","C11orf80"
"206","C11orf84"
"207","C11orf90"
"208","C11orf94"
"209","C11orf9"
"210","C12orf12"
"211","C12orf34"
"212","C12orf44"
"213","C12orf56"
"214","C12orf60"
