"","x"
"1","ABCB10"
"2","ACBD3"
"3","ACBD6"
"4","ADAR"
"5","ADIPOR1"
"6","ADSS"
"7","AHCTF1"
"8","ANGEL2"
"9","ANKRD36BP1"
"10","APH1A"
"11","APOA1BP"
"12","ARF1"
"13","ARHGEF11"
"14","ARID4B"
"15","ARL8A"
"16","ARNT"
"17","ARPC5"
"18","ARV1"
"19","ASH1L"
"20","ATF6"
"21","B3GALNT2"
"22","B4GALT3"
"23","BCL9"
"24","BLZF1"
"25","BOLA1"
"26","BPNT1"
"27","BRP44"
"28","C1orf107"
"29","C1orf124"
"30","C1orf131"
"31","C1orf156"
"32","C1orf204"
"33","C1orf25"
"34","C1orf26"
"35","C1orf27"
"36","C1orf43"
"37","C1orf55"
"38","C1orf57"
"39","C1orf58"
"40","C1orf66"
"41","C1orf77"
"42","C1orf96"
"43","C1orf9"
"44","CACYBP"
"45","CAMSAP1L1"
"46","CCT3"
"47","CD46"
"48","CDC42BPA"
"49","CDC42SE1"
"50","CDC73"
"51","CEP350"
"52","CHD1L"
"53","CNST"
"54","COG2"
"55","COPA"
"56","CREB3L4"
"57","CRTC2"
"58","DAP3"
"59","DARS2"
"60","DCAF6"
"61","DCAF8"
"62","DDX59"
"63","DEDD"
"64","DPM3"
"65","DSTYK"
"66","DUSP12"
"67","EDEM3"
"68","EFCAB2"
"69","EGLN1"
"70","ELK4"
"71","ENSA"
"72","EPRS"
"73","ETV3"
"74","EXOC8"
"75","EZR"
"76","FAM189B"
"77","FAM36A"
"78","FBXO28"
"79","FDPS"
"80","FH"
"81","FLAD1"
"82","FLVCR1"
"83","GABPB2"
"84","GATAD2B"
"85","GGPS1"
"86","GNPAT"
"87","GOLPH3L"
"88","GON4L"
"89","GORAB"
"90","GPATCH2"
"91","GPATCH4"
"92","GPR89A"
"93","GPR89B"
"94","HAX1"
"95","HDGF"
"96","HEATR1"
"97","IARS2"
"98","ILF2"
"99","INTS3"
"100","IPO9"
"101","IQGAP3"
"102","IRF2BP2"
"103","ISG20L2"
"104","JTB"
"105","KCTD3"
"106","KLHL12"
"107","KLHL20"
"108","KRTCAP2"
"109","LASS2"
"110","LBR"
"111","LGALS8"
"112","LGTN"
"113","LPGAT1"
"114","LYSMD1"
"115","METTL13"
"116","MGST3"
"117","MIA3"
"118","MRPL24"
"119","MRPL9"
"120","MRPS14"
"121","MSTO1"
"122","MTX1"
"123","NCSTN"
"124","NDUFS2"
"125","NENF"
"126","NIT1"
"127","NSL1"
"128","NUCKS1"
"129","NUP133"
"130","NVL"
"131","OTUD7B"
"132","PARP1"
"133","PEX11B"
"134","PEX19"
"135","PFDN2"
"136","PHYHD1"
"137","PI4KB"
"138","PIGC"
"139","PIGM"
"140","PIP5K1A"
"141","PIPOX"
"142","PIPSL"
"143","PMF1"
"144","POGK"
"145","POGZ"
"146","POLR3C"
"147","PPOX"
"148","PPP1R15B"
"149","PPPDE1"
"150","PRCC"
"151","PRKAB2"
"152","PRPF3"
"153","PRUNE"
"154","PSMB4"
"155","PSMD4"
"156","PYGO2"
"157","RAB3GAP2"
"158","RAB4A"
"159","RABGAP1L"
"160","RAG1AP1"
"161","RBBP5"
"162","RBM34"
"163","RBM8A"
"164","RCOR3"
"165","RFWD2"
"166","RNF115"
"167","RNF2"
"168","RNPEP"
"169","ROBLD3"
"170","RPRD2"
"171","RRBP1"
"172","SCAMP3"
"173","SCNM1"
"174","SCYL3"
"175","SDCCAG8"
"176","SDHC"
"177","SETDB1"
"178","SF3B4"
"179","SFT2D2"
"180","SLC19A2"
"181","SLC25A44"
"182","SLC41A1"
"183","SMG7"
"184","SMYD2"
"185","SMYD3"
"186","SNAP47"
"187","SNAPIN"
"188","SNORA28"
"189","SNRPE"
"190","SNX27"
"191","SPHAR"
"192","SRP9"
"193","SSR2"
"194","TADA1"
"195","TAF1A"
"196","TAF5L"
"197","TARBP1"
"198","TARS2"
"199","TATDN3"
"200","TBCE"
"201","TFB2M"
"202","TIMM17A"
"203","TIPRL"
"204","TMCO1"
"205","TMEM183A"
"206","TOMM20"
"207","TOR1AIP1"
"208","TP53BP2"
"209","TPM3"
"210","TPR"
"211","TROVE2"
"212","TSEN15"
"213","TSNAX"
"214","TSTD1"
"215","TTC13"
"216","UBAP2L"
"217","UBE2Q1"
"218","UBQLN4"
"219","UCHL5"
"220","UCK2"
"221","UFC1"
"222","UHMK1"
"223","URB2"
"224","USF1"
"225","USP21"
"226","VAMP4"
"227","VPS45"
"228","VPS72"
"229","WDR26"
"230","XPR1"
"231","YY1AP1"
"232","ZBTB37"
"233","ZBTB41"
"234","ZNF124"
"235","ZNF496"
"236","ZNF669"
"237","ZNF678"
"238","ZNF687"
