"","x"
"1","ABHD8"
"2","ACSL3"
"3","AKAP8"
"4","ALKBH7"
"5","ARFGEF2"
"6","ARMC6"
"7","ASNA1"
"8","ATG4D"
"9","BRD4"
"10","C19orf39"
"11","C19orf42"
"12","C19orf43"
"13","C19orf50"
"14","C19orf52"
"15","C19orf53"
"16","C19orf56"
"17","C19orf60"
"18","C19orf62"
"19","C19orf70"
"20","C4orf48"
"21","CARM1"
"22","CC2D1A"
"23","CD320"
"24","CDKN2D"
"25","COPE"
"26","CTR9"
"27","DCAF15"
"28","DDA1"
"29","DDX49"
"30","DHPS"
"31","DHX15"
"32","DNASE2"
"33","ECSIT"
"34","EIF3G"
"35","ELAVL1"
"36","ELOF1"
"37","EPS15L1"
"38","ERBB2IP"
"39","FAM125A"
"40","FAM32A"
"41","FARSA"
"42","FBXL12"
"43","FBXW9"
"44","FDX1L"
"45","GADD45GIP1"
"46","GCDH"
"47","GIGYF2"
"48","GIPC1"
"49","GTPBP3"
"50","HOMER3"
"51","ILVBL"
"52","KIAA1109"
"53","KRI1"
"54","LPAR2"
"55","LSM4"
"56","MAP1S"
"57","MAP2K7"
"58","MAP3K7"
"59","MED26"
"60","MPV17L2"
"61","MRI1"
"62","MRPL34"
"63","MRPL4"
"64","MRPL54"
"65","NDUFA11"
"66","NDUFA13"
"67","NDUFA7"
"68","NDUFB7"
"69","NR2C2AP"
"70","PGLS"
"71","PIN1"
"72","PPAN"
"73","PRKACA"
"74","PSMD1"
"75","QTRT1"
"76","RAB8A"
"77","RAD23A"
"78","RALGAPB"
"79","RAVER1"
"80","RFXANK"
"81","RPL18A"
"82","RPS28"
"83","SCGB1D4"
"84","SEC24B"
"85","SLC35E1"
"86","SNAPC2"
"87","SSBP4"
"88","ST8SIA6"
"89","STAU1"
"90","STX10"
"91","STXBP2"
"92","TECR"
"93","TIMM44"
"94","TMED1"
"95","TMEM161A"
"96","TMEM205"
"97","TOP1"
"98","TRAPPC5"
"99","TRMT1"
"100","TSSK6"
"101","UBA52"
"102","UBL5"
"103","UQCR11"
"104","USE1"
"105","WDR83"
"106","WFDC11"
"107","WWP1"
"108","XAB2"
"109","YIPF2"
"110","ZNF266"
"111","ZNF317"
"112","ZNF414"
"113","ZNF559"
"114","ZNF561"
"115","ZNF653"
