"","x"
"1","AKT1S1"
"2","ALDH16A1"
"3","AP2A1"
"4","AP2S1"
"5","ATP5SL"
"6","AURKC"
"7","BAX"
"8","BCAT2"
"9","BCKDHA"
"10","BCL2L12"
"11","BLOC1S3"
"12","C19orf48"
"13","C19orf61"
"14","C19orf63"
"15","CADM4"
"16","CBLC"
"17","CCDC106"
"18","CCDC97"
"19","CCDC9"
"20","CD3EAP"
"21","CHMP2A"
"22","CIC"
"23","CLPTM1"
"24","CNOT3"
"25","CTU1"
"26","CYTH2"
"27","DBP"
"28","DEDD2"
"29","DHX34"
"30","DMWD"
"31","EML2"
"32","EPN1"
"33","ERCC1"
"34","ERCC2"
"35","ERF"
"36","EXOSC5"
"37","FBXO46"
"38","FIZ1"
"39","FKRP"
"40","FUZ"
"41","GEMIN7"
"42","GLTSCR1"
"43","GLTSCR2"
"44","GPR32"
"45","GRLF1"
"46","GRWD1"
"47","GSK3A"
"48","GYS1"
"49","HNRNPUL1"
"50","HSPBP1"
"51","IRF2BP1"
"52","IRF3"
"53","IRGQ"
"54","ISOC2"
"55","JOSD2"
"56","KCNC3"
"57","KDELR1"
"58","KPTN"
"59","LAYN"
"60","LENG1"
"61","LENG9"
"62","LIG1"
"63","MARK4"
"64","MBOAT7"
"65","MED25"
"66","MEGF8"
"67","MGC2752"
"68","MYPOP"
"69","NAPA"
"70","NAT14"
"71","NDUFA3"
"72","NOSIP"
"73","NR1H2"
"74","NUCB1"
"75","NUP62"
"76","OPA3"
"77","PAFAH1B3"
"78","PIH1D1"
"79","PNKP"
"80","POLD1"
"81","PPP1R12C"
"82","PPP2R1A"
"83","PPP5C"
"84","PRKD2"
"85","PRMT1"
"86","PRPF31"
"87","PRR12"
"88","PRR24"
"89","PTOV1"
"90","QPCTL"
"91","RPL13A"
"92","RPL18"
"93","RPL28"
"94","RPS11"
"95","RPS19"
"96","RPS5"
"97","RUVBL2"
"98","SAE1"
"99","SAPS1"
"100","SCAF1"
"101","SIX5"
"102","SNRPD2"
"103","SPHK2"
"104","STRN4"
"105","SUV420H2"
"106","SYMPK"
"107","TBC1D17"
"108","TEAD2"
"109","TFPT"
"110","TMEM160"
"111","TOMM40"
"112","TRIM28"
"113","TRPM4"
"114","TSEN34"
"115","U2AF2"
"116","UBE2MP1"
"117","UBE2M"
"118","VRK3"
"119","XRCC1"
"120","ZBTB45"
"121","ZNF296"
"122","ZNF324B"
"123","ZNF324"
"124","ZNF428"
"125","ZNF444"
"126","ZNF446"
"127","ZNF524"
"128","ZNF526"
"129","ZNF574"
"130","ZNF575"
"131","ZNF576"
"132","ZNF579"
"133","ZNF580"
"134","ZNF581"
"135","ZNF584"
"136","ZNF628"
"137","ZNF784"
"138","ZNF787"
"139","ZNF837"
"140","ZSCAN22"
