"","x"
"1","X"
"2","AARSD1"
"3","AATF"
"4","ABCB7"
"5","ABCE1"
"6","ABCF2"
"7","ABHD1"
"8","ACACA"
"9","ACAT2"
"10","ACLY"
"11","ACP1"
"12","ACTR6"
"13","ADAM11"
"14","AGPHD1"
"15","AGRN"
"16","AHCY"
"17","AHNAK"
"18","AIFM1"
"19","AIMP2"
"20","AKAP1"
"21","ALG13"
"22","ALKBH2"
"23","AMTN"
"24","AMZ2P1"
"25","AMZ2"
"26","ANAPC5"
"27","ANAPC7"
"28","ANG"
"29","ANKAR"
"30","ANKLE1"
"31","ANKRA2"
"32","ANKRD13B"
"33","ANKRD32"
"34","ANKRD35"
"35","ANKRD40"
"36","ANLN"
"37","ANP32E"
"38","ANUBL1"
"39","APIP"
"40","APITD1"
"41","APOO"
"42","APPBP2"
"43","ARAP1"
"44","ARAP2"
"45","ARFRP1"
"46","ARHGAP11A"
"47","ARHGAP11B"
"48","ARHGAP19"
"49","ARHGEF10L"
"50","ARL5A"
"51","ARL6IP1"
"52","ARL6IP6"
"53","ARMC1"
"54","ARSA"
"55","ASF1B"
"56","ASNSD1"
"57","ASNS"
"58","ASPM"
"59","ATAD2"
"60","ATAD5"
"61","ATF1"
"62","ATIC"
"63","ATL2"
"64","ATP11C"
"65","ATP13A2"
"66","ATP5B"
"67","ATP5G1"
"68","ATP5H"
"69","ATP6V0A2"
"70","ATP6V0D1"
"71","ATRIP"
"72","AURKAPS1"
"73","AURKA"
"74","AURKB"
"75","B3GALT4"
"76","B3GNT8"
"77","B3GNT9"
"78","B4GALT6"
"79","BARD1"
"80","BBS10"
"81","BCAM"
"82","BCDIN3D"
"83","BCL9L"
"84","BIRC5"
"85","BLM"
"86","BNIP1"
"87","BOLA3"
"88","BRAP"
"89","BRCA1"
"90","BRCA2"
"91","BRI3BP"
"92","BRIP1"
"93","BTG2"
"94","BUB1B"
"95","BUB1"
"96","BUB3"
"97","C10orf119"
"98","C11orf82"
"99","C12orf24"
"100","C12orf29"
"101","C12orf43"
"102","C12orf45"
"103","C12orf48"
"104","C12orf52"
"105","C12orf65"
"106","C12orf73"
"107","C13orf34"
"108","C13orf38"
"109","C14orf106"
"110","C15orf23"
"111","C15orf42"
"112","C16orf59"
"113","C17orf104"
"114","C17orf42"
"115","C17orf53"
"116","C17orf58"
"117","C17orf71"
"118","C17orf75"
"119","C17orf79"
"120","C17orf80"
"121","C17orf91"
"122","C17orf95"
"123","C17orf96"
"124","C18orf54"
"125","C18orf8"
"126","C1orf112"
"127","C1orf135"
"128","C1orf182"
"129","C20orf111"
"130","C20orf7"
"131","C21orf45"
"132","C2orf28"
"133","C2orf3"
"134","C2orf43"
"135","C2orf44"
"136","C2orf47"
"137","C2orf49"
"138","C2orf56"
"139","C2orf60"
"140","C2orf64"
"141","C2orf69"
"142","C3orf31"
"143","C3orf75"
"144","C4orf27"
"145","C4orf46"
"146","C5orf4"
"147","C5orf53"
"148","C6orf145"
"149","C6orf167"
"150","C8orf41"
"151","C9orf40"
"152","C9orf7"
"153","C9orf93"
"154","CALCOCO1"
"155","CALM2"
"156","CALR3"
"157","CAND1"
"158","CASC5"
"159","CASP8AP2"
"160","CBS"
"161","CBWD1"
"162","CBX1"
"163","CC2D1B"
"164","CCDC104"
"165","CCDC117"
"166","CCDC121"
"167","CCDC138"
"168","CCDC21"
"169","CCDC34"
"170","CCDC41"
"171","CCDC43"
"172","CCDC47"
"173","CCDC59"
"174","CCDC61"
"175","CCDC77"
"176","CCDC99"
"177","CCM2"
"178","CCNA2"
"179","CCNB1"
"180","CCNB2"
"181","CCNC"
"182","CCNE2"
"183","CCNF"
"184","CCT2"
"185","CCT4"
"186","CCT7"
"187","CCT8"
"188","CDC20"
"189","CDC25A"
"190","CDC25C"
"191","CDC27"
"192","CDC45"
"193","CDC6"
