"","x"
"1","ABCD4"
"2","ACOT1"
"3","ACOT2"
"4","ACTR10"
"5","AHSA1"
"6","AKAP6"
"7","ALDH6A1"
"8","ALKBH1"
"9","ANGEL1"
"10","AP4S1"
"11","ARF6"
"12","ARG2"
"13","ARHGAP5"
"14","ARID4A"
"15","ATP5S"
"16","ATP6V1D"
"17","BAZ1A"
"18","BRMS1L"
"19","C11orf49"
"20","C14orf104"
"21","C14orf109"
"22","C14orf118"
"23","C14orf126"
"24","C14orf129"
"25","C14orf135"
"26","C14orf138"
"27","C14orf142"
"28","C14orf143"
"29","C14orf153"
"30","C14orf156"
"31","C14orf166"
"32","C14orf169"
"33","C14orf179"
"34","C14orf1"
"35","C14orf28"
"36","C14orf2"
"37","C14orf33"
"38","CCDC109A"
"39","CGRRF1"
"40","CHURC1"
"41","CINP"
"42","CNIH"
"43","COQ6"
"44","COX16"
"45","DAAM1"
"46","DCAF5"
"47","DEPDC7"
"48","DLST"
"49","DNAL1"
"50","EAPP"
"51","EIF2B2"
"52","EIF2S1"
"53","EIF5"
"54","ENTPD5"
"55","ERH"
"56","ERO1L"
"57","EXD2"
"58","EXOC5"
"59","FAM161B"
"60","FAM177A1"
"61","FAM179B"
"62","FAM184A"
"63","FANCM"
"64","FBXO33"
"65","FBXO34"
"66","FCF1"
"67","FKBP3"
"68","FNTB"
"69","FRMD6"
"70","G2E3"
"71","GMFB"
"72","GNPNAT1"
"73","GPHN"
"74","GSTZ1"
"75","GTF2A1"
"76","HEATR5A"
"77","HECA"
"78","HELQ"
"79","IFI27L1"
"80","ISCA2"
"81","JKAMP"
"82","KCNH2"
"83","KIAA0317"
"84","KIAA0391"
"85","KIAA0586"
"86","KIAA0831"
"87","KLHDC2"
"88","KLHL28"
"89","L2HGDH"
"90","LDOC1"
"91","LIN52"
"92","MAP1LC3A"
"93","MAP4K5"
"94","MAPK1IP1L"
"95","MAX"
"96","MED6"
"97","MGAT2"
"98","MLH3"
"99","MNAT1"
"100","MPP5"
"101","MTFR1"
"102","MTHFD1"
"103","MUDENG"
"104","NAA30"
"105","NUBPL"
"106","NUMB"
"107","ORMDL3"
"108","OTUB2"
"109","PET112L"
"110","PIGH"
"111","PIM3"
"112","PLAGL1"
"113","PNMA1"
"114","POLE2"
"115","PPIL5"
"116","PPM1A"
"117","PPP2R5E"
"118","PRDM4"
"119","PRKCH"
"120","PSEN1"
"121","PSMA3"
"122","PSMA6"
"123","PSMC1"
"124","PSMC6"
"125","RAD51L1"
"126","RDH11"
"127","RPL36AL"
"128","RPS29"
"129","RWDD2B"
"130","SAV1"
"131","SCFD1"
"132","SDCCAG1"
"133","SH3BP5L"
"134","SIP1"
"135","SIPA1L1"
"136","SLAMF9"
"137","SLC38A6"
"138","SLC39A9"
"139","SNAPC1"
"140","SNW1"
"141","SNX6"
"142","SOCS4"
"143","SOS2"
"144","SRP54"
"145","STRN3"
"146","STYX"
"147","SYNJ2BP"
"148","SYT16"
"149","TDP1"
"150","TIMM9"
"151","TMED10"
"152","TMEM30B"
"153","TMX1"
"154","TRAPPC6B"
"155","TRMT5"
"156","TTC8"
"157","UBR7"
"158","VIPAR"
"159","VRK1"
"160","VSIG1"
"161","VTI1B"
"162","WDHD1"
"163","WDR19"
"164","WDR25"
"165","WDR89"
"166","YIF1A"
"167","ZBTB1"
"168","ZBTB25"
"169","ZFYVE1"
"170","ZFYVE26"
"171","ZNF410"
