"","x"
"1","ABCA2"
"2","ACOX1"
"3","AGPAT2"
"4","ANAPC2"
"5","ANKS6"
"6","ARFGAP3"
"7","ARL1"
"8","ARPC5L"
"9","ARRDC1"
"10","ASB4"
"11","ASB6"
"12","ATG4A"
"13","ATP1B4"
"14","ATP6AP2"
"15","ATP6V1C1"
"16","BAHCC1"
"17","C4orf52"
"18","C5orf36"
"19","C6orf225"
"20","C8orf83"
"21","C9orf114"
"22","C9orf140"
"23","C9orf142"
"24","C9orf16"
"25","C9orf172"
"26","C9orf37"
"27","C9orf45"
"28","C9orf69"
"29","C9orf78"
"30","C9orf86"
"31","CAB39L"
"32","CAMK2D"
"33","CAMSAP1"
"34","CCDC6"
"35","CDK9"
"36","CETN4P"
"37","CLOCK"
"38","COBRA1"
"39","COQ4"
"40","CPNE3"
"41","DAB1"
"42","DAB2IP"
"43","DDX31"
"44","DNLZ"
"45","DOLPP1"
"46","DPM2"
"47","DPP7"
"48","EDF1"
"49","EFR3A"
"50","EGFL7"
"51","EHMT1"
"52","EML4"
"53","FAM125B"
"54","FAM129B"
"55","FBXW5"
"56","FMO3"
"57","FPGS"
"58","GABRB2"
"59","GGCX"
"60","GOLGA2"
"61","GPSM1"
"62","GTF3C5"
"63","IFT52"
"64","IGSF8"
"65","IL8"
"66","IMPA1"
"67","INPP5E"
"68","IPPK"
"69","IRAK1"
"70","KIAA0649"
"71","KIAA1429"
"72","KLK1"
"73","LOC100133920"
"74","LOC157627"
"75","LOC283174"
"76","LOC338651"
"77","LOC401397"
"78","LRRC31"
"79","LRRC8A"
"80","LRSAM1"
"81","MAN1B1"
"82","MAPK8"
"83","MED22"
"84","METTL11A"
"85","METTL14"
"86","MOB2"
"87","MRPL41"
"88","MRPS2"
"89","MYF5"
"90","NACC2"
"91","NAP1L4"
"92","NCS1"
"93","NDOR1"
"94","NDUFA8"
"95","NELF"
"96","NOTCH1"
"97","NPDC1"
"98","NUP214"
"99","NUS1"
"100","NXNL2"
"101","OAT"
"102","ODF2"
"103","PDIA6"
"104","PEX2"
"105","PGRMC2"
"106","PHPT1"
"107","PKIA"
"108","PKN3"
"109","PMPCA"
"110","POMT1"
"111","PPP1R3C"
"112","PPP2R4"
"113","PTGES2"
"114","PTRH1"
"115","PVRL3"
"116","QSOX2"
"117","RAB2A"
"118","RALGDS"
"119","REXO4"
"120","RPL35"
"121","RXRA"
"122","SDCCAG3"
"123","SEC16A"
"124","SEC23IP"
"125","SGMS1"
"126","SH3GLB2"
"127","SLC10A7"
"128","SLC12A2"
"129","SLC27A3"
"130","SLC2A10"
"131","SLC30A9"
"132","SMAD1"
"133","SNAPC4"
"134","SNORA65"
"135","SNORD15A"
"136","SSNA1"
"137","STARD3"
"138","SURF2"
"139","SURF6"
"140","SYBU"
"141","TBC1D13"
"142","TBCK"
"143","TMEM184C"
"144","TMEM19"
"145","TMEM35"
"146","TOR2A"
"147","TPRN"
"148","TRAF2"
"149","TRUB2"
"150","TSC1"
"151","TSPAN13"
"152","TTF1"
"153","TUBB2C"
"154","UBAC1"
"155","UCK1"
"156","USP20"
"157","WDR34"
"158","WDR5"
"159","WDR85"
"160","YTHDF3"
"161","ZDHHC12"
"162","ZMYND19"
"163","ZNF641"
