"","x"
"1","ABCB8"
"2","ABHD14A"
"3","ABI2"
"4","ACAD8"
"5","ACOT8"
"6","ACOX3"
"7","ACTR3C"
"8","ADA"
"9","ADNP2"
"10","ADO"
"11","ADRB1"
"12","AGGF1"
"13","AGPS"
"14","AGTPBP1"
"15","AIF1L"
"16","ALAD"
"17","ALG2"
"18","AMACR"
"19","ANP32B"
"20","APBA1"
"21","API5"
"22","APOOL"
"23","ARIH2"
"24","ARL2"
"25","ARL5C"
"26","ASAP3"
"27","ASXL2"
"28","ATAD3C"
"29","ATE1"
"30","ATP2C2"
"31","ATP6V1G1"
"32","ATRX"
"33","AUH"
"34","B4GALT7"
"35","BAD"
"36","BAT2L1"
"37","BAZ1B"
"38","BCAS1"
"39","BCLAF1"
"40","BICD2"
"41","BRD3"
"42","C11orf53"
"43","C11orf74"
"44","C12orf68"
"45","C12orf74"
"46","C14orf165"
"47","C20orf132"
"48","C20orf43"
"49","C2orf65"
"50","C3orf14"
"51","C5orf27"
"52","C7orf33"
"53","C8orf42"
"54","C9orf102"
"55","C9orf103"
"56","C9orf129"
"57","C9orf156"
"58","C9orf30"
"59","C9orf3"
"60","C9orf41"
"61","C9orf5"
"62","C9orf64"
"63","C9orf6"
"64","C9orf72"
"65","C9orf80"
"66","C9orf82"
"67","C9orf89"
"68","C9orf91"
"69","C9orf95"
"70","CAPN7"
"71","CBFA2T3"
"72","CCDC144NL"
"73","CCDC152"
"74","CCDC159"
"75","CCDC53"
"76","CCNH"
"77","CCNT1"
"78","CCS"
"79","CD44"
"80","CDC14B"
"81","CDC14C"
"82","CDC26"
"83","CDK12"
"84","CDKL1"
"85","CEBPD"
"86","CELA3B"
"87","CELF4"
"88","CEND1"
"89","CEP110"
"90","CEP78"
"91","CHCHD3"
"92","CHCHD7"
"93","CHKB"
"94","CHM"
"95","CIZ1"
"96","CKS2"
"97","CLASP2"
"98","CLCNKB"
"99","CLDN16"
"100","CLDN1"
"101","CLEC4F"
"102","CNTLN"
"103","CORO1B"
"104","CORO2A"
"105","CRAT"
"106","CRTC3"
"107","CSTF2T"
"108","CTBP1"
"109","CTNNAL1"
"110","CTNNBL1"
"111","CXorf51"
"112","CYP11A1"
"113","CYP2B6"
"114","CYP4Z2P"
"115","DAGLA"
"116","DCP1A"
"117","DCTN4"
"118","DCTN5"
"119","DDX21"
"120","DDX46"
"121","DEFB108B"
"122","DEFB1"
"123","DEGS1"
"124","DENND1A"
"125","DGKZ"
"126","DHRS12"
"127","DHRS3"
"128","DHX40P1"
"129","DNAJB14"
"130","DNAJB2"
"131","DNAJC17"
"132","DNAJC25"
"133","DNTTIP1"
"134","DOLK"
"135","DPCD"
"136","DUSP22"
"137","DYNC1LI1"
"138","ECHS1"
"139","EEF1B2"
"140","EIF3F"
"141","EIF4B"
"142","ELF4"
"143","ELOVL3"
"144","ELOVL5"
"145","EN2"
"146","EPC2"
"147","EPS8L1"
"148","ERGIC3"
"149","ERP44"
"150","ETF1"
"151","EVX2"
"152","EXOSC2"
"153","EYA2"
"154","FAAH"
"155","FABP6"
"156","FAM102A"
"157","FAM108B1"
"158","FAM115A"
"159","FAM120AOS"
"160","FAM120A"
"161","FAM122A"
"162","FAM174B"
"163","FAM41AY1"
"164","FANCC"
"165","FBXL15"
"166","FBXO38"
"167","FBXO3"
"168","FBXW2"
"169","FEM1C"
"170","FGF19"
"171","FHIT"
"172","FIBP"
"173","FITM2"
"174","FKBP2"
"175","FKTN"
"176","FLJ42709"
"177","FMO4"
"178","FSD1L"
"179","FSD2"
"180","FTHL17"
"181","FUBP3"
"182","FXC1"
"183","FZD8"
"184","G3BP1"
"185","GABPA"
"186","GABRA1"
"187","GAD2"
"188","GAPVD1"
"189","GATSL3"
"190","GBAP1"
"191","GCC2"
"192","GGT3P"
"193","GHITM"
"194","GJC1"
"195","GLE1"
"196","GNG10"
"197","GOLGA1"
"198","GPATCH8"
"199","GPR107"
"200","GPR142"
"201","GPR81"
"202","GRIN2D"
"203","GSN"
"204","GSTO2"
"205","GTF2H1"
"206","GTF2I"
"207","GTF3C4"
"208","GTF3C6"
"209","HAR1B"
"210","HEPACAM"
"211","HEPN1"
"212","HIAT1"
"213","HIATL1"
"214","HNRNPH2"
"215","HPS5"
"216","HSD17B12"
"217","HSDL2"
"218","HSPA4"
"219","HYI"
"220","IARS"
"221","IDE"
"222","IDH2"
"223","IDH3G"
"224","IFT74"
"225","IKBKAP"
"226","INVS"
"227","IPMK"
"228","IPO7"
"229","ISCA1P1"
"230","ISCA1"
"231","ISYNA1"
"232","IYD"
"233","KCNJ1"
"234","KIAA0182"
"235","KIAA0319L"
"236","KIAA0368"
"237","KIAA0495"
"238","KIAA1147"
"239","KIAA1191"
"240","KIAA1430"
"241","KIAA1632"
"242","KIAA1958"
"243","KIAA2026"
"244","KIF27"
"245","KLF12"
"246","KLHDC8B"
"247","KLHL11"
"248","KLHL35"
"249","KLHL3"
"250","KLHL4"
"251","KRT27"
"252","KRT83"
"253","KRTAP19"
"254","KRTAP9"
"255","KRTAP9"
"256","LATS1"
"257","LDLRAD3"
"258","LDLR"
"259","LEMD3"
"260","LGALS3"
"261","LHPP"
"262","LHX2"
"263","LIMK2"
"264","LOC151174"
"265","LOC253039"
"266","LOC284441"
"267","LOC388387"
"268","LOC402377"
