"","x"
"1","ABCD3"
"2","ACADM"
"3","ADPRHL2"
"4","AGL"
"5","AHCYL1"
"6","AK2"
"7","AKIRIN1"
"8","ALG14"
"9","ALG6"
"10","ANKRD13C"
"11","AP4B1"
"12","ATG4C"
"13","ATP5F1"
"14","ATP6V0B"
"15","BCAS2"
"16","BCL10"
"17","BTF3L4"
"18","C1orf109"
"19","C1orf163"
"20","C1orf174"
"21","C1orf212"
"22","C1orf50"
"23","C1orf52"
"24","C1orf83"
"25","C2orf74"
"26","CAPZA1"
"27","CCBL2"
"28","CCDC163P"
"29","CCDC23"
"30","CCDC76"
"31","CDC42"
"32","CEPT1"
"33","CLCC1"
"34","CMPK1"
"35","CPT2"
"36","CRYZ"
"37","CSDE1"
"38","CTBS"
"39","CTPS"
"40","CTTNBP2NL"
"41","DBT"
"42","DCLRE1B"
"43","DDX20"
"44","DEM1"
"45","DNAJC8"
"46","DOCK7"
"47","DPH2"
"48","DPH5"
"49","DR1"
"50","EBNA1BP2"
"51","EFCAB7"
"52","EIF2B3"
"53","EIF2C3"
"54","EIF3I"
"55","EIF4E2"
"56","ERI3"
"57","ERMAP"
"58","FAF1"
"59","FAM40A"
"60","FAM73A"
"61","FAM76A"
"62","FGGY"
"63","FOXJ3"
"64","FPGT"
"65","GDAP2"
"66","GLMN"
"67","GNAI3"
"68","GNG12"
"69","GNL2"
"70","GPBP1L1"
"71","GPSM2"
"72","GTF2B"
"73","HBXIP"
"74","HDAC1"
"75","HIPK1"
"76","HS2ST1"
"77","HSPB11"
"78","INTS12"
"79","IPP"
"80","IQCC"
"81","ITGB3BP"
"82","KIAA0494"
"83","KPNA6"
"84","KTI12"
"85","LEPROT"
"86","LEPR"
"87","LRIG2"
"88","LRRC16B"
"89","LRRC40"
"90","LRRC42"
"91","LSM10"
"92","LZIC"
"93","MAGOH"
"94","MEAF6"
"95","MED18"
"96","MED8"
"97","MIER1"
"98","MMACHC"
"99","MRPL37"
"100","MRPL49"
"101","MRPS15"
"102","MRTO4"
"103","MTF2"
"104","MYCBP"
"105","NAGLU"
"106","NASP"
"107","NDUFS5"
"108","NRAS"
"109","NRD1"
"110","NSUN4"
"111","OMA1"
"112","OSBPL9"
"113","PDSS2"
"114","PEX3"
"115","PGM1"
"116","PIGK"
"117","PKN2"
"118","POLR3B"
"119","PPCS"
"120","PPIE"
"121","PPIH"
"122","PPP1R8"
"123","PRMT6"
"124","PRPF38A"
"125","PSMA5"
"126","PSMB2"
"127","PTP4A2"
"128","RBBP4"
"129","RCC1"
"130","RLF"
"131","RNF11"
"132","RPA2"
"133","RPAP2"
"134","RPF1"
"135","RPL5"
"136","RPS8"
"137","RRAGC"
"138","RSBN1"
"139","S100PBP"
"140","SARS"
"141","SCP2"
"142","SDHB"
"143","SEP15"
"144","SERBP1"
"145","SF3A3"
"146","SH3GLB1"
"147","SIKE1"
"148","SLC16A11"
"149","SLC25A24"
"150","SLC30A7"
"151","SNHG7"
"152","SNIP1"
"153","SNRNP40"
"154","SNX7"
"155","SSX2IP"
"156","STXBP3"
"157","TAF13"
"158","TCEAL3"
"159","TM2D1"
"160","TMED5"
"161","TMEM167B"
"162","TMEM48"
"163","TMEM50A"
"164","TMEM59"
"165","TMEM69"
"166","TOE1"
"167","TP53I13"
"168","TRAPPC3"
"169","TRIM33"
"170","TTC4"
"171","TXNDC12"
"172","TYW3"
"173","UAP1L1"
"174","UQCRHL"
"175","UQCRH"
"176","UROD"
"177","USP1"
"178","UTP11L"
"179","VAMP3"
"180","WARS2"
"181","WDR3"
"182","WDR76"
"183","WDR77"
"184","YARS"
"185","YBX1"
"186","YIPF1"
"187","YRDC"
"188","YTHDF2"
"189","ZBTB8A"
"190","ZCCHC17"
"191","ZMPSTE24"
"192","ZMYM1"
"193","ZMYM4"
"194","ZMYM6"
"195","ZNF643"
"196","ZNF644"
"197","ZNF684"
"198","ZNF691"
"199","ZNHIT6"
"200","ZYG11B"
"201","ZZZ3"
