"","x"
"1","BST2"
"2","C19orf66"
"3","CMPK2"
"4","DDX58"
"5","DDX60L"
"6","DDX60"
"7","DHX58"
"8","DTX3L"
"9","FBXO39"
"10","HERC5"
"11","HERC6"
"12","IFI27"
"13","IFI44L"
"14","IFI44"
"15","IFI6"
"16","IFIH1"
"17","IFIT1B"
"18","IFIT1"
"19","IFIT2"
"20","IFIT3"
"21","IFIT5"
"22","IFITM1"
"23","IL28A"
"24","IL28B"
"25","IL29"
"26","IRF9"
"27","ISG15"
"28","LGALS3BP"
"29","MX1"
"30","MX2"
"31","NEURL3"
"32","NMI"
"33","NT5DC2"
"34","OAS1"
"35","OAS2"
"36","OAS3"
"37","OASL"
"38","PARP10"
"39","PARP9"
"40","PLSCR1"
"41","PRIC285"
"42","RSAD2"
"43","SAMD9L"
"44","SAMD9"
"45","SLFN13"
"46","SP100"
"47","SP110"
"48","TRIM5"
"49","USP18"
"50","XAF1"
"51","ZC3HAV1"
