"","x"
"1","X"
"2","X"
"3","ABHD12B"
"4","ACSBG1"
"5","ACTN3"
"6","ADH6"
"7","AGBL2"
"8","AK7"
"9","AKAP14"
"10","AKD1"
"11","ALDH1L1"
"12","ALOX15"
"13","ALS2CR12"
"14","ANGPTL7"
"15","ANKFN1"
"16","ANKRD45"
"17","APOBEC4"
"18","AQP2"
"19","AQP5"
"20","AQP7"
"21","ARL10"
"22","ARMC2"
"23","ARMC3"
"24","ARMC4"
"25","ARSF"
"26","AZU1"
"27","B9D2"
"28","BAIAP3"
"29","BEND6"
"30","BMP15"
"31","BPIL1"
"32","BPIL3"
"33","C10orf107"
"34","C10orf122"
"35","C10orf67"
"36","C10orf79"
"37","C10orf81"
"38","C10orf93"
"39","C10orf95"
"40","C11orf16"
"41","C11orf66"
"42","C11orf70"
"43","C11orf88"
"44","C12orf63"
"45","C13orf26"
"46","C13orf30"
"47","C14orf174"
"48","C14orf45"
"49","C14orf50"
"50","C14orf86"
"51","C15orf26"
"52","C15orf51"
"53","C16orf71"
"54","C17orf50"
"55","C17orf72"
"56","C17orf97"
"57","C18orf16"
"58","C19orf41"
"59","C19orf51"
"60","C1QTNF8"
"61","C1orf114"
"62","C1orf129"
"63","C1orf141"
"64","C1orf158"
"65","C1orf168"
"66","C1orf173"
"67","C1orf189"
"68","C1orf192"
"69","C1orf194"
"70","C1orf228"
"71","C1orf230"
"72","C1orf87"
"73","C1orf88"
"74","C1orf92"
"75","C20orf114"
"76","C20orf195"
"77","C20orf26"
"78","C20orf85"
"79","C20orf96"
"80","C21orf121"
"81","C21orf128"
"82","C21orf59"
"83","C21orf63"
"84","C22orf15"
"85","C22orf42"
"86","C2orf39"
"87","C2orf40"
"88","C2orf50"
"89","C2orf55"
"90","C2orf62"
"91","C2orf73"
"92","C2orf77"
"93","C2orf81"
"94","C3orf15"
"95","C3orf16"
"96","C3orf20"
"97","C4orf22"
"98","C4orf45"
"99","C4orf47"
"100","C5orf49"
"101","C6orf103"
"102","C6orf118"
"103","C6orf154"
"104","C6orf155"
"105","C6orf165"
"106","C6orf195"
"107","C6orf217"
"108","C6orf27"
"109","C6orf58"
"110","C6orf97"
"111","C6"
"112","C7orf57"
"113","C7orf63"
"114","C8orf79"
"115","C9orf116"
"116","C9orf117"
"117","C9orf128"
"118","C9orf135"
"119","C9orf171"
"120","C9orf24"
"121","C9orf98"
"122","C9orf9"
"123","CACNG6"
"124","CALCA"
"125","CAPN5"
"126","CAPS2"
"127","CAPSL"
"128","CAPS"
"129","CASC1"
"130","CASC2"
"131","CC2D2A"
"132","CCDC103"
"133","CCDC105"
"134","CCDC108"
"135","CCDC113"
"136","CCDC114"
"137","CCDC11"
"138","CCDC125"
"139","CCDC135"
"140","CCDC13"
"141","CCDC146"
"142","CCDC147"
"143","CCDC151"
"144","CCDC153"
"145","CCDC157"
"146","CCDC160"
"147","CCDC17"
"148","CCDC19"
"149","CCDC30"
"150","CCDC33"
"151","CCDC37"
"152","CCDC39"
"153","CCDC40"
"154","CCDC42B"
"155","CCDC60"
"156","CCDC62"
"157","CCDC65"
"158","CCDC74A"
"159","CCDC74B"
"160","CCDC78"
"161","CCDC81"
"162","CCDC89"
"163","CCDC96"
"164","CCL14"
"165","CCL15"
"166","CD164L2"
"167","CDC20B"
"168","CDHR2"
"169","CDHR3"
"170","CDHR4"
"171","CETN2"
"172","CFC1B"
"173","CHAD"
"174","CHST4"
"175","CHST6"
"176","CHST9"
"177","CLIC6"
"178","CLMN"
"179","CNGA3"
"180","CNGA4"
"181","CNTF"
"182","COL24A1"
"183","CRISP2"
"184","CRISP3"
"185","CRYGA"
"186","CRYM"
"187","CTXN1"
"188","CXorf22"
"189","CXorf30"
"190","CXorf41"
"191","CXorf59"
"192","CXorf64"
"193","CYB561"
"194","CYP2A13"
"195","CYP2F1"
"196","DCDC2B"
"197","DDX53"
"198","DEFB107A"
"199","DEFB109P1B"
"200","DEFB115"
"201","DHRS9"
"202","DIO1"
"203","DLEU7"
"204","DNAH10"
"205","DNAH12"
"206","DNAH2"
"207","DNAH3"
"208","DNAH5"
"209","DNAH6"
"210","DNAH7"
"211","DNAH9"
"212","DNAI1"
"213","DNAI2"
"214","DNAJB13"
"215","DNALI1"
"216","DNER"
