"","x"
"1","ADAT3"
"2","ADK"
"3","AES"
"4","AGA"
"5","AGFG1"
"6","AIG1"
"7","AKTIP"
"8","ANAPC16"
"9","ANKRD52"
"10","ANXA7"
"11","AP1B1"
"12","AP3D1"
"13","AP3M1"
"14","APBA3"
"15","ARFIP1"
"16","ARHGEF18"
"17","ARL8B"
"18","ASCC1"
"19","ASS1"
"20","ATAD1"
"21","ATG12"
"22","ATP13A1"
"23","ATP5D"
"24","ATXN2"
"25","AZI2"
"26","BAHD1"
"27","BCOR"
"28","BFAR"
"29","BLOC1S2"
"30","BMPR1A"
"31","BOD1L"
"32","BPTF"
"33","BSG"
"34","BTBD2"
"35","BZW1"
"36","C10orf84"
"37","C19orf20"
"38","C19orf22"
"39","C19orf24"
"40","C19orf25"
"41","C19orf29"
"42","C19orf44"
"43","C19orf6"
"44","C1GALT1C1"
"45","C20orf196"
"46","C2CD3"
"47","C5orf24"
"48","CABIN1"
"49","CAMLG"
"50","CCDC124"
"51","CCDC94"
"52","CDC34"
"53","CDC37"
"54","CHD4"
"55","CHERP"
"56","CHIC2"
"57","CHUK"
"58","CISD1"
"59","CISD2"
"60","CLPP"
"61","COG6"
"62","COMMD10"
"63","COMMD7"
"64","COMMD8"
"65","COPB1"
"66","COPS8"
"67","CRTC1"
"68","CSK"
"69","CSNK1G2"
"70","CTDP1"
"71","DALRD3"
"72","DDX23"
"73","DEAF1"
"74","DHX30"
"75","DHX32"
"76","DKFZp761E198"
"77","DNAJC18"
"78","DNM2"
"79","DOCK6"
"80","DOHH"
"81","DOT1L"
"82","DPH3"
"83","DPP9"
"84","DUS3L"
"85","ECD"
"86","EEF2"
"87","EIF3A"
"88","ELL"
"89","EP400"
"90","ERLIN1"
"91","EVI5L"
"92","FAM108A1"
"93","FAM149B1"
"94","FAM175B"
"95","FASN"
"96","FEM1A"
"97","FGF22"
"98","FKBP8"
"99","FLJ33630"
"100","FNIP1"
"101","FUBP1"
"102","FUNDC2"
"103","FZR1"
"104","GATAD2A"
"105","GCN1L1"
"106","GCNT4"
"107","GLUD1"
"108","GNA11"
"109","GOLGA3"
"110","GPR137"
"111","GPX4"
"112","GTF2F1"
"113","GTPBP1"
"114","HCFC1"
"115","HDAC3"
"116","HDGFRP2"
"117","HIGD1A"
"118","HMG20B"
"119","HNRNPA1"
"120","HNRNPM"
"121","HNRNPR"
"122","HNRNPUL2"
"123","HNRNPU"
"124","HUWE1"
"125","IBTK"
"126","IER2"
"127","ILF3"
"128","INO80"
"129","ITCH"
"130","ITM2B"
"131","JUND"
"132","KDM4B"
"133","KDM5C"
"134","KHSRP"
"135","KIAA0892"
"136","KIAA1279"
"137","KLF16"
"138","KLHL26"
"139","KRCC1"
"140","KRTAP13"
"141","L3MBTL2"
"142","LMF2"
"143","LMNB2"
"144","LONP1"
"145","LPAL2"
"146","LSM7"
"147","LSS"
"148","LYPLA1"
"149","LZTFL1"
"150","MADD"
"151","MAGI1"
"152","MAP2K2"
"153","MBD3"
"154","MCEE"
"155","MDN1"
"156","MED12"
"157","MED16"
"158","MED24"
"159","METTL9"
"160","MFAP3"
"161","MIDN"
"162","MIER2"
"163","MINPP1"
"164","MLLT1"
"165","MOCS2"
"166","MPND"
"167","MTA2"
"168","MYCBP2"
"169","MYL12B"
"170","NACC1"
"171","NCLN"
"172","NCL"
"173","NCOA5"
"174","NCRNA00081"
"175","NDFIP1"
"176","NDUFS7"
"177","NRBF2"
"178","NSMCE2"
"179","OAZ1"
"180","OCIAD1"
"181","ORMDL2"
"182","OSTC"
"183","PCCA"
"184","PCNXL3"
"185","PDCD11"
"186","PFKL"
"187","PHF12"
"188","PHRF1"
"189","PIAS4"
"190","PIK3R2"
"191","PIP5K1C"
"192","PLEKHF2"
"193","PLEKHJ1"
"194","PLRG1"
"195","POLG"
"196","POLR2E"
"197","POLRMT"
"198","PPM1F"
"199","PPP2CA"
"200","PPRC1"
"201","PRKAG2"
"202","PRKCSH"
"203","PRKDC"
"204","PTBP1"
"205","PTDSS2"
"206","PTPN23"
"207","RAB11B"
"208","RAB1A"
"209","RAB33B"
"210","RAB5A"
"211","RADIL"
"212","RALBP1"
"213","RANBP3"
"214","RAP2C"
"215","RARS2"
"216","RARS"
"217","RB1"
"218","RCHY1"
"219","REEP3"
"220","REXO1"
"221","RFX1"
"222","RNF123"
"223","RNF126"
"224","RNF139"
"225","RNF141"
"226","RNF14"
"227","RNLS"
"228","RPE"
"229","RPL36"
"230","RPL3"
"231","RPS15"
"232","RPS3A"
"233","RRP1B"
"234","RWDD2A"
"235","RYR2"
"236","SAFB2"
"237","SAFB"
"238","SAMD1"
"239","SAPS2"
"240","SAR1B"
"241","SART1"
"242","SBF1"
"243","SCAMP4"
"244","SCAP"
"245","SCARNA5"
"246","SCOC"
"247","SEPX1"
"248","SETD1B"
"249","SF1"
"250","SF3A2"
"251","SF3B2"
"252","SF4"
"253","SFPQ"
"254","SFRS14"
"255","SFRS15"
"256","SGTA"
"257","SH3GL1"
"258","SHANK3"
"259","SIRT6"
"260","SKP1"
"261","SLC25A22"
"262","SLC25A42"
"263","SLC39A3"
"264","SMARCA4"
"265","SMARCD1"
"266","SNORD116"
"267","SNRNP200"
"268","SNRNP35"
"269","SNX14"
"270","SP2"
"271","SPINK2"
"272","SPPL2B"
"273","SRA1"
"274","SRI"
"275","STAM2"
"276","STAP2"
"277","STK11"
"278","STK16"
"279","SUPT6H"
"280","TAF15"
"281","TCF3"
"282","THOP1"
"283","TICAM1"
"284","TIMM13"
"285","TMED7"
"286","TMEM128"
"287","TMEM165"
"288","TMEM188"
"289","TMEM192"
"290","TMEM22"
"291","TNFAIP8L1"
"292","TNPO2"
"293","TRABD"
"294","TRIM56"
"295","TRRAP"
"296","TRUB1"
"297","TSPO"
"298","TSSC4"
"299","TTTY16"
"300","UBA1"
"301","UBE2B"
"302","UBE2D1"
"303","UBE2D2"
"304","UBE2E1"
"305","UBE2G2"
"306","UBE2Q2"
"307","UBE2W"
"308","UBTF"
"309","UBXN1"
"310","UBXN6"
"311","UPF1"
"312","USP19"
"313","VPS26A"
"314","WDR18"
"315","WIZ"
"316","WRB"
"317","ZBTB7A"
"318","ZC3H4"
"319","ZDHHC16"
"320","ZDHHC6"
"321","ZNF358"
"322","ZNF407"
