"","x"
"1","AASDHPPT"
"2","ACAT1"
"3","ALG8"
"4","ALG9"
"5","ALKBH8"
"6","ANKRD49"
"7","ARCN1"
"8","ARHGAP42"
"9","ARHGEF12"
"10","ATM"
"11","ATP5L"
"12","BIRC2"
"13","BUD13"
"14","C11orf10"
"15","C11orf1"
"16","C11orf30"
"17","C11orf51"
"18","C11orf54"
"19","C11orf57"
"20","C11orf59"
"21","C11orf73"
"22","CBL"
"23","CCDC82"
"24","CCDC90B"
"25","CEP164"
"26","CEP57"
"27","CHCHD8"
"28","CLNS1A"
"29","CLPB"
"30","CUL5"
"31","CWC15"
"32","CWF19L2"
"33","DCPS"
"34","DCUN1D5"
"35","DDX10"
"36","DDX6"
"37","DLAT"
"38","DPAGT1"
"39","EED"
"40","EI24"
"41","FAM76B"
"42","FAM86C"
"43","FDX1"
"44","FDXACB1"
"45","FOXRED1"
"46","HINFP"
"47","HMBS"
"48","IFT46"
"49","INTS4"
"50","JRKL"
"51","KBTBD3"
"52","KDELC2"
"53","KIAA1731"
"54","KIAA1826"
"55","LIPT2"
"56","LOC653566"
"57","MED17"
"58","MRE11A"
"59","MRPL48"
"60","MTMR2"
"61","MYO18A"
"62","NARS2"
"63","NDUFC2"
"64","NFRKB"
"65","NPAT"
"66","PAAF1"
"67","PPP2R1B"
"68","PRKRIR"
"69","PTS"
"70","PUS3"
"71","RAB6A"
"72","RBM7"
"73","RDX"
"74","REXO2"
"75","RNF121"
"76","RNF214"
"77","RNF26"
"78","RPS25"
"79","RPS3"
"80","RPUSD4"
"81","SC5DL"
"82","SDHD"
"83","SFRS2B"
"84","SIK2"
"85","SLC37A4"
"86","SNX19"
"87","SPCS2"
"88","SRPR"
"89","STT3A"
"90","TAF1D"
"91","TBCEL"
"92","THYN1"
"93","TIMM8B"
"94","TIRAP"
"95","TMEM123"
"96","TMEM126A"
"97","TMEM126B"
"98","TMEM133"
"99","TMEM135"
"100","TMEM218"
"101","TRAPPC4"
"102","TTC9C"
"103","UBE4A"
"104","USP28"
"105","UVRAG"
"106","VPS26B"
"107","XRRA1"
"108","YAP1"
"109","ZBTB44"
"110","ZNF202"
"111","ZNF259"
"112","ZW10"
