"","x"
"1","X"
"2","X"
"3","A2ML1"
"4","A4GALT"
"5","ABCG4"
"6","ACER1"
"7","ADAMTSL5"
"8","AIM1L"
"9","ALDH3B2"
"10","ALOX12B"
"11","ALOXE3"
"12","ANKRD9"
"13","ANXA1"
"14","APOBEC3A"
"15","ARG1"
"16","ARHGAP23"
"17","ARHGAP27"
"18","ARHGEF4"
"19","ASPG"
"20","ASPRV1"
"21","ATP12A"
"22","ATP1B3"
"23","B3GALT5"
"24","BAG3"
"25","BAIAP2L2"
"26","BAIAP2"
"27","BCL11B"
"28","BNIPL"
"29","BPIL2"
"30","C10orf99"
"31","C12orf36"
"32","C14orf34"
"33","C15orf62"
"34","C1orf170"
"35","C20orf112"
"36","C21orf88"
"37","C3orf54"
"38","C6orf15"
"39","C9orf169"
"40","CALML3"
"41","CAPNS2"
"42","CARD14"
"43","CARD18"
"44","CCDC120"
"45","CCDC158"
"46","CCDC64B"
"47","CDH16"
"48","CDSN"
"49","CEACAM19"
"50","CIDEA"
"51","CITED4"
"52","CLCA2"
"53","CLCN4"
"54","CLDN11"
"55","CLDN17"
"56","CLTB"
"57","CNFN"
"58","CNR1"
"59","CRCT1"
"60","CRHBP"
"61","CRNN"
"62","CRYAB"
"63","CSTA"
"64","CSTB"
"65","CWH43"
"66","CYP2C18"
"67","CYP4F22"
"68","DCHS2"
"69","DCUN1D3"
"70","DEFB103B"
"71","DENND2C"
"72","DGKA"
"73","DMKN"
"74","DNAJC10"
"75","DNAJC22"
"76","DSC1"
"77","DSC2"
"78","DSC3"
"79","DSG1"
"80","DSG3"
"81","DSG4"
"82","DUOX1"
"83","DUOX2"
"84","DUOXA1"
"85","DUOXA2"
"86","DUSP7"
"87","DYNLT3"
"88","EMP1"
"89","ENDOU"
"90","EPHA10"
"91","EPHA1"
"92","ESRP2"
"93","EVPL"
"94","FABP5"
"95","FAM132A"
"96","FAM135A"
"97","FAM25A"
"98","FAM83C"
"99","FLG2"
"100","FOXN1"
"101","FST"
"102","FUT2"
"103","FUT3"
"104","FUT6"
"105","GBP6"
"106","GDPD2"
"107","GDPD3"
"108","GGT6"
"109","GJB2"
"110","GJB3"
"111","GJB6"
"112","GLTP"
"113","GPR87"
"114","GPRC5D"
"115","GRHL3"
"116","GSDMA"
"117","GSDMC"
"118","HMGCLL1"
"119","HOXC13"
"120","HR"
"121","HSPB1"
"122","HTR3A"
"123","HTR3B"
"124","IL1F10"
"125","IL1F5"
"126","IL1F6"
"127","IL1F8"
"128","IL1F9"
"129","IL1RN"
"130","IVL"
"131","JMJD7"
"132","KALRN"
"133","KANK1"
"134","KCNK7"
"135","KCNMB4"
"136","KCTD21"
"137","KLC3"
"138","KLF3"
"139","KLF4"
"140","KLF5"
"141","KLK10"
"142","KLK11"
"143","KLK12"
"144","KLK13"
"145","KLK14"
"146","KLK6"
"147","KLK7"
"148","KLK8"
"149","KLK9"
"150","KPRP"
"151","KRT13"
"152","KRT16"
"153","KRT1"
"154","KRT34"
"155","KRT6A"
"156","KRT6B"
"157","KRT6C"
"158","KRT78"
"159","KRT80"
"160","KRTDAP"
"161","LANCL3"
"162","LASS3"
"163","LCE1A"
"164","LCE1B"
"165","LCE1C"
"166","LCE1D"
"167","LCE1E"
"168","LCE2A"
"169","LCE2B"
"170","LCE2C"
"171","LCE2D"
"172","LCE3A"
"173","LCE3C"
"174","LCE3D"
"175","LCE3E"
"176","LCE6A"
"177","LIPK"
"178","LIPM"
"179","LIPN"
"180","LOC643008"
"181","LOR"
"182","LPAR5"
"183","LRRC8E"
"184","LTB4R2"
"185","LTB4R"
"186","LY6G6C"
"187","LYNX1"
"188","LYPD2"
"189","LYPD3"
"190","MALL"
"191","MDK"
"192","MREG"
"193","MXD1"
"194","MYO1H"
"195","NCCRP1"
"196","NEU2"
"197","NKPD1"
"198","NLRX1"
"199","NR1D1"
"200","OR10H1"
"201","OR10H2"
"202","OR52N2"
"203","OVOL1"
"204","P2RY1"
"205","PARD6G"
"206","PERP"
"207","PGLYRP3"
"208","PGLYRP4"
"209","PHLDB3"
"210","PHYHIPL"
"211","PI3"
"212","PITX1"
"213","PKP1"
"214","PLA2G4E"
"215","PLA2G4F"
"216","PLAC2"
"217","PLEKHM1"
"218","PLEKHN1"
