"","x"
"1","X"
"2","X"
"3","AAA1"
"4","AACS"
"5","AADACL3"
"6","AADAT"
"7","AAMP"
"8","ABCA12"
"9","ABCA1"
"10","ABCA6"
"11","ABCA9"
"12","ABCB1"
"13","ABCB4"
"14","ABCD1"
"15","ABCD2"
"16","ABCG1"
"17","ABI3BP"
"18","ABI3"
"19","ABP1"
"20","ACAA1"
"21","ACAP1"
"22","ACCN2"
"23","ACE"
"24","ACO2"
"25","ACOT4"
"26","ACP2"
"27","ACP5"
"28","ACR"
"29","ACSL1"
"30","ACSL5"
"31","ACSM4"
"32","ACSM5"
"33","ACTR3B"
"34","ACVR1B"
"35","ACVR2A"
"36","ACVR2B"
"37","ACVRL1"
"38","ACY3"
"39","ADAL"
"40","ADAM28"
"41","ADAM6"
"42","ADAM8"
"43","ADAMDEC1"
"44","ADAP2"
"45","ADARB2"
"46","ADCY2"
"47","ADCYAP1"
"48","ADM"
"49","ADNP"
"50","ADORA2A"
"51","ADORA2B"
"52","ADORA3"
"53","ADPRH"
"54","ADRA1B"
"55","ADRA2C"
"56","ADSSL1"
"57","AGAP1"
"58","AGAP2"
"59","AGBL4"
"60","AGBL5"
"61","AGPAT3"
"62","AHDC1"
"63","AHRR"
"64","AHSP"
"65","AICDA"
"66","AIF1"
"67","AIM2"
"68","AIP"
"69","AIRE"
"70","AK3L1"
"71","AK3"
"72","AKAP5"
"73","AKNAD1"
"74","AKNA"
"75","AKR1A1"
"76","AKR1D1"
"77","AKR7A3"
"78","ALDH2"
"79","ALDH3B1"
"80","ALG11"
"81","ALG12"
"82","ALG5"
"83","ALMS1"
"84","ALOX5AP"
"85","ALOX5"
"86","ALPK1"
"87","ALS2CR11"
"88","ALS2CR4"
"89","ALS2"
"90","ALX3"
"91","AMBN"
"92","AMICA1"
"93","AMMECR1L"
"94","AMN1"
"95","AMN"
"96","AMPD1"
"97","AMPD3"
"98","ANGPTL1"
"99","ANGPTL6"
"100","ANK2"
"101","ANKK1"
"102","ANKRD13A"
"103","ANKRD20B"
"104","ANKRD22"
"105","ANKRD26P1"
"106","ANKRD28"
"107","ANKRD29"
"108","ANKRD42"
"109","ANKRD44"
"110","ANKRD50"
"111","ANKRD54"
"112","ANKRD55"
"113","ANKRD57"
"114","ANKRD58"
"115","ANKRD5"
"116","ANKRD6"
"117","ANO4"
"118","ANO7"
"119","ANXA11"
"120","ANXA2P1"
"121","AOAH"
"122","AP1S2"
"123","AP1S3"
"124","AP3B2"
"125","APBB1IP"
"126","APC2"
"127","APEH"
"128","APOB48R"
"129","APOBEC3C"
"130","APOBEC3D"
"131","APOBEC3F"
"132","APOBEC3G"
"133","APOBEC3H"
"134","APOC1P1"
"135","APOC1"
"136","APOC2"
"137","APOC4"
"138","APOE"
"139","APOL1"
"140","APOL2"
"141","APOL3"
"142","APOL4"
"143","APOL6"
"144","AQP11"
"145","AQP9"
"146","AQPEP"
"147","ARC"
"148","ARFGEF1"
"149","ARHGAP15"
"150","ARHGAP17"
"151","ARHGAP18"
"152","ARHGAP25"
"153","ARHGAP26"
"154","ARHGAP30"
"155","ARHGAP31"
"156","ARHGAP32"
"157","ARHGAP36"
"158","ARHGAP4"
"159","ARHGAP9"
"160","ARHGDIB"
"161","ARHGEF2"
"162","ARHGEF3"
"163","ARHGEF6"
"164","ARID5A"
"165","ARL4A"
"166","ARL4D"
"167","ARL6IP4"
"168","ARL6IP5"
"169","ARPC1A"
"170","ARPC4"
"171","ARRB1"
"172","ARRB2"
"173","ARRDC2"
"174","ARRDC5"
"175","ARSK"
"176","ART1"
"177","ART4"
"178","ART5"
"179","ARVCF"
"180","AS3MT"
"181","ASAH1"
"182","ASAP2"
"183","ASB1"
"184","ASB8"
"185","ASCC2"
"186","ASGR1"
"187","ASGR2"
"188","ATF5"
"189","ATG7"
"190","ATOX1"
"191","ATP1A1"
"192","ATP1A4"
"193","ATP2A2"
"194","ATP2A3"
"195","ATP6AP1L"
"196","ATP6V0D2"
"197","ATP6V0E1"
"198","ATP6V1B2"
"199","ATP6V1E1"
"200","ATP6V1E2"
"201","ATP8B4"
"202","ATRN"
"203","ATXN10"
"204","AUTS2"
"205","AVPR1B"
"206","AVP"
"207","B2M"
"208","B3GALT2"
"209","B3GAT1"
