"","x"
"1","AGAP3"
"2","ALG1"
"3","AMDHD2"
"4","AP2B1"
"5","ATP6V0C"
"6","AXIN1"
"7","AZIN1"
"8","BTBD12"
"9","C11orf58"
"10","C16orf13"
"11","C16orf42"
"12","C16orf91"
"13","CLCN7"
"14","CLTC"
"15","CREBBP"
"16","DCI"
"17","DECR2"
"18","DEXI"
"19","E4F1"
"20","EEF2K"
"21","FAM100A"
"22","FAM173A"
"23","FAM195A"
"24","FAM8A1"
"25","FBXL16"
"26","FLYWCH1"
"27","FLYWCH2"
"28","GAK"
"29","GFER"
"30","GLYR1"
"31","HAGHL"
"32","HAGH"
"33","HMOX2"
"34","HN1L"
"35","HNRPLL"
"36","IFT140"
"37","ITFG3"
"38","JMJD8"
"39","KCTD5"
"40","MGRN1"
"41","MLST8"
"42","MPG"
"43","MRPL28"
"44","MRPS34"
"45","NAGPA"
"46","NARFL"
"47","NAT15"
"48","NDUFB10"
"49","NME3"
"50","NME4"
"51","NMRAL1"
"52","NPRL3"
"53","NTHL1"
"54","NUBP2"
"55","NUDT16L1"
"56","PAQR4"
"57","PDPK1"
"58","PDXDC1"
"59","PGP"
"60","PIGQ"
"61","PMM2"
"62","PPP4R2"
"63","RAB11FIP3"
"64","RAB40C"
"65","RHBDF1"
"66","RNPS1"
"67","ROGDI"
"68","RPS2"
"69","RPUSD1"
"70","SNHG9"
"71","SOLH"
"72","SPSB3"
"73","STUB1"
"74","TBC1D15"
"75","TBC1D24"
"76","TBL3"
"77","TCEB2"
"78","TELO2"
"79","THOC6"
"80","TIMM16"
"81","TMEM129"
"82","TMEM8A"
"83","TRAF7"
"84","TSC2"
"85","UBE2I"
"86","UBN1"
"87","UBXN2B"
"88","UNKL"
"89","WDR24"
"90","ZNF205"
"91","ZNF213"
"92","ZNF500"
"93","ZNF597"
"94","ZNF598"
