"","x"
"1","C19orf18"
"2","TRAPPC2P1"
"3","ZFP112"
"4","ZFP28"
"5","ZIK1"
"6","ZNF132"
"7","ZNF134"
"8","ZNF135"
"9","ZNF137"
"10","ZNF140"
"11","ZNF155"
"12","ZNF160"
"13","ZNF175"
"14","ZNF17"
"15","ZNF180"
"16","ZNF211"
"17","ZNF221"
"18","ZNF222"
"19","ZNF223"
"20","ZNF225"
"21","ZNF226"
"22","ZNF227"
"23","ZNF229"
"24","ZNF230"
"25","ZNF233"
"26","ZNF234"
"27","ZNF235"
"28","ZNF253"
"29","ZNF256"
"30","ZNF264"
"31","ZNF268"
"32","ZNF274"
"33","ZNF283"
"34","ZNF284"
"35","ZNF285"
"36","ZNF28"
"37","ZNF304"
"38","ZNF320"
"39","ZNF321"
"40","ZNF329"
"41","ZNF347"
"42","ZNF350"
"43","ZNF404"
"44","ZNF415"
"45","ZNF416"
"46","ZNF417"
"47","ZNF418"
"48","ZNF419"
"49","ZNF426"
"50","ZNF429"
"51","ZNF432"
"52","ZNF45"
"53","ZNF460"
"54","ZNF468"
"55","ZNF470"
"56","ZNF471"
"57","ZNF473"
"58","ZNF480"
"59","ZNF525"
"60","ZNF528"
"61","ZNF530"
"62","ZNF543"
"63","ZNF544"
"64","ZNF547"
"65","ZNF548"
"66","ZNF549"
"67","ZNF550"
"68","ZNF551"
"69","ZNF552"
"70","ZNF577"
"71","ZNF578"
"72","ZNF582"
"73","ZNF583"
"74","ZNF586"
"75","ZNF587"
"76","ZNF600"
"77","ZNF606"
"78","ZNF610"
"79","ZNF611"
"80","ZNF613"
"81","ZNF614"
"82","ZNF615"
"83","ZNF616"
"84","ZNF625"
"85","ZNF649"
"86","ZNF665"
"87","ZNF667"
"88","ZNF701"
"89","ZNF702P"
"90","ZNF718"
"91","ZNF71"
"92","ZNF749"
"93","ZNF761"
"94","ZNF765"
"95","ZNF766"
"96","ZNF772"
"97","ZNF773"
"98","ZNF776"
"99","ZNF808"
"100","ZNF813"
"101","ZNF814"
"102","ZNF816A"
"103","ZNF836"
"104","ZNF83"
"105","ZNF841"
"106","ZNF845"
"107","ZNF85"
"108","ZNF880"
"109","ZNF8"
"110","ZNF93"
"111","ZSCAN18"
"112","ZSCAN5A"
