"","x"
"1","X"
"2","X"
"3","X"
"4","X"
"5","A4GNT"
"6","AARS2"
"7","AATK"
"8","ABCA7"
"9","ABCC10"
"10","ABHD13"
"11","ACACB"
"12","ACAD10"
"13","ACAD11"
"14","ACADVL"
"15","ACAP3"
"16","ACBD4"
"17","ACCN3"
"18","ACCS"
"19","ACER3"
"20","ACIN1"
"21","ACRBP"
"22","ACTR8"
"23","ADAMTS13"
"24","ADAT2"
"25","ADHFE1"
"26","ADRM1"
"27","AFG3L1"
"28","AGAP11"
"29","AGAP4"
"30","AGAP5"
"31","AGAP6"
"32","AGAP7"
"33","AGAP8"
"34","AGXT2L2"
"35","AHSA2"
"36","AKAP8L"
"37","AKAP9"
"38","ALMS1P"
"39","ALOX12P2"
"40","ALS2CL"
"41","AMH"
"42","AMIGO3"
"43","AMT"
"44","AMY2B"
"45","ANAPC4"
"46","ANKDD1A"
"47","ANKHD1"
"48","ANKHD1"
"49","ANKMY1"
"50","ANKRD10"
"51","ANKRD13D"
"52","ANKRD23"
"53","ANKRD24"
"54","ANKRD36"
"55","ANKS3"
"56","ANKZF1"
"57","ANO10"
"58","ANO8"
"59","ANO9"
"60","AP1G2"
"61","APBB3"
"62","ARFGAP1"
"63","ARGFXP2"
"64","ARGLU1"
"65","ARHGAP33"
"66","ARHGDIA"
"67","ARHGEF1"
"68","ARID3A"
"69","ARL13A"
"70","ARL17A"
"71","ARRDC3"
"72","ASB14"
"73","ASB16"
"74","ASXL1"
"75","ATAD3B"
"76","ATF2"
"77","ATG16L2"
"78","ATG4B"
"79","ATG9B"
"80","ATHL1"
"81","ATL1"
"82","ATL3"
"83","ATP2A1"
"84","ATP6V1B1"
"85","ATXN7L2"
"86","ATXN7"
"87","AUP1"
"88","AVIL"
"89","AVPR1A"
"90","AZI1"
"91","B3GAT3"
"92","BAT1"
"93","BAT2L2"
"94","BAZ2A"
"95","BBC3"
"96","BBS12"
"97","BCAP29"
"98","BDP1"
"99","BMS1P4"
"100","BMS1P5"
"101","BRD8"
"102","BREA2"
"103","BRPF1"
"104","BTAF1"
"105","BTD"
"106","BTN2A1"
"107","BTN2A3"
"108","BZRAP1"
"109","C10orf110"
"110","C10orf137"
"111","C10orf4"
"112","C10orf68"
"113","C11orf35"
"114","C11orf61"
"115","C12orf23"
"116","C12orf49"
"117","C12orf51"
"118","C12orf71"
"119","C14orf148"
"120","C14orf181"
"121","C15orf28"
"122","C16orf3"
"123","C16orf79"
"124","C16orf7"
"125","C16orf81"
"126","C16orf93"
"127","C17orf47"
"128","C17orf55"
"129","C17orf56"
"130","C17orf65"
"131","C17orf69"
"132","C17orf70"
"133","C17orf78"
"134","C17orf86"
"135","C19orf34"
"136","C19orf36"
"137","C19orf71"
"138","C19orf76"
"139","C1orf101"
"140","C1orf104"
"141","C1orf113"
"142","C1orf152"
"143","C1orf175"
"144","C1orf213"
"145","C1orf220"
"146","C1orf35"
"147","C1orf63"
"148","C20orf106"
"149","C20orf107"
"150","C20orf12"
"151","C20orf165"
"152","C21orf125"
"153","C21orf129"
"154","C21orf2"
"155","C21orf58"
"156","C22orf28"
"157","C22orf43"
"158","C22orf45"
"159","C2CD2L"
"160","C2orf18"
"161","C2orf48"
"162","C2orf66"
"163","C3orf35"
"164","C3orf38"
"165","C3orf42"
"166","C3orf47"
"167","C3orf62"
"168","C4orf21"
"169","C4orf34"
"170","C4orf44"
"171","C5orf45"
"172","C6orf124"
"173","C6orf164"
"174","C6orf201"
"175","C6orf26"
"176","C7orf43"
"177","C7orf4"
"178","C7orf53"
"179","C8G"
"180","C8orf39"
"181","C8orf77"
"182","C9orf163"
"183","C9orf21"
"184","C9orf96"
"185","CACNA1F"
"186","CACNB1"
"187","CALCRL"
"188","CALML6"
"189","CANT1"
"190","CAPN10"
"191","CAPN12"
"192","CAPN3"
"193","CAPRIN2"
"194","CAPZA2"
"195","CARKD"
"196","CARNS1"
"197","CATSPER2"
"198","CBFA2T2"
"199","CBLN3"
"200","CBX4"
"201","CC2D2B"
"202","CCAR1"
"203","CCDC12"
"204","CCDC130"
"205","CCDC137"
"206","CCDC142"
"207","CCDC144A"
"208","CCDC144B"
"209","CCDC14"
"210","CCDC150"
"211","CCDC154"
"212","CCDC18"
"213","CCDC24"
