"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","fibroblast growth factor receptor binding","GO:0005104","0.0008125939921048798","3.0901263929440694","27","59","4","18098","FGF20,FGF3,FGF4,FGF9"
"GO:BP","response to fibroblast growth factor","GO:0071774","0.014246916891726642","1.8462791091137607","152","56","6","17816","FGF20,FGF3,FGF4,FGF9,PTH,TDGF1"
"KEGG","Neuroactive ligand-receptor interaction","KEGG:04080","0.0032743039222336893","2.4848810116610762","335","24","7","7590","CHRND,GALR1,GRM8,HTR1D,OPRD1,PTH,TAC1"
"KEGG","Melanoma","KEGG:05218","0.0040551014178253145","2.391998279639974","72","24","4","7590","FGF20,FGF3,FGF4,FGF9"
"REAC","Phospholipase C-mediated cascade: FGFR1","REAC:R-HSA-5654219","0.000005319364538096934","5.274140246291742","11","30","4","10526","FGF20,FGF3,FGF4,FGF9"
"REAC","FGFR1 ligand binding and activation","REAC:R-HSA-190242","0.000005319364538096934","5.274140246291742","11","30","4","10526","FGF20,FGF3,FGF4,FGF9"
"REAC","SHC-mediated cascade:FGFR1","REAC:R-HSA-5654688","0.000016039907598479346","4.794798137896377","14","30","4","10526","FGF20,FGF3,FGF4,FGF9"
"REAC","Phospholipase C-mediated cascade; FGFR2","REAC:R-HSA-5654221","0.000016039907598479346","4.794798137896377","14","30","4","10526","FGF20,FGF3,FGF4,FGF9"
"REAC","Activated point mutants of FGFR2","REAC:R-HSA-2033519","0.000016039907598479346","4.794798137896377","14","30","4","10526","FGF20,FGF3,FGF4,FGF9"
"REAC","PI-3K cascade:FGFR1","REAC:R-HSA-5654689","0.000021829364845715767","4.660958900480224","15","30","4","10526","FGF20,FGF3,FGF4,FGF9"
"REAC","FGFR2 ligand binding and activation","REAC:R-HSA-190241","0.00002904828540956236","4.536879496979044","16","30","4","10526","FGF20,FGF3,FGF4,FGF9"
"REAC","SHC-mediated cascade:FGFR2","REAC:R-HSA-5654699","0.00003791113113203821","4.42123325759219","17","30","4","10526","FGF20,FGF3,FGF4,FGF9"
"REAC","FRS-mediated FGFR1 signaling","REAC:R-HSA-5654693","0.00003791113113203821","4.42123325759219","17","30","4","10526","FGF20,FGF3,FGF4,FGF9"
"REAC","PI-3K cascade:FGFR2","REAC:R-HSA-5654695","0.00004864653207441533","4.312948114380777","18","30","4","10526","FGF20,FGF3,FGF4,FGF9"
"REAC","FRS-mediated FGFR2 signaling","REAC:R-HSA-5654700","0.00007671947084103347","4.115094401296357","20","30","4","10526","FGF20,FGF3,FGF4,FGF9"
"REAC","Downstream signaling of activated FGFR1","REAC:R-HSA-5654687","0.00016693384207819048","3.7774556109664856","24","30","4","10526","FGF20,FGF3,FGF4,FGF9"
"REAC","Downstream signaling of activated FGFR2","REAC:R-HSA-5654696","0.00016693384207819048","3.7774556109664856","24","30","4","10526","FGF20,FGF3,FGF4,FGF9"
"REAC","Negative regulation of FGFR1 signaling","REAC:R-HSA-5654726","0.00023393606091934194","3.6309028271384514","26","30","4","10526","FGF20,FGF3,FGF4,FGF9"
"REAC","Negative regulation of FGFR2 signaling","REAC:R-HSA-5654727","0.0003191253535884169","3.496038690992509","28","30","4","10526","FGF20,FGF3,FGF4,FGF9"
"REAC","Signaling by activated point mutants of FGFR1","REAC:R-HSA-1839122","0.0003532993889944168","3.4518571136452074","8","30","3","10526","FGF20,FGF4,FGF9"
"REAC","FGFR1c ligand binding and activation","REAC:R-HSA-190373","0.0003532993889944168","3.4518571136452074","8","30","3","10526","FGF20,FGF4,FGF9"
