"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","olfactory receptor activity","GO:0004984","0.036479297288678006","1.4379535362040632","395","23","5","18098","OR14I1,OR4N2,OR4Q3,OR52E2,OR8G5"
"GO:BP","melanin biosynthetic process from tyrosine","GO:0006583","0.001737954433973222","2.7599616141551353","2","19","2","17816","DCT,TYR"
"GO:CC","melanosome membrane","GO:0033162","0.02112323435228429","1.6752395826436952","14","21","2","18797","DCT,TYR"
"GO:CC","chitosome","GO:0045009","0.02112323435228429","1.6752395826436952","14","21","2","18797","DCT,TYR"
"GO:CC","pigment granule membrane","GO:0090741","0.02112323435228429","1.6752395826436952","14","21","2","18797","DCT,TYR"
"KEGG","Olfactory transduction","KEGG:04740","0.030088760547397397","1.5215957018748292","440","13","5","7590","OR14I1,OR4N2,OR4Q3,OR52E2,OR8G5"
"REAC","Melanin biosynthesis","REAC:R-HSA-5662702","0.004656423710875565","2.3319475079709906","5","14","2","10526","DCT,TYR"
"REAC","G alpha (s) signalling events","REAC:R-HSA-418555","0.010402026050222082","1.9828820629382742","538","14","6","10526","GLP2R,OR14I1,OR4N2,OR4Q3,OR52E2,OR8G5"
"REAC","Olfactory Signaling Pathway","REAC:R-HSA-381753","0.031170363116406963","1.5062581384182747","395","14","5","10526","OR14I1,OR4N2,OR4Q3,OR52E2,OR8G5"
"TF","Factor: Oct-1; motif: NNGAATATKCANNNN","TF:M00136","0.01710563209205839","1.7668608730123305","4338","23","15","19916","DCT,GABRG1,NLRP4,OR14I1,OR4Q3,OR52E2,OR8G5,POTEC,POTED,POTEG,RPL10L,SPANXA2,SPANXC,TYR,ZNF716"
"TF","Factor: Oct-1; motif: NNGAATATKCANNNN; match class: 0","TF:M00136_0","0.01710563209205839","1.7668608730123305","4338","23","15","19916","DCT,GABRG1,NLRP4,OR14I1,OR4Q3,OR52E2,OR8G5,POTEC,POTED,POTEG,RPL10L,SPANXA2,SPANXC,TYR,ZNF716"
"TF","Factor: IRF-7; motif: AAGWGAA; match class: 1","TF:M01884_1","0.042247466294979615","1.374199331852864","4653","23","15","19916","CACNG8,ESX1,GABRG1,GLP2R,OR4N2,OR8G5,POTEC,POTED,POTEG,POTEH,RAD21L1,RPL10L,SPANXA2,SPANXC,TYR"
"TF","Factor: KLF4; motif: MCACACCCTNN; match class: 1","TF:M09808_1","0.04626553449614146","1.3347424161533004","535","23","6","19916","POTEC,POTED,POTEG,POTEH,SPANXA2,SPANXC"
"MIRNA","hsa-miR-1237-3p","MIRNA:hsa-miR-1237-3p","0.049782446909789536","1.3029237607346082","142","11","3","14743","CACNG8,POTED,POTEG"
