"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","translation activator activity","GO:0008494","0.0015578194384224201","2.8074828813496735","13","44","3","18098","DAZ1,DAZ2,DAZ3"
"GO:BP","3'-UTR-mediated mRNA stabilization","GO:0070935","0.03247248775011769","1.4884844383600926","22","42","3","17816","DAZ1,DAZ2,DAZ3"
"KEGG","Pathogenic Escherichia coli infection","KEGG:05130","0.013373115303016173","1.8737674108898899","55","17","3","7590","TUBA3C,TUBA3D,TUBA3E"
"REAC","Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane","REAC:R-HSA-190840","0.0032515756768538183","2.487906133811224","20","24","3","10526","TUBA3C,TUBA3D,TUBA3E"
"REAC","Transport of connexons to the plasma membrane","REAC:R-HSA-190872","0.003787829492452089","2.421609578811803","21","24","3","10526","TUBA3C,TUBA3D,TUBA3E"
"REAC","Post-chaperonin tubulin folding pathway","REAC:R-HSA-389977","0.005028713819235751","2.2985430790864125","23","24","3","10526","TUBA3C,TUBA3D,TUBA3E"
"REAC","Formation of tubulin folding intermediates by CCT/TriC","REAC:R-HSA-389960","0.007349557626035638","2.1337388005557325","26","24","3","10526","TUBA3C,TUBA3D,TUBA3E"
"REAC","Activation of AMPK downstream of NMDARs","REAC:R-HSA-9619483","0.009232758753405727","2.034668512152307","28","24","3","10526","TUBA3C,TUBA3D,TUBA3E"
"REAC","RHO GTPases activate IQGAPs","REAC:R-HSA-5626467","0.013895332912332076","1.8571310436864095","32","24","3","10526","TUBA3C,TUBA3D,TUBA3E"
"REAC","Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding","REAC:R-HSA-389958","0.015262005450538628","1.8163883956814217","33","24","3","10526","TUBA3C,TUBA3D,TUBA3E"
"REAC","Neurotransmitter receptors and postsynaptic signal transmission","REAC:R-HSA-112314","0.016420440907363804","1.7846151857632082","190","24","5","10526","GRIK5,KCNJ3,TUBA3C,TUBA3D,TUBA3E"
"REAC","Gap junction assembly","REAC:R-HSA-190861","0.02342199475650145","1.6303761205851697","38","24","3","10526","TUBA3C,TUBA3D,TUBA3E"
"REAC","Carboxyterminal post-translational modifications of tubulin","REAC:R-HSA-8955332","0.03400855261608585","1.4684118509906283","43","24","3","10526","TUBA3C,TUBA3D,TUBA3E"
"REAC","Recycling pathway of L1","REAC:R-HSA-437239","0.047307978334118386","1.3250656107571126","48","24","3","10526","TUBA3C,TUBA3D,TUBA3E"
"WP","Pathogenic Escherichia coli infection","WP:WP2272","0.021638767866378524","1.6647674720343826","55","15","3","6207","TUBA3C,TUBA3D,TUBA3E"
"WP","Parkin-Ubiquitin Proteasomal System pathway","WP:WP2359","0.04234388028760999","1.3732093468295574","69","15","3","6207","TUBA3C,TUBA3D,TUBA3E"
"HPA","testis; preleptotene spermatocytes[Approved,High]","HPA:053060_23","0.016245625241617583","1.7892635694061652","13","10","2","9499","DAZ2,DAZ3"
"HPA","testis; spermatogonia[Approved,High]","HPA:053090_23","0.03549555807766639","1.4498259912563891","19","10","2","9499","DAZ2,DAZ3"
"HP","Y-linked inheritance","HP:0001450","0.006680833030521374","2.175169382134842","17","10","3","4006","DAZ1,DAZ2,DAZ3"
"HP","Oligospermia","HP:0000798","0.02524382039867574","1.597844918346","26","10","3","4006","DAZ1,DAZ2,DAZ3"
