"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","regulation of intestinal lipid absorption","GO:1904729","0.0006782810026755817","3.1685903465037586","7","41","3","17816","ABCG5,ABCG8,LEP"
"GO:BP","regulation of intestinal cholesterol absorption","GO:0030300","0.0006782810026755817","3.1685903465037586","7","41","3","17816","ABCG5,ABCG8,LEP"
"GO:BP","regulation of intestinal absorption","GO:1904478","0.001622670973785468","2.7897695323953373","9","41","3","17816","ABCG5,ABCG8,LEP"
"GO:BP","intestinal cholesterol absorption","GO:0030299","0.006975530707032307","2.1564227451342655","14","41","3","17816","ABCG5,ABCG8,LEP"
"GO:BP","intestinal phytosterol absorption","GO:0060752","0.008908812605686493","2.0501801762282557","2","41","2","17816","ABCG5,ABCG8"
"GO:BP","negative regulation of intestinal cholesterol absorption","GO:0045796","0.008908812605686493","2.0501801762282557","2","41","2","17816","ABCG5,ABCG8"
"GO:BP","negative regulation of intestinal lipid absorption","GO:1904730","0.008908812605686493","2.0501801762282557","2","41","2","17816","ABCG5,ABCG8"
"GO:BP","negative regulation of intestinal phytosterol absorption","GO:0010949","0.008908812605686493","2.0501801762282557","2","41","2","17816","ABCG5,ABCG8"
"GO:BP","intestinal lipid absorption","GO:0098856","0.010697297607870979","1.9707259215877846","16","41","3","17816","ABCG5,ABCG8,LEP"
"GO:BP","lipid digestion","GO:0044241","0.015537694019612708","1.8086134352692955","18","41","3","17816","ABCG5,ABCG8,LEP"
"GO:BP","negative regulation of intestinal absorption","GO:1904479","0.02668742988042296","1.573693248711384","3","41","2","17816","ABCG5,ABCG8"
"GO:CC","ATPase dependent transmembrane transport complex","GO:0098533","0.02337575241608636","1.6312344012085858","7","40","2","18797","ABCG5,ABCG8"
"GO:CC","ATP-binding cassette (ABC) transporter complex","GO:0043190","0.02337575241608636","1.6312344012085858","7","40","2","18797","ABCG5,ABCG8"
"REAC","Defective ABCG8 causes gallbladder disease 4 and sitosterolemia","REAC:R-HSA-5679090","0.0011210205281715886","2.9503864345147366","2","22","2","10526","ABCG5,ABCG8"
"REAC","Defective ABCG5 causes sitosterolemia","REAC:R-HSA-5679096","0.0011210205281715886","2.9503864345147366","2","22","2","10526","ABCG5,ABCG8"
"WP","Liver X Receptor Pathway","WP:WP2874","0.012133544869280583","1.9160122995244149","10","12","2","6207","ABCG5,ABCG8"
"WP","Bile Acids synthesis and enterohepatic circulation ","WP:WP4389","0.01775765102523227","1.7506144830534245","12","12","2","6207","ABCG5,ABCG8"
"TF","Factor: Isl2; motif: YTAAGTG","TF:M02082","0.008904930955903511","2.0503694434760167","7667","55","38","19916","ABCG5,ABCG8,ANO3,ATXN3L,CHRM4,CRISP1,CT47A10,CT47A6,CT47A7,CT47B1,DCAF4L1,FMR1NB,FOXR2,FSHB,IGSF5,INSL6,KLK3,LOXHD1,MAEL,NR1H4,OR2W1,OR52E6,OR52H1,OR6C76,PAGE5,PLSCR2,PPP1R3A,RBMXL3,RFPL4B,RHOXF1,RNF113B,SLC22A14,SLC30A8,SSX1,SSX3,SSX7,WDR87,XAGE5"
"TF","Factor: Isl2; motif: YTAAGTG; match class: 0","TF:M02082_0","0.008904930955903511","2.0503694434760167","7667","55","38","19916","ABCG5,ABCG8,ANO3,ATXN3L,CHRM4,CRISP1,CT47A10,CT47A6,CT47A7,CT47B1,DCAF4L1,FMR1NB,FOXR2,FSHB,IGSF5,INSL6,KLK3,LOXHD1,MAEL,NR1H4,OR2W1,OR52E6,OR52H1,OR6C76,PAGE5,PLSCR2,PPP1R3A,RBMXL3,RFPL4B,RHOXF1,RNF113B,SLC22A14,SLC30A8,SSX1,SSX3,SSX7,WDR87,XAGE5"
"TF","Factor: C/EBPbeta; motif: RNRTKDNGMAAKNN","TF:M00109","0.023344324106125344","1.6318186957845568","3353","55","23","19916","ANO3,ASB5,BLID,CHRM4,CRISP1,CT47A10,CT47A6,FSHB,IGSF5,INSL6,KLK3,LOXHD1,MAEL,MAGEC3,OR2W1,OR52H1,RFPL4B,RHOXF1,SSX1,SSX3,SSX7,TGM7,WDR87"
"TF","Factor: C/EBPbeta; motif: RNRTKDNGMAAKNN; match class: 0","TF:M00109_0","0.023344324106125344","1.6318186957845568","3353","55","23","19916","ANO3,ASB5,BLID,CHRM4,CRISP1,CT47A10,CT47A6,FSHB,IGSF5,INSL6,KLK3,LOXHD1,MAEL,MAGEC3,OR2W1,OR52H1,RFPL4B,RHOXF1,SSX1,SSX3,SSX7,TGM7,WDR87"
"CORUM","ABCG5-ABCG8 complex","CORUM:7263","0.00004092031172356908","4.388061066570086","2","4","2","3635","ABCG5,ABCG8"
"HP","Hyperapobetalipoproteinemia","HP:0008158","0.006996053856741956","2.1551468559120837","2","11","2","4006","ABCG5,ABCG8"
"HP","Episodic hemolytic anemia","HP:0004802","0.020956710778662072","1.6786768802176046","3","11","2","4006","ABCG5,ABCG8"
