"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","oxidoreductase activity, acting on CH-OH group of donors","GO:0016614","0.00002592531000126184","4.5862760418422015","130","788","22","18098","ADH7,AKR1B10,AKR1B15,AKR1B1,AKR1C1,AKR1C2,AKR1C3,AKR1C4,ALDH3A1,ALDH3A2,BDH2,CBR1,CBR3,G6PD,IDH1,ME1,PGD,PTGR1,RDH16,SPR,UGDH,VKORC1L1"
"GO:MF","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","GO:0016616","0.00015780573022620265","3.801877230781628","121","788","20","18098","ADH7,AKR1B10,AKR1B15,AKR1B1,AKR1C1,AKR1C2,AKR1C3,AKR1C4,ALDH3A1,BDH2,CBR1,CBR3,G6PD,IDH1,ME1,PGD,PTGR1,RDH16,SPR,UGDH"
"GO:MF","alditol:NADP+ 1-oxidoreductase activity","GO:0004032","0.00023734870410591948","3.6246131351324116","13","788","7","18098","AKR1B10,AKR1B15,AKR1B1,AKR1C1,AKR1C2,AKR1C3,AKR1C4"
"GO:MF","catalytic activity","GO:0003824","0.00042748769995013387","3.3690763766565883","5846","788","318","18098","ABAT,ABCA4,ABCA5,ABCB6,ABCC1,ABCC2,ABCC3,ABCG2,ABHD15,ABHD2,ABHD3,ABHD4,ABHD6,ACER2,ACSL6,ADAM17,ADAM21,ADAM23,ADAMTSL1,ADCK2,ADCY10,ADCY3,ADCY5,ADCY8,ADH7,AIFM2,AKR1B10,AKR1B15,AKR1B1,AKR1C1,AKR1C2,AKR1C3,AKR1C4,ALDH3A1,ALDH3A2,ARSH,ART3,ASPH,ATP1B1,ATP2B1,B3GALT1,B4GALNT1,B4GALNT3,BACE2,BDH2,BLMH,BMPR1B,BMX,C10ORF90,CA11,CA6,CA8,CA9,CAPN1,CARD11,CBR1,CBR3,CCNA1,CCND1,CCNI2,CDK18,CDK2AP2,CDS2,CES1,CHST1,CHST2,CHST7,CLCA4,CNOT4,CPNE1,CPPED1,CPT1A,CPXM2,CRMP1,CROT,CUL1,CYP24A1,CYP26A1,CYP2E1,CYP4A11,CYP4F11,CYP4F3,CYP4X1,CYP4Z1,DCLK1,DECR1,DGAT2,DGKG,DIP2B,DIRAS2,DNAJC6,DPP10,DPY19L1,DPYSL4,DTX2,DTX4,DUSP14,ENTPD3,EPHA2,EPHB4,EPHB6,EPHX1,EPHX3,ERMP1,ETFB,EXOSC7,F2RL2,F3,FADS1,FADS2,FAH,FAM20B,FBXO30,FECH,FKBP1A,FOLH1,FTH1,FUT9,G6PC3,G6PD,GAA,GADL1,GALE,GALNT13,GALNT5,GCLC,GCLM,GCNT2,GDA,GLA,GLCE,GNAL,GPI,GPX2,GSPT2,GSR,GSTM1,GSTM2,GSTM3,GSTM4,HDAC4,HFM1,HHIPL2,HK1,HPD,HRASLS2,HS3ST1,HS3ST5,HS6ST2,HSPA2,HTATIP2,IDH1,IFT27,ITPKB,KAT5,KIF13A,KLHDC5,LIMK1,LIPJ,LPIN1,MAGI2,MAP3K11,MAP3K4,MBTPS2,ME1,MERTK,MIB1,MOV10L1,MST1R,MYH11,MYH14,MYL6B,MYL6,MYO5A,NAA20,NAMPT,NCOA3,NEDD4L,NEK1,NLRP11,NOS1,NPR2,NQO1,NRBP1,NRK,NSUN3,NT5C2,NTRK2,NUDT4,ODC1,OVCH1,OVCH2,PCYT1B,PDE7A,PELI2,PFN2,PGBD5,PGD,PHEX,PIR,PKN1,PLA2G16,PLBD1,PLCB4,PLCD1,POLR2K,PON1,PPIF,PPIL4,PPP1CA,PPP1R3B,PPP2R2B,PPP2R2C,PPP2R5A,PPP4R1,PRDM14,PRDM16,PRDM8,PRDM9,PRDX1,PRDX6,PRKAA2,PRKX,PRSS35,PTDSS1,PTGR1,PTGS2,PTPRD,PYCR2,QARS,RAB15,RAB18,RAB1B,RAB3B,RAB6B,RALB,RAP1GAP,RASL10B,RASL11A,RDH16,REN,RFFL,RGS6,RGS9,RHOQ,RIT1,RND2,RNF135,RNF144B,RNF157,RNF186,RNF19A,RNF212,RNF217,RPS6KA6,RPS6KB2,RPS6KC1,SCPEP1,SHH,SLC3A2,SLK,SMS,SOD1,SPAG1,SPAST,SPR,SQSTM1,SRMS,SRXN1,SSH2,ST3GAL1,ST3GAL3,ST8SIA2,STK32B,SULT1A1,SULT1E1,SYNJ1,TALDO1,TBK1,TDP2,TINAG,TKT,TLK1,TMTC1,TMTC2,TMTC3,TNNI3K,TOR3A,TRIB2,TRIB3,TRIM16,TRIM31,TRIM68,TRIM8,TTBK2,TTLL2,TTLL7,TXNRD1,TXN,UBE2H,UCHL1,UGDH,UGT1A3,UGT1A5,UGT1A7,UGT1A9,USP40,UST,UXS1,VKORC1L1,ZDHHC15,ZDHHC18,ZDHHC1,ZDHHC21,ZDHHC2,ZDHHC3,ZDHHC9,ZRANB1"
"GO:MF","aldo-keto reductase (NADP) activity","GO:0004033","0.0005184739178462498","3.285273086180166","26","788","9","18098","AKR1B10,AKR1B15,AKR1B1,AKR1C1,AKR1C2,AKR1C3,AKR1C4,ALDH3A1,SPR"
"GO:MF","alcohol dehydrogenase (NADP+) activity","GO:0008106","0.0009220839123787813","3.0352295550582777","21","788","8","18098","AKR1B10,AKR1B15,AKR1B1,AKR1C1,AKR1C2,AKR1C3,AKR1C4,ALDH3A1"
"GO:MF","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","GO:0016709","0.0028064678974592293","2.551839921210584","39","788","10","18098","AKR1C1,AKR1C2,AKR1C3,AKR1C4,CYP26A1,CYP2E1,CYP4A11,CYP4F11,CYP4F3,NOS1"
"GO:MF","G protein-coupled receptor binding","GO:0001664","0.007185023209854983","2.143571824621521","277","788","29","18098","BAMBI,CCL20,CCL26,CCL28,CXCL1,CXCL6,DRD3,EDN1,EDN2,FZD7,GNAL,GPHA2,GPHB5,MAGI2,MRAP2,NECAB2,PTCH1,REEP1,RLN3,S100A14,TFF2,TUB,UCHL1,WNT10A,WNT10B,WNT11,WNT3,WNT4,WNT5A"
"GO:MF","ketosteroid monooxygenase activity","GO:0047086","0.030045409066797677","1.5222218787120316","6","788","4","18098","AKR1C1,AKR1C2,AKR1C3,AKR1C4"
"GO:MF","androsterone dehydrogenase activity","GO:0047023","0.030045409066797677","1.5222218787120316","6","788","4","18098","AKR1C1,AKR1C3,AKR1C4,RDH16"
