"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","cation transmembrane transporter activity","GO:0008324","0.0000678446344289285","4.168484493325555","653","50","12","18098","ATP6V1G3,ATP7B,FXYD4,HTR3E,KCNJ13,RHBG,SLC12A1,SLC12A3,SLC28A1,SLC30A2,SLC6A20,TRPM5"
"GO:MF","ion transmembrane transporter activity","GO:0015075","0.00023981599855519827","3.620121847707244","883","50","13","18098","ATP6V1G3,ATP7B,BSND,FXYD4,HTR3E,KCNJ13,RHBG,SLC12A1,SLC12A3,SLC28A1,SLC30A2,SLC6A20,TRPM5"
"GO:MF","inorganic cation transmembrane transporter activity","GO:0022890","0.0002623759453480011","3.5810759836313415","603","50","11","18098","ATP6V1G3,ATP7B,FXYD4,HTR3E,KCNJ13,SLC12A1,SLC12A3,SLC28A1,SLC30A2,SLC6A20,TRPM5"
"GO:MF","inorganic molecular entity transmembrane transporter activity","GO:0015318","0.0007926942401441377","3.1008942974552767","823","50","12","18098","ATP6V1G3,ATP7B,BSND,FXYD4,HTR3E,KCNJ13,SLC12A1,SLC12A3,SLC28A1,SLC30A2,SLC6A20,TRPM5"
"GO:MF","metal ion transmembrane transporter activity","GO:0046873","0.0013856302945424147","2.858352630083674","445","50","9","18098","ATP7B,FXYD4,KCNJ13,SLC12A1,SLC12A3,SLC28A1,SLC30A2,SLC6A20,TRPM5"
"GO:MF","transmembrane transporter activity","GO:0022857","0.0018442057405086906","2.7341906304714523","1060","50","13","18098","ATP6V1G3,ATP7B,BSND,FXYD4,HTR3E,KCNJ13,RHBG,SLC12A1,SLC12A3,SLC28A1,SLC30A2,SLC6A20,TRPM5"
"GO:MF","monovalent inorganic cation transmembrane transporter activity","GO:0015077","0.004614181323198113","2.3359053430361887","389","50","8","18098","ATP6V1G3,FXYD4,KCNJ13,SLC12A1,SLC12A3,SLC28A1,SLC6A20,TRPM5"
"GO:MF","transporter activity","GO:0005215","0.007715686538907438","2.112625424520647","1210","50","13","18098","ATP6V1G3,ATP7B,BSND,FXYD4,HTR3E,KCNJ13,RHBG,SLC12A1,SLC12A3,SLC28A1,SLC30A2,SLC6A20,TRPM5"
"GO:MF","potassium:sodium symporter activity","GO:0009674","0.010000771107453054","1.9999665125199242","3","50","2","18098","SLC12A1,SLC12A3"
"GO:MF","sodium:potassium:chloride symporter activity","GO:0008511","0.010000771107453054","1.9999665125199242","3","50","2","18098","SLC12A1,SLC12A3"
"GO:MF","solute:sodium symporter activity","GO:0015370","0.021764778987985185","1.662245738558768","73","50","4","18098","SLC12A1,SLC12A3,SLC28A1,SLC6A20"
"GO:MF","sodium ion transmembrane transporter activity","GO:0015081","0.024818800436095197","1.6052192130296414","149","50","5","18098","SLC12A1,SLC12A3,SLC28A1,SLC6A20,TRPM5"
"GO:MF","potassium ion transmembrane transporter activity","GO:0015079","0.03911118545611993","1.4076990204260587","164","50","5","18098","FXYD4,KCNJ13,SLC12A1,SLC12A3,TRPM5"
"GO:BP","ion transmembrane transport","GO:0034220","0.00024284884331916379","3.614663960715964","1154","53","16","17816","ATP6V1G3,ATP7B,BSND,CRH,EPO,FXYD4,HTR3E,KCNJ13,RHBG,SLC12A1,SLC12A3,SLC30A2,SLC6A20,STAC2,THRSP,TRPM5"
"GO:BP","cation transmembrane transport","GO:0098655","0.001800741514804214","2.744548622966594","859","53","13","17816","ATP6V1G3,ATP7B,CRH,EPO,FXYD4,KCNJ13,RHBG,SLC12A1,SLC12A3,SLC30A2,SLC6A20,STAC2,TRPM5"
"GO:BP","ion transport","GO:0006811","0.0018368735130127505","2.735920748153571","1702","53","18","17816","ATP6V1G3,ATP7B,BSND,CRH,EPO,FFAR1,FXYD4,HTR3E,KCNJ13,LHFPL5,RHBG,SLC12A1,SLC12A3,SLC30A2,SLC6A20,STAC2,THRSP,TRPM5"
"GO:BP","transmembrane transport","GO:0055085","0.004220220154251641","2.3746648928101877","1611","53","17","17816","ATP6V1G3,ATP7B,BSND,CRH,EPO,FXYD4,HTR3E,KCNJ13,RHBG,SLC12A1,SLC12A3,SLC28A1,SLC30A2,SLC6A20,STAC2,THRSP,TRPM5"
"GO:BP","cation transport","GO:0006812","0.0115355551758177","1.9379614991929934","1183","53","14","17816","ATP6V1G3,ATP7B,CRH,EPO,FFAR1,FXYD4,KCNJ13,RHBG,SLC12A1,SLC12A3,SLC30A2,SLC6A20,STAC2,TRPM5"
"GO:BP","metal ion transport","GO:0030001","0.019681488262856543","1.705942064445929","905","53","12","17816","ATP6V1G3,ATP7B,CRH,EPO,FFAR1,FXYD4,KCNJ13,SLC12A1,SLC12A3,SLC30A2,STAC2,TRPM5"
"REAC","Transport of small molecules","REAC:R-HSA-382551","0.003847150297399091","2.414860846691357","716","35","11","10526","ATP6V1G3,ATP7B,BSND,FXYD4,RHBG,SLC12A1,SLC12A3,SLC28A1,SLC30A2,SLC6A20,TRPM5"
"REAC","SLC-mediated transmembrane transport","REAC:R-HSA-425407","0.04116072788386271","1.3855169538039211","243","35","6","10526","RHBG,SLC12A1,SLC12A3,SLC28A1,SLC30A2,SLC6A20"
"HP","Hypokalemic alkalosis","HP:0001949","0.011599346306600576","1.9355664852071928","11","18","3","4006","BSND,SLC12A1,SLC12A3"
"HP","Abnormal urine potassium concentration","HP:0012598","0.015422326285425093","1.8118501128788411","12","18","3","4006","BSND,SLC12A1,SLC12A3"
