"","x"
"1","ADAM7"
"2","ASAH2"
"3","ASB11"
"4","BRD7P3"
"5","C15orf54"
"6","C3orf48"
"7","C7orf45"
"8","C7orf72"
"9","C9orf50"
"10","CDY1"
"11","CLLU1"
"12","CPXCR1"
"13","CTAGE1"
"14","DEFB105A"
"15","DEFB130"
"16","DUSP21"
"17","FAM90A7"
"18","FOXD4L3"
"19","INTS4L2"
"20","KRT82"
"21","KRTAP10"
"22","KRTAP13"
"23","LGALS13"
"24","LOC220429"
"25","LOC285456"
"26","LOC341056"
"27","LOC344967"
"28","LOC641367"
"29","LOC643387"
"30","LOC650293"
"31","MC2R"
"32","MRS2P2"
"33","NPAS4"
"34","NPS"
"35","OR8I2"
"36","OR8J3"
"37","PISRT1"
"38","PLA2G2E"
"39","PMCHL1"
"40","PPEF2"
"41","RAB41"
"42","RPL13AP3"
"43","SERPINA4"
"44","SHBG"
"45","SLC36A3"
"46","SNORA32"
"47","SPATA19"
"48","SPP2"
"49","ST7OT4"
"50","TMC3"
"51","TMED10P1"
"52","TTTY23"
"53","TTTY8"
"54","ZMYND17"
