"","x"
"1","ATP2B2"
"2","BARHL1"
"3","C10orf105"
"4","C13orf16"
"5","C1orf146"
"6","CLCNKA"
"7","COL9A1"
"8","FTCD"
"9","KRTAP10"
"10","KRTAP10"
"11","KRTAP10"
"12","LOC116437"
"13","LOC283999"
"14","LOC285370"
"15","MYOG"
"16","NAT2"
"17","NOBOX"
"18","PEX5L"
"19","RAPSN"
"20","RHO"
"21","RTP1"
"22","SERPINA10"
"23","SERPINA6"
"24","SKINTL"
"25","SLC13A4"
"26","SLC17A8"
"27","SLC4A1"
"28","SNORA13"
"29","TAGLN3"
"30","TREML2"
"31","UBE2U"
"32","ZBTB8B"
"33","ZNF705D"
