"","x"
"1","ADAMTS19"
"2","ALPI"
"3","AQP7P1"
"4","AQP7P3"
"5","BHLHE23"
"6","BSX"
"7","C2orf83"
"8","C8orf86"
"9","CADPS"
"10","CELA2A"
"11","CELA3A"
"12","CHRND"
"13","CSRNP3"
"14","DEFA5"
"15","DEFA6"
"16","DGKK"
"17","DPY19L2P4"
"18","EPS8L3"
"19","FGF20"
"20","FGF3"
"21","FGF4"
"22","FGF9"
"23","FOXD4L2"
"24","FOXD4L5"
"25","FRMPD1"
"26","GALR1"
"27","GPR155"
"28","GRM8"
"29","GUCA1C"
"30","HABP4"
"31","HSFY2"
"32","HTR1D"
"33","KCNJ9"
"34","KRTAP6"
"35","LCN15"
"36","LOC100133893"
"37","LOC100190940"
"38","LOC440925"
"39","LOC645323"
"40","LRRC3B"
"41","LYZL1"
"42","LYZL2"
"43","MORC1"
"44","MT4"
"45","MYH7B"
"46","NDST4"
"47","NHEG1"
"48","NRSN1"
"49","OLIG1"
"50","OPRD1"
"51","PAH"
"52","PHGR1"
"53","PKD1L3"
"54","PNLIP"
"55","POU3F2"
"56","PROX1"
"57","PRSS36"
"58","PTH"
"59","RETNLB"
"60","SEC14L5"
"61","SLC30A10"
"62","SLC35D3"
"63","SLC38A8"
"64","SNORA5B"
"65","SP5"
"66","SP7"
"67","SYNPR"
"68","TAC1"
"69","TDGF1"
"70","TDGF3"
"71","TMPRSS15"
"72","TRIM48"
"73","TTPA"
"74","VIL1"
"75","VPREB1"
