"","x"
"1","ACRC"
"2","AMHR2"
"3","ASCL1"
"4","ASXL3"
"5","AWAT1"
"6","BEST3"
"7","C10orf140"
"8","C11orf36"
"9","C22orf34"
"10","C3orf30"
"11","C8orf22"
"12","CCDC140"
"13","CLDN25"
"14","CRYAA"
"15","FAM75A2"
"16","FAM75A3"
"17","FAM75A5"
"18","FAM75A6"
"19","GHRH"
"20","HS6ST3"
"21","KCNA1"
"22","KCNH7"
"23","KIF17"
"24","KRT12"
"25","KRTAP1"
"26","KRTAP5"
"27","LOC340357"
"28","MESTIT1"
"29","MRGPRX2"
"30","MS4A10"
"31","MYF6"
"32","NOL4"
"33","NR1I2"
"34","OR2M3"
"35","OR7E156P"
"36","P2RX3"
"37","PAX3"
"38","PCK1"
"39","PER4"
"40","PRL"
"41","PROKR1"
"42","SCGN"
"43","SLC17A3"
"44","SNTG1"
"45","SPANXN4"
"46","SVOP"
"47","TDRD12"
"48","TPO"
"49","VENTXP1"
"50","WEE2"
"51","ZKSCAN2"
