"","x"
"1","X"
"2","C20orf191"
"3","C9orf27"
"4","CACNG8"
"5","CXADRP3"
"6","DCT"
"7","DKFZp686A1627"
"8","ESX1"
"9","GABRG1"
"10","GLP2R"
"11","LOC727924"
"12","NF1P1"
"13","NLRP4"
"14","OPCML"
"15","OR14I1"
"16","OR4N2"
"17","OR4N3P"
"18","OR4N4"
"19","OR4Q3"
"20","OR52A4"
"21","OR52E2"
"22","OR8G5"
"23","POTEB"
"24","POTEC"
"25","POTED"
"26","POTEG"
"27","POTEH"
"28","PRG3"
"29","RAD21L1"
"30","RBMY2EP"
"31","RPL10L"
"32","SNORA36B"
"33","SPANXA2"
"34","SPANXB2"
"35","SPANXC"
"36","SPANXE"
"37","TYR"
"38","ZNF716"
