"","x"
"1","ABCB11"
"2","ADAMTS3"
"3","AGXT"
"4","C10orf27"
"5","C10orf71"
"6","C14orf180"
"7","C19orf75"
"8","C1orf157"
"9","C2orf71"
"10","CABP1"
"11","CCKBR"
"12","CDH22"
"13","CLDN19"
"14","DPP6"
"15","EIF4E1B"
"16","FAM163B"
"17","FAM197Y2"
"18","FGF5"
"19","GAS2"
"20","GDAP1L1"
"21","HUNK"
"22","KCNG4"
"23","KIRREL3"
"24","KRT85"
"25","KRTAP17"
"26","LRIT1"
"27","MLN"
"28","NPPB"
"29","NTRK3"
"30","OC90"
"31","OR2V2"
"32","PARK2"
"33","PIRT"
"34","PTCH2"
"35","TBC1D21"
"36","TCL6"
"37","TFAP2B"
"38","TTTY1B"
