"","x"
"1","X"
"2","ACTL7B"
"3","ADAM29"
"4","APOA5"
"5","ASPDH"
"6","C20orf197"
"7","C6orf218"
"8","C6orf227"
"9","CALHM1"
"10","CEACAM16"
"11","CEBPE"
"12","CER1"
"13","CHRNG"
"14","CKM"
"15","CLEC18A"
"16","CLEC18B"
"17","CLEC18C"
"18","CPA1"
"19","CPLX3"
"20","CPNE6"
"21","CT47A2"
"22","CT47A9"
"23","CTRB1"
"24","CTRB2"
"25","F2"
"26","FOXH1"
"27","GGNBP1"
"28","GIP"
"29","GUCY2F"
"30","IL17B"
"31","KRT71"
"32","KRTAP1"
"33","LCT"
"34","LGI4"
"35","LMAN1L"
"36","LOC390858"
"37","LOC650368"
"38","MAGEB16"
"39","MIOX"
"40","MMP20"
"41","MYADML"
"42","MYOC"
"43","NCRNA00162"
"44","NR5A1"
"45","NXF3"
"46","OR4F15"
"47","PDIA2"
"48","PDZK1"
"49","PRM3"
"50","PTX4"
"51","RBMY3AP"
"52","S100A5"
"53","SPATA21"
"54","SPDYC"
"55","SRPK3"
"56","SYNPO2L"
"57","TAS1R1"
"58","TMEM82"
"59","TRIM54"
"60","TRIM72"
"61","TSGA10IP"
"62","TSKS"
"63","TTTY20"
"64","UNC45B"
"65","WFIKKN2"
"66","ZPLD1"
