"","x"
"1","A2BP1"
"2","ABCB5"
"3","ANKS1B"
"4","APOA4"
"5","ASMT"
"6","BAI3"
"7","C12orf27"
"8","C12orf40"
"9","C6orf221"
"10","CACNG5"
"11","DAZ1"
"12","DAZ2"
"13","DAZ3"
"14","DAZ4"
"15","DDX4"
"16","FAM5C"
"17","FEZF2"
"18","FGF21"
"19","FRG2B"
"20","FRG2"
"21","GALP"
"22","GOLGA6L1"
"23","GOLGA6L6"
"24","GOLGA8C"
"25","GOLGA8DP"
"26","GOLGA8E"
"27","GOLGA8F"
"28","GOLGA8G"
"29","GPR144"
"30","GRIK5"
"31","HAVCR1"
"32","HCG22"
"33","HNF1A"
"34","IL23R"
"35","JPH4"
"36","KCNJ3"
"37","KCNK4"
"38","KRT25"
"39","KRT28"
"40","LCE3B"
"41","LGALS4"
"42","LHX9"
"43","LIPI"
"44","LOC731779"
"45","LRFN5"
"46","LYG2"
"47","NXF4"
"48","OR2C3"
"49","OTOR"
"50","PCDH15"
"51","POTEA"
"52","RPL3L"
"53","SLC5A4"
"54","SNORA38B"
"55","SNTG2"
"56","SP8"
"57","SRL"
"58","SYNGR4"
"59","TPRX1"
"60","TUBA3C"
"61","TUBA3D"
"62","TUBA3E"
"63","USH2A"
"64","ZIM3"
"65","ZP2"
"66","ZSWIM2"
