"","x"
"1","X"
"2","ACTRT2"
"3","AIPL1"
"4","AQP12A"
"5","AQP12B"
"6","ATP2B3"
"7","BTBD17"
"8","C14orf23"
"9","C20orf203"
"10","CELF3"
"11","CYP2W1"
"12","DLK1"
"13","DPYSL5"
"14","ELAVL3"
"15","FAM123C"
"16","FBN3"
"17","GALNT9"
"18","GRIA4"
"19","H1FOO"
"20","HRH3"
"21","HRNBP3"
"22","IGDCC3"
"23","IGF2AS"
"24","IGF2"
"25","INS"
"26","KRTAP21"
"27","LHX3"
"28","LOC150568"
"29","MYH6"
"30","NAALAD2"
"31","P2RX2"
"32","PRY2"
"33","PTF1A"
"34","SCG3"
"35","SLC7A10"
"36","SLIT1"
"37","SNORA11"
"38","TNNT3"
"39","UNCX"
"40","VCY"
"41","WNT9B"
